맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
조연탄|서울 강서구 곰달래로60길 29|월~토 13:00 ~ 01:00|070-7641-2008|4.1|한식|
유림 닭도리탕|서울 강서구 공항대로71길 5|영업시간 매일 11:30 ~ 22:00|02-3665-3930|3.2|닭요리|
금고깃집 마곡본점|서울 강서구 마곡동로 61 에이스프라자 109호, 203~205호|영업시간 매일 11:00 ~ 22:00|0507-1386-8295|3.4|육류,고기|
키누카누 발산점|서울 강서구 공항대로 247 퀸즈파크나인 지하1층 103,104호|영업시간 매일 11:30 ~ 22:00|02-6421-9876|3.5|뷔페|
공항칼국수|서울 강서구 공항대로 18-1|영업시간 매일 09:00 ~ 21:00|02-2664-9748|2.3|한식|
고양이정원|서울 강서구 개화동로19길 18 1층|토 10:30 ~ 01:00|02-2665-4507|2.6|고양이카페|
마부자생삼겹살김치찌개|서울 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 119~124호||02-3665-0788|2.5|삼겹살|
등촌칼국수|서울 강서구 화곡로64길 68 1~3층|영업시간 매일 11:40 ~ 20:30|02-3661-2744|3.8|국수|
옥소반 마곡본점|서울 강서구 마곡중앙6로 45 리더스퀘어마곡 1층 123,124호|영업시간 매일 11:00 ~ 22:30 · 브레이크타임 매일 15:00 ~ 17:00|02-2668-8080||일식집|
청산별곡 발산점|서울 강서구 공항대로 290 순봉빌딩 2층 207호|영업시간 매일 11:00 ~ 21:30|02-3664-9599|3.0|한정식|
칼스토랑|서울 강서구 방화대로6라길 2 1층|영업시간 월~토 11:00 ~ 21:00|02-2666-5142|4.3|국수|
갈비생각 발산점|서울 강서구 강서로54길 42 1층|영업시간 매일 11:00 ~ 22:00|02-2063-1113|3.8|갈비|
강원도고성막국수|서울 강서구 방화대로49길 6-7|영업시간 월~토 11:30 ~ 20:00 · 브레이크타임 월~토 15:40 ~ 16:40|02-2665-1205|3.5|국수|
봉이밥|서울 강서구 마곡중앙로 171 안강프라이빗2차 1층 103호|영업시간 매일 11:00 ~ 21:00 · 브레이크타임 토,일 16:00 ~ 17:00|02-6954-0288|3.6|한식|
광주똑순이아구찜|서울 강서구 강서로 375-8 정호빌딩 1층|영업시간 매일 11:00 ~ 22:00 · 브레이크타임 매일 15:30 ~ 17:00|02-2668-3030|3.9|아구|
샤브20 발산역점|서울 강서구 공항대로 261 2층|영업시간 매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|02-2658-2005|4.2|샤브샤브|
긴꼬리초밥 마곡직영점|서울 강서구 공항대로 269-15 힐스테이트에코마곡 2층 201호|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 15:30 ~ 17:00|02-3662-7005|4.1|초밥,롤|
카페우드진|서울 강서구 마곡중앙6로 45 리더스퀘어마곡 1층 113호|영업시간 토,일 12:00 ~ 22:00|02-6052-0116|3.9|커피전문점|
백제원 등촌점|서울 강서구 공항대로 367 3층 301호|영업시간 매일 11:30 ~ 22:00|02-2668-4114|3.6|한정식|
방화동교동짬뽕|서울 강서구 금낭화로24나길 21|영업시간 화~일 11:00 ~ 20:30 · 브레이크타임 화~일 15:30 ~ 17:00|02-2665-5778|4.3|중국요리|
발산한우진곱창|서울 강서구 강서로 395|매일 15:00 ~ 24:00|02-2668-7776|4.2|곱창,막창|
닥터로빈 강서점|서울 강서구 공항대로 396 1,2층|영업시간 매일 11:00 ~ 22:00|02-2065-3111|4.4|양식|
원조나주곰탕|서울 강서구 양천로14길 10 2동 1층||02-2666-8292|4.4|곰탕|
도화림|서울 강서구 강서로 391 문영비지웍스 2층 206호|영업시간 월~토 11:00 ~ 22:00|02-6952-8777|4.0|중국요리|
도일처|서울 강서구 개화동로 567|영업시간 매일 11:30 ~ 22:00|02-2662-2322|2.7|중국요리|
무한야끼 마곡점|서울 강서구 마곡중앙6로 42 2층|토,일 12:00 ~ 24:00|02-3663-9252|3.5|육류,고기|
마곡오리|서울 강서구 양천로30길 11|영업시간 매일 11:00 ~ 23:00|02-3662-5292|3.6|오리|
발산삼계탕|서울 강서구 강서로 344|영업시간 매일 11:00 ~ 21:00|02-3662-3930|3.6|삼계탕|
이조면옥|서울 강서구 양천로 353|영업시간 매일 11:30 ~ 21:30|02-3661-3457|2.5|냉면|
화로상회 가양점|서울 강서구 양천로57길 9-13 가양휴먼빌 1층|매일 12:00 ~ 23:30|02-2668-6892|4.2|육류,고기|
대가원 본점|서울 강서구 공항대로 209 4층 401~405호|영업시간 매일 11:00 ~ 22:00|02-3662-3902|4.6|육류,고기|
속초그바람에 발산본점|서울 강서구 강서로54길 11|영업시간 매일 10:30 ~ 23:00|02-3665-6839|4.7|해물,생선|
상생삼겹살|서울 강서구 마곡중앙로 161-8 두산더랜드파크 B동 1층 113, 114호|영업시간 매일 13:00 ~ 23:00|02-6989-9191|4.5|삼겹살|
조선갈비|서울 강서구 공항대로 341|영업시간 매일 11:00 ~ 22:00|02-2658-9300|2.3|갈비|
원조동글갈비|서울 강서구 화곡로 194-15|영업시간 화~일 11:00 ~ 23:00|02-2602-9923|2.3|갈비|
도쿄하나 등촌점|서울 강서구 공항대로 367 2층|영업시간 매일 11:30 ~ 22:00|02-2668-0880|3.3|일식|
꼼떼 바베큐 마곡점|서울 강서구 마곡중앙로 161-11 라마다앙코르호텔 지하 1층||02-6929-3990||이탈리안|
다채우렁돌솥쌈밥|서울 강서구 화곡로20길 12|영업시간 매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 16:00|02-2608-0008|4.0|쌈밥|
황소곱창|서울 강서구 공항대로46길 78|매일 11:00 ~ 06:00|02-2605-3392|4.1|곱창,막창|
능라도 마곡점|서울 강서구 마곡동로 56 건와빌딩 2층 202,203호|영업시간 매일 11:20 ~ 21:30|02-6958-8939|3.3|냉면|
송쭈집 마곡나루점|서울 강서구 마곡서로 158 마곡센트럴타워2차 2층|영업시간 매일 11:00 ~ 22:00|02-3664-7892|4.4|해물,생선|
고양이똥|서울 강서구 공항대로59가길 13|영업시간 매일 10:00 ~ 17:00|02-6013-1281||테마카페|
오복순대국 등촌직영점|서울 강서구 공항대로45길 5|영업시간 매일 10:00 ~ 22:00|02-3661-6611|4.1|순대|
타르데마베이커리 우장산점|서울 강서구 강서로46길 9 1층|영업시간 토 11:00 ~ 16:00|02-6397-1782|4.4|제과,베이커리|
꾸이꾸이돼지촌쭈꾸미|서울 강서구 초원로 77|영업시간 매일 12:00 ~ 23:00|02-2662-3450|3.8|육류,고기|
백소정 발산역점|서울 강서구 마곡중앙6로 66 퀸즈파크텐 A동 203호|영업시간 매일 11:00 ~ 20:00 · 브레이크타임 매일 14:30 ~ 17:00|02-6411-9555|4.6|돈까스,우동|
신경섭의인생참치|서울 강서구 마곡동로4길 23 2층|영업시간 월~토 14:00 ~ 22:00|02-6953-7337|4.7|참치회|
원조수구레|서울 강서구 양천로26길 10-6|매일 16:00 ~ 06:00|02-2665-4596|3.3|한식|
땡순이아구찜 마곡본점|서울 강서구 마곡중앙로 161-22 2층 201~207호|영업시간 매일 11:00 ~ 22:30|02-2659-3020||아구|
전주뼈해장국감자탕|서울 강서구 강서로5길 10|매일 00:00 ~ 24:00|02-2602-4189|2.5|감자탕|
