맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
어머니대성집|서울 동대문구 왕산로11길 4|화~토 05:00 ~ 24:00 · 브레이크타임 화~토 15:00 ~ 18:00|02-923-1718|3.4|해장국|
나정순할매쭈꾸미|서울 동대문구 무학로 144|영업시간 월~토 11:30 ~ 21:30 · 브레이크타임 월~토 14:30 ~ 17:00|02-928-0231|4.0|해물,생선|
육전식당 본점|서울 동대문구 난계로30길 16|명절|02-2253-6373|4.0|육류,고기|
혜성칼국수|서울 동대문구 왕산로 247-1|영업시간 화~일 10:30 ~ 21:00|02-967-6918|3.6|국수|
은하곱창|서울 동대문구 전농로15길 22|영업시간 토 11:00 ~ 20:00 · 브레이크타임 월~토 13:30 ~ 14:30|02-2247-0254|3.6|곱창,막창|
성천막국수|서울 동대문구 답십리로48나길 2 1층|영업시간 월~토 11:30 ~ 20:30|02-2244-5529|4.2|국수|
일미간장게장 본점|서울 동대문구 장한로24길 7|매일 00:00 ~ 24:00|02-2242-4338|2.9|게,대게|
영화장|서울 동대문구 휘경로 3-8|명절|02-967-9595|3.2|중국요리|
광주식당|서울 동대문구 경동시장로2길 49-4|매일 07:00 ~ 22:00|02-969-4403|3.5|한식|
회기왕족발보쌈|서울 동대문구 회기로 158 1층|영업시간 매일 11:30 ~ 01:00|02-966-4955|3.3|족발,보쌈|
원조홍릉각|서울 동대문구 약령시로 90|영업시간 월,수,목,금,토,일 11:30 ~ 15:00|02-969-7787|3.2|중국요리|
놀부만두|서울 동대문구 망우로16길 15|토요일|02-2241-7550|3.6|분식|
할머니냉면|서울 동대문구 왕산로37길 51|영업시간 매일 10:00 ~ 21:30|02-963-5362|3.6|냉면|
장안정 본점|서울 동대문구 답십리로 291-3 1층|영업시간 화~일 09:00 ~ 21:00|02-2246-6574|3.3|돈까스,우동|
킹수제만두|서울 동대문구 한빛로 3 1층|영업시간 화~토 10:00 ~ 21:00|02-926-0288|4.0|분식|
홍능갈비집 본점|서울 동대문구 제기로 85|영업시간 매일 11:30 ~ 21:30|02-965-0420|3.1|갈비|
서울뼈구이매운족발|서울 동대문구 왕산로 274-1|영업시간 매일 12:00 ~ 23:00|02-965-5838|3.4|족발,보쌈|
먹깨비|서울 동대문구 장한로 92 화성빌딩 105~107호|매일 00:00 ~ 24:00|02-2249-2158|3.2|해물,생선|
오관스시|서울 동대문구 회기로 121 1층|영업시간 월~토 11:30 ~ 20:30 · 브레이크타임 월~토 13:30 ~ 17:30|070-8225-6369|3.8|초밥,롤|
늘봄해물찜손칼국수 답십리본점|서울 동대문구 전농로 39|영업시간 매일 11:00 ~ 22:00|02-2215-5051|2.6|해물,생선|
육전식당 3호점|서울 동대문구 천호대로 38|영업시간 매일 11:00 ~ 23:00 · 브레이크타임 매일 16:00 ~ 17:00|02-2234-6373|3.8|육류,고기|
여기가좋겠네|서울 동대문구 회기로21길 25|영업시간 매일 10:30 ~ 22:00|02-968-9112|3.3|닭요리|
대한곱창 장안점|서울 동대문구 천호대로85길 21|영업시간 매일 15:00 ~ 02:00|02-2214-5207|4.1|곱창,막창|
일번지정육식당 장한평점|서울 동대문구 장한로 18 1층|영업시간 매일 11:00 ~ 23:00|02-2212-9926|3.5|육류,고기|
멍군집|서울 동대문구 회기로 148-4 1층|영업시간 토,일 15:00 ~ 00:00|010-3217-0190|4.8|육류,고기|
갈비명가이상 답십리점|서울 동대문구 천호대로 327|영업시간 매일 11:00 ~ 22:00|02-2243-8200|2.0|갈비|
고황24시 뼈다귀해장국감자탕|서울 동대문구 경희대로1길 8-16|매일 00:00 ~ 24:00|02-966-5082|2.9|감자탕|
이모네왕파전|서울 동대문구 회기로28길 12-3|매일 00:00 ~ 24:00||3.4|호프,요리주점|
마루샤브 용두직영점|서울 동대문구 왕산로 61 한일빌딩 1층|영업시간 매일 11:15 ~ 21:30|02-953-7443|1.9|샤브샤브|
허파식당|서울 동대문구 왕산로26가길 17|영업시간 매일 11:00 ~ 21:30|02-924-4119|4.1|찌개,전골|
영동교집 장안직영점|서울 동대문구 천호대로83길 32 1층|영업시간 매일 12:00 ~ 01:00|02-3394-5882|3.2|육류,고기|
안동집|서울 동대문구 고산자로36길 3 경동시장 신관지하1층 8-2호|영업시간 매일 09:00 ~ 20:00|02-965-3948|3.7|국수|
레알라면|서울 동대문구 회기로25길 23-5|영업시간 월,화,목,금,토,일 11:00 ~ 21:00 · 브레이크타임 월,화,목,금,토,일 15:00 ~ 17:00|0507-1311-4208|4.6|분식|
베러댄|서울 동대문구 망우로 34 진성빌딩 1층|영업시간 토,일 10:00 ~ 21:00||3.7|카페|
홍곱창 회기본점|서울 동대문구 회기로25길 60|영업시간 월~토 14:00 ~ 23:00|02-3295-1187|4.2|곱창,막창|
정대감감자탕 본점|서울 동대문구 천호대로83길 46|매일 00:00 ~ 24:00|02-2242-2533|3.5|감자탕|
송쉐프 장한평점|서울 동대문구 장한로2길 20 2~4층|영업시간 매일 11:00 ~ 21:00|02-2215-9999|4.1|중국요리|
경동한우정육식당|서울 동대문구 고산자로 421|영업시간 매일 10:00 ~ 22:00|02-962-0962|4.2|육류,고기|
나정순할매쭈꾸미 2호점|서울 동대문구 약령시로 65|영업시간 월~토 11:00 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00||2.6|해물,생선|
옥천옥|서울 동대문구 하정로 16|매일 07:00 ~ 21:00 · 브레이크타임 매일 15:30 ~ 17:00|02-2292-8201|3.4|설렁탕|
본참치|서울 동대문구 장한로 77|영업시간 월~토 16:00 ~ 03:00|02-3394-6664|4.7|참치회|
커피나인 본점|서울 동대문구 전농로3길 12 1층|영업시간 매일 09:00 ~ 22:00|02-6396-9992|4.2|커피전문점|
콘반|서울 동대문구 한천로26길 48-12 듀펠센터 1층 102호|영업시간 매일 12:00 ~ 21:00 · 브레이크타임 매일 15:30 ~ 17:30|070-4134-3903|3.9|일식|
함경면옥|서울 동대문구 왕산로 87|영업시간 매일 11:00 ~ 21:00|02-921-7300|2.0|냉면|
감초식당|서울 동대문구 약령서길 28|영업시간 매일 11:00 ~ 22:00|02-962-4570|2.6|한식|
평양냉면|서울 동대문구 홍릉로 14-3|영업시간 매일 11:00 ~ 21:00|02-965-8254|3.5|냉면|
BK볏짚직화구이 장안동본점|서울 동대문구 장한로26가길 29 어반슈필라움 1층 102, 103호||02-2244-0092|2.0|육류,고기|
소담촌 장안점|서울 동대문구 사가정로 207 4층|영업시간 매일 11:00 ~ 22:00|02-2212-1399|4.1|샤브샤브|
부부횟집 장안점|서울 동대문구 장한로 198|영업시간 매일 11:30 ~ 22:40|02-2248-8881|3.0|회|
신락원|서울 동대문구 전농로20길 2|영업시간 화~일 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00|02-2244-0008|3.7|중국요리|
로운샤브샤브 청량리점|서울 동대문구 왕산로 214|영업시간 매일 11:00 ~ 21:00|02-6425-2015|3.3|샤브샤브|
이문동그집|서울 동대문구 이문로 195 1층|영업시간 화~일 12:00 ~ 23:00|02-966-7892|3.9|육류,고기|
장군집|서울 동대문구 회기로25길 23-5|영업시간 매일 17:00 ~ 03:00|010-2705-3099|3.2|육류,고기|
서산간장게장|서울 동대문구 장한로24길 7|매일 00:00 ~ 24:00|02-2217-3078|4.1|게,대게|
카페몰로|서울 동대문구 회기로 163 1층|영업시간 매일 11:00 ~ 22:00|02-966-1301|3.7|디저트카페|
비나레스토랑|서울 동대문구 안암로24길 4|영업시간 매일 11:00 ~ 21:00|02-926-5860|4.7|인도음식|
원조골뱅이전문점|서울 동대문구 왕산로37길 7|영업시간 월~토 17:00 ~ 05:00|02-959-6131|3.8|실내포장마차|
