맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
피오니 홍대점|서울 마포구 독막로7길 51 1층|영업시간 매일 12:00 ~ 21:00|02-333-5325|3.8|카페|
바다회사랑|서울 마포구 동교로27길 60 1층|영업시간 매일 14:30 ~ 23:00|02-338-0872|3.2|회|
프릳츠 도화점|서울 마포구 새창로2길 17|명절|02-3275-2045|3.9|디저트카페|
소이연남|서울 마포구 동교로 267 1층|영업시간 매일 11:00 ~ 21:00 · 브레이크타임 매일 14:30 ~ 17:00|02-323-5130|3.9|태국음식|
바다회사랑 2호점|서울 마포구 동교로 143 1,2층|월~토 14:30 ~ 01:00|02-325-6565|3.4|회|
을밀대 본점|서울 마포구 숭문길 24|명절|02-717-1922|4.1|냉면|
크레이지카츠|서울 마포구 포은로2나길 44|영업시간 매일 11:30 ~ 20:30|070-8621-7219|4.0|돈까스,우동|
테이스티버거|서울 마포구 독막로 67-11 행운빌딩 1층|영업시간 화~일 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 16:30|02-336-3034|3.5|햄버거|
마포진짜원조최대포 본점|서울 마포구 마포대로 112-4|영업시간 매일 11:00 ~ 24:00|02-719-9292|2.6|육류,고기|
어반플랜트 합정|서울 마포구 독막로4길 3 1~3층|영업시간 매일 10:00 ~ 22:00|070-4192-0378|4.2|카페|
피오니 홍대점|서울 마포구 독막로7길 51 1층|영업시간 매일 12:00 ~ 21:00|02-333-5325|3.8|카페|
바다회사랑|서울 마포구 동교로27길 60 1층|영업시간 매일 14:30 ~ 23:00|02-338-0872|3.2|회|
프릳츠 도화점|서울 마포구 새창로2길 17|명절|02-3275-2045|3.9|디저트카페|
소이연남|서울 마포구 동교로 267 1층|영업시간 매일 11:00 ~ 21:00 · 브레이크타임 매일 14:30 ~ 17:00|02-323-5130|3.9|태국음식|
바다회사랑 2호점|서울 마포구 동교로 143 1,2층|월~토 14:30 ~ 01:00|02-325-6565|3.4|회|
을밀대 본점|서울 마포구 숭문길 24|명절|02-717-1922|4.1|냉면|
크레이지카츠|서울 마포구 포은로2나길 44|영업시간 매일 11:30 ~ 20:30|070-8621-7219|4.0|돈까스,우동|
테이스티버거|서울 마포구 독막로 67-11 행운빌딩 1층|영업시간 화~일 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 16:30|02-336-3034|3.5|햄버거|
마포진짜원조최대포 본점|서울 마포구 마포대로 112-4|영업시간 매일 11:00 ~ 24:00|02-719-9292|2.6|육류,고기|
황금콩밭|서울 마포구 마포대로16길 9|설연휴|02-313-2952|3.8|두부전문점|
오레노라멘 합정본점|서울 마포구 독막로6길 14|영업시간 월,화,수,금,토,일 11:00 ~ 21:00||4.3|일본식라면|
역전회관|서울 마포구 토정로37길 47|설연휴|02-703-0019|3.1|불고기,두루치기|
망원동즉석우동전문돈까스 본점|서울 마포구 동교로 83 1층|영업시간 월~토 11:00 ~ 22:00|02-336-1330|3.8|돈까스,우동|
어글리베이커리|서울 마포구 월드컵로13길 73|영업시간 수~일 12:00 ~ 21:00|02-338-2018|3.1|제과,베이커리|
진미식당|서울 마포구 마포대로 186-6|공휴일|02-3211-4468|3.6|게,대게|
미쁘동|서울 마포구 동교로38길 33-21 2층|영업시간 매일 11:00 ~ 22:00|070-4242-1881||일식|
마포나루 도화본점|서울 마포구 삼개로 11|영업시간 매일 11:30 ~ 22:00|02-711-5959|4.1|한정식|
