맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
목란|서울 서대문구 연희로15길 21|설연휴|02-732-0054|3.2|중식|
만동제과|서울 서대문구 연희로 32 1층|영업시간 매일 11:00 ~ 20:30|02-6489-2334|4.3|제과,베이커리|
카덴 연희본점|서울 서대문구 연희로 173 거화빌딩 1층|영업시간 토 11:30 ~ 21:30|02-3142-6362|3.3|일식|
신촌형제갈비|서울 서대문구 명물1길 2|영업시간 매일 11:00 ~ 22:00|02-365-0001|2.6|갈비|
한옥집김치찜 서대문본점|서울 서대문구 통일로9길 12 1층|영업시간 매일 10:50 ~ 21:30|02-362-8653|2.7|한식|
락희안 명지대본점|서울 서대문구 가재울로4길 53 1, 2층|명절|02-375-7576|4.0|중국요리|
고미정|서울 서대문구 연희로26길 28|영업시간 화~일 11:30 ~ 21:30|02-324-0016|3.7|한정식|
라구식당|서울 서대문구 연세로 42-24 1층|영업시간 매일 11:30 ~ 21:00 · 브레이크타임 토,일 15:00 ~ 16:00|02-364-2224|4.0|이탈리안|
앤트러사이트 연희점|서울 서대문구 연희로 135|영업시간 토,일 09:00 ~ 23:00|02-332-7650|3.6|커피전문점|
피터팬1978 본점|서울 서대문구 증가로 10 연궁빌딩 1층|영업시간 매일 08:00 ~ 21:00|02-336-4775|4.1|제과,베이커리|
맛있는집|서울 서대문구 거북골로20길 55 지하1층|영업시간 매일 11:00 ~ 20:00|02-305-1906|4.5|떡볶이|
철길떡볶이|서울 서대문구 충정로 35-6|토요일|02-364-3440|2.8|떡볶이|
연희동칼국수 본점|서울 서대문구 연희맛로 37 2층||02-333-3955|3.3|국수|
고삼이 신촌점|서울 서대문구 연세로7안길 38|영업시간 매일 10:00 ~ 21:00|02-324-1403|4.5|해물,생선|
연경 연희점|서울 서대문구 연희로 145|영업시간 매일 11:00 ~ 21:30|02-333-6655|3.1|중국요리|
신촌황소곱창 신촌본점|서울 서대문구 연세로9길 31 1층|매일 15:00 ~ 03:00|02-337-2640|2.1|곱창,막창|
소신이쏘|서울 서대문구 연세로5가길 19 1층|영업시간 매일 12:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|02-324-3245|3.8|갈비|
시오 연희본점|서울 서대문구 연희로11가길 23 1층|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:10|02-3144-6919|3.5|일식집|
수빈|서울 서대문구 연희로25길 31-3 1,2층|기간 2023년 1월 21일 ~ 2023년 1월 24일|02-307-9979||한정식|
더파이홀|서울 서대문구 연세로5나길 20 1층|영업시간 매일 11:00 ~ 23:00|02-334-1181|3.9|커피전문점|
어머니와아들|서울 서대문구 홍은중앙로 100-1 1층|영업시간 화~일 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00|02-391-0411|4.2|한식|
콘하스 연희점|서울 서대문구 연희로27길 99|영업시간 월~토 10:00 ~ 23:00|02-325-0792|2.5|카페|
부엉이돈가스 신촌점|서울 서대문구 연세로4길 62|영업시간 월,수,목,금,토,일 12:00 ~ 21:00|02-312-1216|4.0|돈까스,우동|
정육면체|서울 서대문구 연세로5다길 22-8 1층|영업시간 매일 11:30 ~ 21:00|070-4179-3819|3.7|퓨전요리|
카라멘야|서울 서대문구 연세로7안길 34-1 1층|영업시간 매일 11:30 ~ 21:30|0507-1320-6221|3.8|일본식라면|
벙커1|서울 서대문구 충정로 20|토,일요일|02-771-7707|4.4|카페|
꼬숑돈까스|서울 서대문구 명물1길 2 1층|||3.6|돈까스,우동|
복성각|서울 서대문구 명물1길 24|영업시간 매일 11:30 ~ 21:00|02-364-1522|3.3|중국요리|
또보겠지떡볶이집 신촌히어로점|서울 서대문구 연세로4길 19 2층|영업시간 토 11:30 ~ 21:00||4.2|떡볶이|
이화원|서울 서대문구 연희맛로 13|영업시간 매일 11:30 ~ 22:00|02-334-1888|2.9|중국요리|
사조미가|서울 서대문구 통일로 107-39 사조빌딩 2층|명절|02-362-1806|3.4|한정식|
편의방|서울 서대문구 연희로 36|영업시간 매일 12:00 ~ 21:00|02-363-5887|3.8|중국요리|
미스터서왕만두|서울 서대문구 신촌역로 16|영업시간 매일 11:00 ~ 21:00 · 브레이크타임 화~일 15:00 ~ 17:00|02-312-8869|4.5|분식|
미도인 신촌|서울 서대문구 명물길 33 2층|영업시간 매일 11:30 ~ 21:30 · 브레이크타임 매일 15:30 ~ 16:30|02-313-6111|3.6|일식|
가야가야 이대점|서울 서대문구 이화여대5길 7-3|영업시간 매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00|02-363-7877|2.6|일본식라면|
