맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
몽탄|서울 용산구 백범로99길 50 1,2층|영업시간 매일 12:00 ~ 22:00|02-794-8592|3.3|갈비|
구복만두|서울 용산구 두텁바위로 7 1층|영업시간 매일 11:00 ~ 20:00|02-797-8656|3.7|분식|
맥심플랜트|서울 용산구 이태원로 250|영업시간 매일 10:00 ~ 22:00|070-4287-8557|4.4|카페|
올드페리도넛|서울 용산구 한남대로27길 66 2층|영업시간 매일 11:00 ~ 20:30|02-6015-2022|3.8|도넛|
패션5 한남점|서울 용산구 이태원로 272 1층|영업시간 매일 07:30 ~ 22:00|02-2071-9515|3.0|제과,베이커리|
한남동한방통닭|서울 용산구 대사관로34길 38|영업시간 월~토 16:10 ~ 02:00|02-797-8677|4.0|치킨|
로우앤슬로우|서울 용산구 보광로 126 2층|영업시간 매일 12:00 ~ 21:20|02-793-2268||육류,고기|
오근내닭갈비|서울 용산구 이촌로29길 15|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 15:30 ~ 16:30|02-797-0131|3.5|닭요리|
손문 대구막창갈매기살 용산점|서울 용산구 새창로 213-9|영업시간 매일 15:00 ~ 23:00|02-793-3189|4.2|육류,고기|
남영돈|서울 용산구 한강대로80길 17 1층|영업시간 토,일 15:00 ~ 21:00||4.0|육류,고기|
다운타우너 한남|서울 용산구 대사관로5길 12 1층|영업시간 매일 11:30 ~ 21:30|070-8806-3696|4.2|햄버거|
파이프그라운드|서울 용산구 한남대로27길 66 지하 1층|영업시간 매일 10:30 ~ 22:30|02-793-1500|3.9|피자|
오스테리아 오르조 한남|서울 용산구 한남대로20길 47 2층|영업시간 매일 12:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30|02-322-0801|4.3|스테이크,립|
바토스 이태원점|서울 용산구 이태원로15길 1 1,2층|영업시간 금,토 11:30 ~ 23:00|02-797-8226|3.6|멕시칸,브라질|
24시뼈다귀감자탕|서울 용산구 대사관로 73 1층|월,수,목,금,토,일 00:00 ~ 24:00|02-790-8309|4.0|감자탕|
효뜨|서울 용산구 한강대로40가길 6 1,2층|영업시간 토,일 11:30 ~ 21:00 · 브레이크타임 토,일 15:00 ~ 17:00|02-794-0526||베트남음식|
부자피자 1호점|서울 용산구 이태원로55가길 28|영업시간 매일 11:30 ~ 22:30|02-794-9474|3.8|피자|
아이오유|서울 용산구 원효로1길 16|영업시간 매일 11:30 ~ 23:00 · 브레이크타임 매일 14:30 ~ 17:00|02-3275-1151|3.4|이탈리안|
오근내2닭갈비|서울 용산구 한강대로11길 13|영업시간 매일 11:30 ~ 22:30 · 브레이크타임 매일 15:00 ~ 16:30|02-798-0131|3.0|닭요리|
명동교자 이태원점|서울 용산구 녹사평대로 136|영업시간 매일 10:30 ~ 21:30 · 브레이크타임 매일 15:30 ~ 17:00|02-790-7300|3.9|분식|
오츠커피|서울 용산구 원효로89길 13-12|영업시간 토,일 12:00 ~ 20:00||4.5|카페|
오리올|서울 용산구 신흥로20길 43 2층|영업시간 토,일 12:00 ~ 22:00|02-6406-5252|3.0|양식|
기와|서울 용산구 한강대로21나길 40|영업시간 매일 11:30 ~ 21:30|02-710-7777|3.5|한정식|
돈까스잔치 동빙고점|서울 용산구 서빙고로 297|영업시간 매일 10:30 ~ 21:30|02-796-9969|2.8|돈까스,우동|
홍철책빵|서울 용산구 한강대로102길 57 1,2층|영업시간 매일 13:30 ~ 22:30||2.6|와인바|
보니스피자펍|서울 용산구 신흥로3길 2|영업시간 토 11:30 ~ 22:00|02-792-0303|3.6|피자|
일미집|서울 용산구 후암로 1-1 1층|영업시간 매일 11:00 ~ 22:00|02-776-0670|3.3|감자탕|
사유|서울 용산구 이태원로54길 5|영업시간 매일 11:00 ~ 22:00|02-2289-9050|3.1|갤러리카페|
앤트러사이트 한남점|서울 용산구 이태원로 240 1~3층|영업시간 토 10:00 ~ 23:00|02-797-7508|3.7|카페|
조대포 남영본점|서울 용산구 한강대로 272-1 1층|영업시간 매일 14:00 ~ 05:00|02-701-1060|4.2|육류,고기|
나리의집|서울 용산구 이태원로 245|영업시간 월~토 14:00 ~ 05:00|02-793-4860|3.2|삼겹살|
