맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
1인1잔|서울 은평구 연서로 534 1,2층|영업시간 화~일 10:00 ~ 21:00|02-355-1111|3.7|카페|
백년가게 만포면옥 본점|서울 은평구 연서로 171 1, 2층|영업시간 매일 11:00 ~ 21:00|02-389-3917|3.4|한식|
벙구갈비|서울 은평구 응암로 269 1층|영업시간 매일 11:00 ~ 23:00|02-352-5092|4.5|갈비|
원조두꺼비집불오징어|서울 은평구 연서로28길 5 1,2층|명절|02-355-3130|4.3|해물,생선|
충무칼국수|서울 은평구 은평로 193 2층|영업시간 매일 10:30 ~ 22:00|02-3142-3198|4.4|국수|
가이오국수 본점|서울 은평구 연서로 132 1층|영업시간 월~토 11:30 ~ 21:00|02-388-0621|4.0|국수|
구석집|서울 은평구 통일로83길 17-5 1층|영업시간 매일 16:30 ~ 01:00|02-353-5157|3.8|호프,요리주점|
옥탑방|서울 은평구 서오릉로 115 1층|영업시간 매일 12:00 ~ 22:00||4.4|삼겹살|
홍제동30년 우동국수|서울 은평구 서오릉로 242|토,일요일|02-388-5929|2.9|국수|
중화원|서울 은평구 통일로66길 10-16|영업시간 매일 11:00 ~ 20:00|02-353-3379|3.6|중국요리|
갈현동할머니떡볶이|서울 은평구 통일로87길 8-1|영업시간 화~일 09:30 ~ 19:30|02-354-8399|3.3|떡볶이|
제주도그릴 특상 은평본점|서울 은평구 응암로 373 역촌빌딩 1층|영업시간 매일 16:00 ~ 23:00|02-3157-2571|3.4|육류,고기|
스시쇼부 1호점|서울 은평구 은평로13길 11-9 1,2층|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 18:00|02-385-0045|3.0|초밥,롤|
카페뤽상부르|서울 은평구 연서로25길 6-11 1, 2층|영업시간 매일 11:00 ~ 23:00|02-385-2846|3.8|커피전문점|
근린커피|서울 은평구 응암로21길 23|영업시간 매일 11:00 ~ 22:00|070-7715-5300|3.5|카페|
원조은평감자국|서울 은평구 응암로 287|영업시간 월,수,목,금,토,일 10:00 ~ 24:00|02-389-4458|4.3|감자탕|
골목집갈비살|서울 은평구 연서로27길 12-9 1층|영업시간 매일 17:00 ~ 24:00|02-6398-4586|4.2|갈비|
풍천장어 응암점|서울 은평구 응암로 340-1 대진빌딩 1층|영업시간 매일 10:30 ~ 22:00|02-351-9989|5.0|장어|
휴식|서울 은평구 연서로26길 14 2층|영업시간 월,수,목,금,토,일 11:00 ~ 22:00 · 브레이크타임 월,수,목,금,토,일 16:00 ~ 17:00|02-386-0437|4.0|이탈리안|
차이몬스터|서울 은평구 불광천길 334 1층|영업시간 매일 11:30 ~ 22:00|02-305-7843|3.8|중국요리|
서부감자국|서울 은평구 서오릉로 8|매일 00:00 ~ 24:00|02-356-4555|3.0|감자탕|
접시고기|서울 은평구 연서로29길 22 1층|영업시간 매일 16:30 ~ 01:00||4.0|육류,고기|
롱브레드 은평한옥마을점|서울 은평구 연서로 530 1, 2층|영업시간 매일 10:00 ~ 20:00|02-352-7290|3.0|테마카페|
머슴과마님|서울 은평구 응암로 369-1|영업시간 매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 16:30|02-388-3331|3.4|닭요리|
