맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
다래함박스텍|서울 강북구 수유로 20-2|화~일 10:00 ~ 21:00 · 점심시간 화~일 15:00 ~ 16:00|02-2241-7558|4.3|돈까스,우동|
제일분식|서울 강북구 숭인로 65-3 숭인시장|월~토 09:00 ~ 21:00|02-985-7333|3.0|분식|
진호횟집|서울 강북구 도봉로98길 33 1층||02-902-9915|4.3|회|
대보명가 서울본점|서울 강북구 4.19로 69|영업시간 월,화,수,금,토,일 11:00 ~ 21:00|02-907-6998|3.4|한식|
엘림들깨수제비칼국수|서울 강북구 삼각산로 67|영업시간 월~토 11:30 ~ 21:30 · 브레이크타임 월~토 15:30 ~ 17:00|02-996-2583|4.4|국수|
카페어니언 미아점|서울 강북구 솔매로50길 55 1층|매일 10:00 ~ 22:00|070-7816-2714|4.4|카페|
소담촌 수유점|서울 강북구 도봉로 388 테마빌딩 8층|영업시간 매일 11:00 ~ 22:00|02-903-9033|3.6|샤브샤브|
대광어회집|서울 강북구 노해로 31|영업시간 매일 16:00 ~ 04:00|02-903-6789|3.9|회|
장수마늘보쌈|서울 강북구 덕릉로 192|영업시간 화~일 11:00 ~ 23:00|02-997-6155|4.3|족발,보쌈|
소담촌 미아사거리점|서울 강북구 월계로 3 덕신빌딩 5층|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 토,일 16:00 ~ 17:00|02-987-5566|4.1|샤브샤브|
스시노칸도 수유점|서울 강북구 한천로139나길 1 3층|영업시간 매일 11:30 ~ 22:00|02-997-5949|3.5|초밥,롤|
황주집|서울 강북구 도봉로 372|영업시간 매일 12:00 ~ 24:00|02-903-6275|3.3|곱창,막창|
무너미|서울 강북구 노해로8가길 40 1층||02-903-5058||커피전문점|
샘터마루|서울 강북구 4.19로12길 35|명절|02-902-6456||한식|
우이산장키토산|서울 강북구 삼양로181길 141-5 2층|영업시간 매일 11:00 ~ 22:00|02-999-9119|3.4|오리|
깃든|서울 강북구 월계로7나길 46-5 1층|영업시간 월~토 11:00 ~ 23:00|02-987-1025|4.9|육류,고기|
흥부전놀부전|서울 강북구 노해로 42-1|영업시간 월~토 16:00 ~ 02:00|02-900-2779|3.4|호프,요리주점|
조연탄 수유점|서울 강북구 한천로140길 20|영업시간 월~토 14:00 ~ 23:00|02-996-8858|4.7|육류,고기|
대가집|서울 강북구 한천로 1158|매일 10:00 ~ 24:00|02-914-9428|3.8|감자탕|
미즐카페엠|서울 강북구 4.19로 107|영업시간 매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 16:30|02-999-5055|3.0|카페|
원조할매곱창 미아점|서울 강북구 월계로3길 68|영업시간 매일 13:00 ~ 06:00|02-989-0878|2.7|곱창,막창|
산성골|서울 강북구 덕릉로 126|영업시간 매일 11:00 ~ 22:00|02-989-7341|3.1|육류,고기|
낙지일번지|서울 강북구 도봉로89길 10 1층|영업시간 매일 11:30 ~ 23:30|02-907-1017|5.0|해물,생선|
상미규카츠 수유본점|서울 강북구 도봉로87길 32 1층|영업시간 매일 11:40 ~ 22:00|02-996-8892|3.7|돈까스,우동|
조개일번지|서울 강북구 도봉로8길 37|영업시간 매일 13:00 ~ 23:00|02-988-1014|3.9|조개|
옛곰탕집|서울 강북구 도봉로71가길 4|월~토 08:00 ~ 20:00|070-8945-8288|4.6|곰탕|
착한낙지 수유점|서울 강북구 4.19로 82|영업시간 매일 11:00 ~ 23:00|02-905-7963|3.9|해물,생선|
미림산장|서울 강북구 삼양로181길 253||02-993-3330|2.8|한식|
수유손칼국수|서울 강북구 도봉로101길 45|영업시간 월,목,금,토,일 10:30 ~ 20:00 · 브레이크타임 월,목,금,토,일 15:00 ~ 17:00|02-905-9949|3.0|국수|
경계선|서울 강북구 삼각산로 22-7 1층|영업시간 화~일 11:00 ~ 19:00|010-3957-7341|4.1|커피전문점|
주막|서울 강북구 월계로7나길 30-3|영업시간 매일 15:00 ~ 02:30|070-7607-1680|4.5|호프,요리주점|
큰두레참숯 국내산무한리필|서울 강북구 도봉로 284 1층|영업시간 매일 11:30 ~ 23:00|02-983-9992|4.9|육류,고기|
진미기사식당|서울 강북구 한천로 1163 1층|매일 05:30 ~ 22:00|02-998-0010|4.3|기사식당|
능이마을|서울 강북구 솔샘로 330|영업시간 매일 11:00 ~ 22:00|02-987-5292|4.3|오리|
춘천골닭갈비|서울 강북구 한천로 1050|영업시간 매일 11:30 ~ 23:00 · 브레이크타임 매일 16:00 ~ 17:00|02-992-5772|4.4|닭요리|
화로상회 수유점|서울 강북구 한천로140길 22|영업시간 매일 12:00 ~ 02:00|02-992-9993|3.2|고기뷔페|
명인갈비 미아직영점|서울 강북구 솔샘로 327 1층 101호|영업시간 화~일 11:00 ~ 21:50|02-986-9292|4.6|갈비|
크을농|서울 강북구 4.19로 91 1층|영업시간 매일 11:30 ~ 21:00|02-990-7900|3.7|한식|
동네함박|서울 강북구 도봉로15길 11 2층|영업시간 토 11:00 ~ 21:00 · 브레이크타임 토 15:00 ~ 16:00|02-6104-0418|3.7|양식|
육두막|서울 강북구 노해로 38|영업시간 화~일 12:00 ~ 24:00|02-994-1100|3.9|육류,고기|
카페산아래|서울 강북구 삼양로181길 56|영업시간 토,일 11:00 ~ 22:00||3.2|카페|
애슐리퀸즈 미아사거리역점|서울 강북구 도봉로 52 와이스퀘어 5층|영업시간 매일 11:00 ~ 21:00|0507-1413-0041|3.0|패밀리레스토랑|
카페멘디|서울 강북구 4.19로8길 7-2 1층|화~일 10:00 ~ 22:00|02-990-7832||카페|
붉은대게 수유본점|서울 강북구 노해로 28|기간 2023년 1월 21일|02-908-5507||게,대게|
라공방 수유점|서울 강북구 한천로139길 42 영남빌딩 1층|매일 00:00 ~ 24:00|02-998-1011|2.8|중국요리|
상미식당|서울 강북구 수유로 82|영업시간 매일 11:30 ~ 21:30|02-900-7575|3.1|일식집|
릴렉스|서울 강북구 삼양로181길 142|영업시간 매일 11:00 ~ 21:30||4.0|카페|
일번지정육식당 수유점|서울 강북구 한천로140길 5|영업시간 매일 11:00 ~ 23:10|02-903-1015|4.2|육류,고기|
옥류헌|서울 강북구 삼양로181길 142|영업시간 매일 11:30 ~ 21:30|02-993-1829|2.1|한정식|
송현초밥|서울 강북구 월계로7길 34|영업시간 매일 11:30 ~ 22:30|02-985-7669|3.9|초밥,롤|
풍천장어마을|서울 강북구 삼양로181길 45|영업시간 매일 11:00 ~ 22:00|02-956-1991|2.2|장어|
여러분평양냉면|서울 강북구 한천로 1074 1층|영업시간 월~토 11:30 ~ 21:00|02-998-5802|4.7|냉면|
짚신매운갈비찜 미아본점|서울 강북구 월계로7나길 30-9|영업시간 매일 12:00 ~ 03:00|02-982-9932|3.4|갈비|
