맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
감동식당|서울 노원구 한글비석로47길 58 1층|화~일 12:00 ~ 22:00 · 브레이크타임 화~일 15:30 ~ 17:00|070-7543-4481|4.9|한식|
강강술래 상계지점|서울 노원구 동일로 1628 1층|매일 11:00 ~ 22:00|02-935-9233|3.5|육류,고기|
로니로티 노원점|서울 노원구 상계로 63-7 청우빌딩 2층 201호|매일 11:30 ~ 22:30|02-3391-7999|4.2|양식|
라라브레드 공릉점|서울 노원구 공릉로41길 32|매일 10:00 ~ 21:00|1800-2790|3.9|디저트카페|
경복식당|서울 노원구 공릉로39길 10|화~일 10:00 ~ 20:00 · 브레이크타임 화~일 15:00 ~ 17:00|02-949-7331|4.7|한식|
신가네칼국수 노원본점|서울 노원구 공릉로59나길 78-14 1층|매일 08:30 ~ 21:30 · 브레이크타임 매일 16:00 ~ 17:00|02-948-9956|4.2|한식|
닭한마리 공릉본점|서울 노원구 동일로 1020|매일 11:30 ~ 22:00|02-972-7459|4.0|닭요리|
소담촌 노원역점|서울 노원구 상계로 90 마블러스1 2층|매일 11:00 ~ 22:00|02-933-5522|3.5|샤브샤브|
제일콩집|서울 노원구 동일로174길 37-8|명절|02-972-7016|3.7|두부전문점|
땅코참숯구이 노원점|서울 노원구 노해로85길 15-5|영업시간 매일 15:00 ~ 23:00|02-931-2856|4.6|삼겹살|
숟가락반상 마실 노원점|서울 노원구 노원로 412|매일 11:30 ~ 21:30|02-930-5111||한식|
크래버대게나라 노원점|서울 노원구 한글비석로 326 1층|매일 11:30 ~ 23:00|02-931-2338|3.9|게,대게|
경회루|서울 노원구 동일로 1005 지하1층|매일 11:00 ~ 22:00|02-972-2774||한정식|
왕십리조개창고 노원점|서울 노원구 상계로1길 38-11 우창프라자 2층 201호|영업시간 토,일 13:00 ~ 23:30|010-3942-3533|3.3|조개|
응순가재골수제비|서울 노원구 동일로242길 100 1층|매일 11:00 ~ 21:00|02-939-6778|2.6|수제비|
어글리스토브 노원역점|서울 노원구 노해로81길 12-21 3층|매일 10:30 ~ 21:30|02-935-8459|3.9|양식|
에그머니|서울 노원구 동일로174길 9-52 1층|화~일 11:30 ~ 20:30 · 브레이크타임 화~일 15:00 ~ 17:00|02-977-2999|4.2|양식|
털보고된이 본점|서울 노원구 노해로81길 22-22|매일 11:00 ~ 22:00|02-932-8616|4.1|해물,생선|
해품장 팔팔장어 본점|서울 노원구 노원로 192|매일 11:30 ~ 22:00|02-977-8892|3.8|장어|
화포식당 노원점|서울 노원구 상계로 72|설전날|02-936-6699|3.9|육류,고기|
풍미연|서울 노원구 노해로85길 7|매일 00:00 ~ 24:00|02-936-2315|2.5|설렁탕|
참만나|서울 노원구 화랑로 443 디벨리움 3층|매일 11:30 ~ 22:00|02-974-1500|4.4|갈비|
감각|서울 노원구 상계로 77 1층|매일 11:00 ~ 23:00|070-7576-4177|3.1|카페|
시드누아 노원본점|서울 노원구 상계로 84|매일 08:30 ~ 02:00|02-938-9559|2.7|카페|
