맛집명|주소|영업시간|전화번호|대표사진주소
다래함박스텍|서울 강북구 수유로 20-2|월요일|02-2241-7558|
제일분식|서울 강북구 숭인로 65-3 숭인시장|영업시간 월~토 09:00 ~ 21:00|02-985-7333|
진호횟집|서울 강북구 도봉로98길 33 1층||02-902-9915|
대보명가 서울본점|서울 강북구 4.19로 69|영업시간 월,화,수,금,토,일 11:00 ~ 21:00|02-907-6998|
엘림들깨수제비칼국수|서울 강북구 삼각산로 67|영업시간 월~토 11:30 ~ 21:30 · 브레이크타임 월~토 15:30 ~ 17:00|02-996-2583|
카페어니언 미아점|서울 강북구 솔매로50길 55 1층|영업시간 매일 10:00 ~ 22:00|070-7816-2714|
대광어회집|서울 강북구 노해로 31|매일 16:00 ~ 04:00|02-903-6789|
소담촌 수유점|서울 강북구 도봉로 388 테마빌딩 8층|영업시간 매일 11:00 ~ 22:00|02-903-9033|
장수마늘보쌈|서울 강북구 덕릉로 192|월요일|02-997-6155|
스시노칸도 수유점|서울 강북구 한천로139나길 1 3층|영업시간 매일 11:30 ~ 22:00|02-997-5949|
소담촌 미아사거리점|서울 강북구 월계로 3 덕신빌딩 5층|영업시간 매일 11:30 ~ 22:00|02-987-5566|
황주집|서울 강북구 도봉로 372|매일 12:00 ~ 24:00|02-903-6275|
샘터마루|서울 강북구 4.19로12길 35|영업시간 매일 06:30 ~ 20:00|02-902-6456|
무너미|서울 강북구 노해로8가길 40 1층||02-903-5058|
우이산장키토산|서울 강북구 삼양로181길 141-5 2층|영업시간 매일 11:00 ~ 22:00|02-999-9119|
흥부전놀부전|서울 강북구 노해로 42-1|월~토 16:00 ~ 02:00|02-900-2779|
조연탄 수유점|서울 강북구 한천로140길 20|월~토 14:30 ~ 01:00|02-996-8858|
깃든|서울 강북구 월계로7나길 46-5 1층|월~토 11:00 ~ 23:00|02-987-1025|
대가집|서울 강북구 한천로 1158|매일 10:00 ~ 24:00|02-914-9428|
미즐카페엠|서울 강북구 4.19로 107|영업시간 매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 16:30|02-999-5055|
산성골|서울 강북구 덕릉로 126|영업시간 매일 11:00 ~ 22:00|02-989-7341|
원조할매곱창 미아점|서울 강북구 월계로3길 68|매일 13:00 ~ 06:00|02-989-0878|
옛곰탕집|서울 강북구 도봉로71가길 4|영업시간 월~토 08:00 ~ 20:00|070-8945-8288|
상미규카츠 수유본점|서울 강북구 도봉로87길 32 1층|영업시간 매일 11:40 ~ 22:00|02-996-8892|
조개일번지|서울 강북구 도봉로8길 37|매일 13:00 ~ 23:00|02-988-1014|
낙지일번지|서울 강북구 도봉로89길 10 1층|매일 11:30 ~ 23:30|02-907-1017|
착한낙지 수유점|서울 강북구 4.19로 82|매일 11:00 ~ 23:00|02-905-7963|
수유손칼국수|서울 강북구 도봉로101길 45|영업시간 월,목,금,토,일 10:30 ~ 20:00 · 브레이크타임 월,목,금,토,일 15:00 ~ 17:00|02-905-9949|
미림산장|서울 강북구 삼양로181길 253||02-993-3330|
경계선|서울 강북구 삼각산로 22-7|월요일|010-3957-7341|
진미기사식당|서울 강북구 한천로 1163 1층|영업시간 매일 05:30 ~ 22:00|02-998-0010|
