맛집명|주소|영업시간|전화번호|대표사진주소
감동식당|서울 노원구 한글비석로47길 58 1층|월요일|070-7543-4481|
강강술래 상계지점|서울 노원구 동일로 1628 1층|영업시간 매일 11:00 ~ 22:00|02-935-9233|
라라브레드 공릉점|서울 노원구 공릉로41길 32|영업시간 매일 10:00 ~ 21:00|1800-2790|
로니로티 노원점|서울 노원구 상계로 63-7 청우빌딩 2층 201호|영업시간 매일 11:30 ~ 22:30|02-3391-7999|
경복식당|서울 노원구 공릉로39길 10|월요일|02-949-7331|
닭한마리 공릉본점|서울 노원구 동일로 1020|영업시간 매일 11:30 ~ 22:00|02-972-7459|
신가네칼국수 노원본점|서울 노원구 공릉로59나길 78-14 1층|영업시간 매일 08:30 ~ 21:30 · 브레이크타임 매일 16:00 ~ 17:00|02-948-9956|
소담촌 노원역점|서울 노원구 상계로 90 마블러스1 2층|영업시간 매일 11:00 ~ 22:00|02-933-5522|
제일콩집|서울 노원구 동일로174길 37-8|영업시간 매일 10:00 ~ 21:00|02-972-7016|
땅코참숯구이 노원점|서울 노원구 노해로85길 15-5|월~금 15:30 ~ 23:00|02-931-2856|
숟가락반상 마실 노원점|서울 노원구 노원로 412|영업시간 매일 11:30 ~ 21:30 · 브레이크타임 월~금 15:00 ~ 17:00|02-930-5111|
크래버대게나라 노원점|서울 노원구 한글비석로 326 1층|매일 11:30 ~ 23:00|02-931-2338|
응순가재골수제비|서울 노원구 동일로242길 100 1층|영업시간 매일 11:00 ~ 21:00|02-939-6778|
왕십리조개창고 노원점|서울 노원구 상계로1길 38-11 우창프라자 2층 201호|월~금 17:00 ~ 23:30|010-3942-3533|
경회루|서울 노원구 동일로 1005 지하1층|영업시간 매일 11:00 ~ 22:00|02-972-2774|
어글리스토브 노원역점|서울 노원구 노해로81길 12-21 3층|영업시간 매일 10:30 ~ 21:30|02-935-8459|
에그머니|서울 노원구 동일로174길 9-52 1층||02-977-2999|
털보고된이 본점|서울 노원구 노해로81길 22-22|영업시간 매일 11:00 ~ 22:00|02-932-8616|
해품장 팔팔장어 본점|서울 노원구 노원로 192|영업시간 매일 11:30 ~ 22:00|02-977-8892|
화포식당 노원점|서울 노원구 상계로 72|매일 11:00 ~ 05:30|02-936-6699|
풍미연|서울 노원구 노해로85길 7|매일 00:00 ~ 24:00|02-936-2315|
참만나|서울 노원구 화랑로 443 디벨리움 3층|영업시간 매일 11:30 ~ 22:00|02-974-1500|
시드누아 노원본점|서울 노원구 상계로 84|매일 08:30 ~ 02:00|02-938-9559|
무명칼국수|서울 노원구 석계로7길 4|영업시간 매일 11:30 ~ 21:00|02-941-7776|
감각|서울 노원구 상계로 77 1층|매일 11:00 ~ 23:00|070-7576-4177|
삼덕식당|서울 노원구 상계로5길 9 1층|매일 11:00 ~ 02:00|02-932-1013|
소문난멸치국수|서울 노원구 동일로173가길 81|월~토 09:00 ~ 23:00||
풍성진감자탕|서울 노원구 노해로83길 10-11|매일 00:00 ~ 24:00|02-937-3732|
72420 노원직영점|서울 노원구 동일로217가길 11 1층|영업시간 매일 11:30 ~ 21:30|02-937-2420|
쪼매매운떡볶이 공릉점|서울 노원구 공릉로 208|영업시간 월,화,수,목,금,일 11:00 ~ 22:00|02-977-1120|
노원한우|서울 노원구 동일로218길 35|매일 14:00 ~ 23:00|02-935-9448|
제임스키친|서울 노원구 노해로81길 12-26 2층|영업시간 월~토 11:00 ~ 22:30|02-952-4748|
마들원|서울 노원구 공릉로62길 27-11|영업시간 매일 11:30 ~ 21:30|02-949-8000|
중원|서울 노원구 동일로242가길 36 1층|영업시간 매일 11:00 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00|02-930-6188|
제형면옥 하계점|서울 노원구 공릉로59나길 78-10 2층|영업시간 매일 10:00 ~ 22:00|02-978-8088|
이춘복참치 노원직영점|서울 노원구 노해로85길 10-7|월~금 16:00 ~ 00:00|02-951-4558|
화로상회 공릉점|서울 노원구 공릉로46길 6 현대프라자 1층 111호|매일 12:00 ~ 23:00|02-979-2292|
상상과자점|서울 노원구 동일로186길 77-7|월요일|02-977-8838|
아소코 공릉점|서울 노원구 동일로184길 53 1층|영업시간 매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00|02-6052-1003|
연어시장|서울 노원구 석계로 13|월~금 14:00 ~ 00:30|02-910-9540|
원조이모네연탄불곱창|서울 노원구 동일로192길 46|월~토 16:30 ~ 03:00|02-973-4658|
썸머타이|서울 노원구 노해로75길 14-25 동신빌딩 1층|영업시간 매일 11:00 ~ 21:30 · 브레이크타임1 월~금 15:00 ~ 16:00|02-935-3649|
돈까스먹는용만이|서울 노원구 한글비석로20길 52|월요일|02-931-8870|
엄마마늘보쌈|서울 노원구 석계로 16|월~토 11:30 ~ 23:00|02-913-9222|
멍텅구리즉석떡볶이 공릉점|서울 노원구 공릉로51길 14-2|월요일|02-978-4645|
호접몽|서울 노원구 중계로18길 9|영업시간 월 17:00 ~ 21:20|02-939-8082|
DNJ레스토랑|서울 노원구 노원로 244 1층||02-939-6700|
스시노칸도 노원역점|서울 노원구 상계로3길 28 영빈빌딩 4층|월~금 17:00 ~ 02:00|02-930-9281|
예향정 노원점|서울 노원구 동일로217가길 31 청화빌딩 2층|영업시간 월~금 10:30 ~ 21:30 · 브레이크타임 월~금 15:30 ~ 17:00|02-937-9998|
경성초밥|서울 노원구 공릉로 119-5|영업시간 월,수,목,금,토,일 11:30 ~ 22:00 · 브레이크타임 월,수,목,금,토,일 15:00 ~ 17:00|02-978-8864|
현경양고기|서울 노원구 상계로3길 21 202호|매일 11:30 ~ 01:00|02-903-9815|
태릉풍천장어|서울 노원구 화랑로 457|매일 12:00 ~ 23:30|02-975-0602|
하나샤브샤브 본점|서울 노원구 동일로203가길 29 브라운스톤상가 1층 101호|영업시간 매일 11:00 ~ 22:00|02-972-2656|
기찻길풍경야채곱창|서울 노원구 공릉로39길 21 1층 105호|월~토 14:00 ~ 23:00|02-978-8596|
스시웨이 노원점|서울 노원구 동일로 1374|영업시간 매일 11:30 ~ 22:30 · 브레이크타임 월~금 15:30 ~ 17:00|02-935-3774|
표준커피|서울 노원구 공릉로 119-5 이지스퀘어 1층|영업시간 매일 12:00 ~ 22:00|0507-1314-7603|
노원왕곱창|서울 노원구 상계로 90 마블러스2 1층|매일 16:00 ~ 04:00|02-936-6400|
중계고기파티|서울 노원구 중계로12길 6 1층|영업시간 매일 11:30 ~ 22:00|02-933-8892|
횡성한우정육백화점|서울 노원구 공릉로 162|영업시간 월~토 11:30 ~ 22:30|02-972-1712|
샛별제과|서울 노원구 상계로9길 23 101호|||
참누렁소|서울 노원구 공릉로63길 13|영업시간 매일 11:00 ~ 22:00|02-979-6400|
노원돈부리|서울 노원구 동일로 1343 동일프라자 101~103호|월,일요일|02-937-1295|
비손샤브칼국수 수락산점|서울 노원구 동일로 1660 2층 202호|영업시간 매일 11:30 ~ 22:00|02-938-4949|
수락이오냉면 본점|서울 노원구 동일로237다길 7 1층|월요일|02-935-2515|
아웃백스테이크하우스 노원점|서울 노원구 동일로 1419 디와이홀딩스빌딩|영업시간 매일 11:00 ~ 22:00|02-938-5471|
브로이하우스바네하임|서울 노원구 공릉로32길 54 고려빌딩 1,2층|매일 15:00 ~ 23:00|02-948-8003|
시즌|서울 노원구 상계로3길 38-2 2층|월요일||
스타벅스 공릉DT점|서울 노원구 동일로 1015|영업시간 월,화,수,목,금,일 07:00 ~ 22:00|1522-3232|
카페드미셸|서울 노원구 화랑로 441 미라쉘 1,2층|매일 10:00 ~ 23:00|02-971-1100|
위안바오|서울 노원구 동일로 1426|월요일|070-7723-9219|
