카페명|주소|영업시간|전화번호|대표사진주소
라라브레드 공릉점|서울 노원구 공릉로41길 32|영업시간 매일 10:00 ~ 21:00|1800-2790|
시드누아 노원본점|서울 노원구 상계로 84|매일 08:30 ~ 02:00|02-938-9559|
감각|서울 노원구 상계로 77 1층|영업시간 매일 11:00 ~ 23:00|070-7576-4177|
상상과자점|서울 노원구 동일로186길 77-7|월요일|02-977-8838|
표준커피|서울 노원구 공릉로 119-5 이지스퀘어 1층|영업시간 매일 12:00 ~ 22:00|0507-1314-7603|
샛별제과|서울 노원구 상계로9길 23 101호|||
시즌|서울 노원구 상계로3길 38-2 2층|월요일||
스타벅스 공릉DT점|서울 노원구 동일로 1015|영업시간 월,화,수,목,금,일 07:00 ~ 22:00|1522-3232|
카페드미셸|서울 노원구 화랑로 441 미라쉘 1,2층|영업시간 매일 10:00 ~ 23:00|02-971-1100|
따미커피|서울 노원구 공릉로 120|영업시간 매일 11:00 ~ 22:00|070-7793-1201|
커피베스코|서울 노원구 상계로 55 2층|월~금 10:30 ~ 01:00||
던모스|서울 노원구 공릉로27길 8 1, 2층|영업시간 월~목 12:00 ~ 22:00|010-3244-5044|
스윗레시피|서울 노원구 상계로1길 38 2층|영업시간 매일 14:00 ~ 21:00|02-6494-1004|
아너카페|서울 노원구 동일로192다길 9|월~목 11:30 ~ 01:00||
스타벅스 노원역점|서울 노원구 동일로 1413 남성빌딩 1층|영업시간 월~금 07:00 ~ 22:00|1522-3232|
스타벅스 상계초교사거리점|서울 노원구 노원로 449|영업시간 매일 08:30 ~ 22:00|1522-3232|
위플랜트위커피|서울 노원구 동일로178길 59-39 2층|영업시간 매일 12:00 ~ 21:00||
스타벅스 공릉역|서울 노원구 동일로 1081|영업시간 월~금 07:30 ~ 22:00|1522-3232|
무드쉐어|서울 노원구 공릉로 119-23 1층 101호|영업시간 월 13:30 ~ 22:00|070-8286-6626|
스타벅스 노원마들역점|서울 노원구 노원로 547 임광아파트상가|영업시간 매일 08:00 ~ 22:00|1522-3232|
디저트식탁|서울 노원구 상계로1길 14-29 2층|월,화요일|02-930-3313|
몽실디저트|서울 노원구 상계로 51 노원프라자빌딩 1층 105호|영업시간 매일 11:30 ~ 22:00|010-3072-9855|
투썸플레이스 노원문화의거리점|서울 노원구 상계로 69 201, 202호|매일 00:00 ~ 24:00|02-935-2388|
블루마일스커피로스터즈|서울 노원구 동일로190길 65 우화빌딩 2층|영업시간 매일 12:00 ~ 23:00|02-979-1003|
오누이|서울 노원구 동일로187길 12-47 1층|월,일요일||
오피셜커피|서울 노원구 동일로184길 69-7 1층 101호|매일 09:00 ~ 24:00||
더메이즈 노원점|서울 노원구 상계로5길 26 6층|영업시간 매일 10:00 ~ 23:00|02-6012-2620|
스타벅스 노원KT점|서울 노원구 노해로 502|영업시간 월 07:00 ~ 15:00|1522-3232|
스타벅스 태릉입구역DT|서울 노원구 화랑로 469|영업시간 매일 07:00 ~ 22:00||
플로레스테이블|서울 노원구 상계로5길 12 3층|월요일|02-931-9312|
스타벅스 중계역점|서울 노원구 동일로 1339 대한빌딩|영업시간 월~금 07:00 ~ 22:00|1522-3232|
미라쥬양과점|서울 노원구 동일로196길 15 1층|영업시간 월,수,목,금,토,일 12:00 ~ 20:00|010-2006-9433|
502세컨즈카페 노원점|서울 노원구 섬밭로 232 SMMA강북사옥 1층|매일 09:00 ~ 24:00|070-4465-7996|
에슬로우커피 공릉점|서울 노원구 노원로 3 우토파크프라자 1층|영업시간 매일 08:00 ~ 22:00|02-949-4542|
커피빈 노원역점|서울 노원구 노해로 490 길빌딩 2층|영업시간 월~금 07:00 ~ 22:00|02-952-9577|
파브커피|서울 노원구 동일로186길 76 1층|영업시간 매일 12:00 ~ 22:00||
플랫커피|서울 노원구 공릉로39길 20 1층|월요일|070-8614-8747|
비엔나커피하우스 노원역점|서울 노원구 동일로 1417 1층|영업시간 매일 07:00 ~ 23:00|02-932-1683|
카페기차가있는풍경|서울 노원구 화랑로 608 1~3층|월요일|02-2116-4398|
커피콩|서울 노원구 동일로191가길 19 1층|영업시간 월~금 10:00 ~ 21:00|02-977-6164|
이너모스트|서울 노원구 동일로183길 12-14 1층|영업시간 매일 12:00 ~ 22:00||
스타쿠빙|서울 노원구 동일로 1019||02-949-1885|
메모아|서울 노원구 동일로174길 37-16 JIN빌딩 1층|영업시간 월,수,목,금 12:00 ~ 21:00||
르다|서울 노원구 상계로9길 28|영업시간 매일 12:00 ~ 23:00|02-938-5599|
메트로폴리스|서울 노원구 동일로178길 11-9 1층|영업시간 매일 10:00 ~ 22:00||
세라젬웰카페 서울중계직영점|서울 노원구 덕릉로 688 1층|영업시간 매일 11:00 ~ 20:00|02-6951-0825|
점핑몬스터 상계백병원점|서울 노원구 동일로 1345 인천빌딩 5층|영업시간 매일 10:00 ~ 20:00|02-930-7942|
카페멍스 노원점|서울 노원구 상계로5길 19 2층 201호|영업시간 매일 11:00 ~ 21:30|02-933-7779|
1일1잔|서울 노원구 광운로2길 6 1층|영업시간 월~금 12:00 ~ 19:00|02-941-8911|
투썸플레이스 석계역점|서울 노원구 석계로1길 10 2층|매일 08:00 ~ 02:00|02-915-7955|
투썸플레이스 노원공릉점|서울 노원구 동일로192길 52|월,화,수,목,일 09:00 ~ 24:00|02-971-5656|
스타벅스 월계역점|서울 노원구 초안산로2라길 26 104~106호|영업시간 매일 08:00 ~ 21:00|1522-3232|
할리스 노원문화의거리점|서울 노원구 노해로81길 22-26|월,화,수,목,일 08:00 ~ 24:00|02-935-8231|
스타벅스 은행사거리점|서울 노원구 중계로 217 중흥빌딩 103,203호|영업시간 월~금 07:00 ~ 23:00|1522-3232|
37.5 노원하계점|서울 노원구 노원로 238 1층|영업시간 매일 09:30 ~ 21:30 · 브레이크타임 매일 16:00 ~ 17:00|02-979-3705|
에이치큐브|서울 노원구 노원로1길 73-12 지하1층,1,2층|매일 09:00 ~ 24:00||
카페밀크콩 하계점|서울 노원구 공릉로59나길 48-8 1,2층|영업시간 월~금 08:00 ~ 22:30|070-8821-9345|
라트커피|서울 노원구 한글비석로 245 두타빌상가 B동 1층 124호|영업시간 월~금 08:30 ~ 19:00|02-933-3505|
홈즈앤루팡 노원점|서울 노원구 상계로 64 화랑빌딩 3층|매일 12:00 ~ 24:00|02-952-8707|
아티스트웨이|서울 노원구 동일로192다길 55|월요일||
투썸플레이스 상계사거리점|서울 노원구 동일로 1374 2층|영업시간 매일 08:00 ~ 23:00|02-937-0014|
설빙 노원역점|서울 노원구 상계로 65 현성빌딩 2층|영업시간 매일 11:30 ~ 23:30|02-952-8970|
투썸플레이스 수락산역점|서울 노원구 동일로243길 13 1층|영업시간 매일 08:00 ~ 23:00|02-936-2241|
스타벅스 광운대점|서울 노원구 석계로 104|영업시간 월~금 08:00 ~ 20:00|1522-3232|
우리행성|서울 노원구 노원로32길 42-22 1층|영업시간 매일 09:00 ~ 21:00|02-933-1214|
마이브라더스커피|서울 노원구 공릉로46길 28 상가동 101호|영업시간 월~토 09:00 ~ 22:00||
설빙 수락산역점|서울 노원구 동일로242길 32 2층|영업시간 매일 10:00 ~ 23:00|02-938-6442|
커피나무 노원역점|서울 노원구 상계로1길 14-11|영업시간 월~금 07:00 ~ 23:00|02-931-7193|
유니온커피로스터|서울 노원구 동일로198길 72 1층|영업시간 매일 08:00 ~ 22:00|010-7400-5007|
카툰공감 노원역점|서울 노원구 상계로 65 현성빌딩 지하1층|매일 10:00 ~ 02:00|02-931-7272|
도니바니애견카페|서울 노원구 상계로 71-1 2층|영업시간 매일 11:00 ~ 21:00|02-933-1456|
