맛집명|주소|영업시간|전화번호|대표사진주소
하누소 창동본점|서울 도봉구 노해로 327 5층|영업시간 매일 11:00 ~ 22:00|02-900-9800|
동적불고기&깡통구이 쌍문점|서울 도봉구 도봉로109길 30 1층|매일 11:00 ~ 23:00|02-906-9732|
대문|서울 도봉구 시루봉로 139-6|매일 10:00 ~ 24:00|02-956-0843|
무수옥|서울 도봉구 도봉로165길 15|영업시간 월~토 10:00 ~ 22:00|02-954-6292|
쌍문동판다쓰|서울 도봉구 우이천로24길 49 1층|월요일|02-6052-1578|
수정궁|서울 도봉구 방학로 173|영업시간 월~토 16:00 ~ 22:00|02-3491-0440|
동해수산|서울 도봉구 도봉로 663-8|영업시간 매일 11:00 ~ 22:30|02-3491-8500|
메이다이닝|서울 도봉구 도봉로169길 202|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00|02-955-7722|
옹기꽃게장|서울 도봉구 도봉산4가길 14-9 1층|영업시간 매일 11:00 ~ 21:00|02-3493-8201|
삼오집|서울 도봉구 도봉로165길 4|매일 12:00 ~ 23:30|02-954-1916|
도봉관|서울 도봉구 노해로 261 1층|영업시간 매일 11:00 ~ 21:00|02-991-1231|
마쯔무라돈까스 본점|서울 도봉구 노해로63길 84 지하1층||02-991-9801|
소도둑 도봉동점|서울 도봉구 도봉로 909 1층|둘째,넷째 월요일|02-955-8882|
스시혼 창동점|서울 도봉구 도봉로110길 8|월요일|02-993-3290|
묵은지사랑|서울 도봉구 도봉로164길 38||02-954-5264|
호호분식|서울 도봉구 도봉로121길 32|영업시간 월~금 12:00 ~ 20:00|02-900-1377|
신화푸드빌리지 서울창동점|서울 도봉구 도봉로 526 2층||02-3297-3770|
삿뽀로 창동점|서울 도봉구 도봉로 610 2층|영업시간 매일 11:30 ~ 22:00|02-991-6777|
황금정원|서울 도봉구 방학로 312|영업시간 매일 11:00 ~ 22:00 · 브레이크타임 매일 16:00 ~ 17:00||
도봉산양고기|서울 도봉구 도봉로191길 99-6|영업시간 매일 12:00 ~ 22:00|02-3492-3324|
트라토리아진|서울 도봉구 도봉로110길 39-16 1층|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 16:00|02-6052-0529|
사이코우스시 쌍문점|서울 도봉구 방학로7길 99|영업시간 매일 11:00 ~ 22:30|02-999-4298|
천지연 서울창동점|서울 도봉구 도봉로 526|영업시간 매일 11:30 ~ 22:00|02-3297-3770|
함스브로트과자점|서울 도봉구 도봉로 483|영업시간 월~토 07:00 ~ 22:00|02-996-4488|
채랑|서울 도봉구 도봉로 465 1층|영업시간 매일 10:30 ~ 22:00|02-900-4001|
방학사거리짬뽕집 본점|서울 도봉구 도당로27길 22 1층|월요일|02-955-6558|
쭈꾸미킹 쌍문점|서울 도봉구 도봉로 425 1층|영업시간 매일 11:00 ~ 22:00|02-900-7191|
더차우|서울 도봉구 노해로63가길 101 신도브래뉴1차아파트 상가동 201~203호|월요일|02-900-1399|
북새통|서울 도봉구 덕릉로60길 54|월~목 15:00 ~ 24:00|02-903-5799|
와겐커피 방학점|서울 도봉구 도봉로150마길 15|매일 09:00 ~ 01:00|02-2277-3001|
카페작약|서울 도봉구 도봉로118길 10 2층|영업시간 매일 11:00 ~ 22:00|070-7740-0259|
뚝배기칼국수|서울 도봉구 도봉로 683|영업시간 월~토 10:00 ~ 22:00|02-3492-8502|
쌍문각갈비탕|서울 도봉구 노해로 180 1층|월요일|02-902-9988|
도봉산두부|서울 도봉구 도봉산길 65-5|영업시간 매일 09:30 ~ 20:30|02-956-1999|
통나무집|서울 도봉구 노해로60길 99|매일 11:00 ~ 23:30|02-900-6644|
꿀소담|서울 도봉구 해등로16길 67 1,2층|매일 08:30 ~ 24:00||
비스트로슬로우|서울 도봉구 방학로 169 2층|영업시간 매일 11:00 ~ 22:00|02-6349-2811|
찌마기 창동점|서울 도봉구 마들로11가길 13|매일 16:00 ~ 01:00|02-992-9233|
면장우동|서울 도봉구 도봉로118길 10 1층|월요일|070-4115-1115|
도레미즉석떡볶이|서울 도봉구 삼양로144길 18|영업시간 매일 10:00 ~ 21:00|02-905-6652|
맥반석조개구이|서울 도봉구 도봉로110나길 11|월~금 17:00 ~ 01:00|02-998-1050|
히비끼|서울 도봉구 마들로 664-5 도봉그랜드타워 2층 201호|매일 11:00 ~ 23:00|02-956-0880|
삼성숯불갈비|서울 도봉구 도당로 36|매일 11:30 ~ 23:00|02-3491-2685|
소통애 본점|서울 도봉구 도봉로136가길 73 북한산한신휴플러스아파트 104동 1층 104호|월~목 15:00 ~ 24:00|070-8763-5661|
은행골 도봉점|서울 도봉구 마들로 684|매일 11:00 ~ 23:00|02-955-4988|
산도토리임자탕|서울 도봉구 덕릉로60길 13 1층|영업시간 매일 11:00 ~ 21:00 · 브레이크타임 매일 16:00 ~ 17:00|02-903-9928|
홍방원|서울 도봉구 도봉로169나길 47|영업시간 매일 11:30 ~ 14:00|02-954-0719|
창동숯불돼지갈비|서울 도봉구 노해로63다길 17|월요일|02-900-9818|
설담재 창동본점|서울 도봉구 도봉로 562 1층|영업시간 매일 08:30 ~ 22:00|02-998-0202|
할머니토스트|서울 도봉구 덕릉로60다길 15 1층|영업시간 월,화,목,금,토,일 08:00 ~ 20:00|010-9512-8809|
카페오븐|서울 도봉구 해등로16길 12 현대아파트상가동 2층 201호|월,일요일|02-3141-0089|
짱나라24시해장국|서울 도봉구 도당로 55|매일 00:00 ~ 24:00|02-956-0664|
착한전복 창동점|서울 도봉구 해등로 139 상가 1층|영업시간 매일 11:30 ~ 21:30|02-903-4455|
글림 쌍문점|서울 도봉구 도봉로118길 6-8 1,2층|영업시간 월~토 10:00 ~ 22:00|02-6015-8515|
경복궁 창동점|서울 도봉구 도봉로 610 3,4층|영업시간 매일 11:30 ~ 22:00|02-992-6777|
코노하|서울 도봉구 우이천로20길 7 건영아파트 상가 103동 1층 118호|영업시간 월~토 11:30 ~ 15:00||
쌍문동커피|서울 도봉구 도봉로116길 5 1층|월~금 10:00 ~ 23:00||
무한리필고기굼터 쌍문점|서울 도봉구 도봉로 499||02-996-2201|
태림산채정식|서울 도봉구 노해로60길 32|영업시간 월~토 11:30 ~ 21:30|02-998-5468|
오성정육식당|서울 도봉구 도봉로 500 1층|월요일|02-915-3103|
쉐프마인드|서울 도봉구 노해로 384|월요일|02-992-1691|
화통소금구이|서울 도봉구 노해로67길 2 한국빌딩 1층|매일 16:00 ~ 03:00||
몽상가 크레이프전문점|서울 도봉구 도봉로143길 30 1층|월,화요일|02-0202-0202|
인디언소울2|서울 도봉구 도봉산길 12-10|매일 12:00 ~ 23:00|02-955-3977|
백번가코다리|서울 도봉구 마들로11가길 6-25 창동월가타워 1층 102, 103호|영업시간 매일 11:30 ~ 22:30|02-905-8540|
이퓨레|서울 도봉구 도봉로169나길 40|영업시간 월~금 11:30 ~ 21:30 · 브레이크타임 월~금 14:30 ~ 17:30|010-2316-4658|
