맛집명|주소|영업시간|전화번호|대표사진주소
어머니대성집|서울 동대문구 왕산로11길 4|월요일|02-923-1718|
나정순할매쭈꾸미|서울 동대문구 무학로 144|월~금 11:30 ~ 22:30 · 브레이크타임 월~토 14:30 ~ 17:00|02-928-0231|
육전식당 본점|서울 동대문구 난계로30길 16|매일 11:00 ~ 23:00 · 브레이크타임 매일 15:00 ~ 16:00|02-2253-6373|
혜성칼국수|서울 동대문구 왕산로 247-1|월요일|02-967-6918|
성천막국수|서울 동대문구 답십리로48나길 2 1층|영업시간 월~토 11:30 ~ 20:30 · 브레이크타임 월~금 15:00 ~ 17:00|02-2244-5529|
은하곱창|서울 동대문구 전농로15길 22|영업시간 월~금 11:00 ~ 21:30 · 브레이크타임 월~토 13:30 ~ 14:30|02-2247-0254|
일미간장게장 본점|서울 동대문구 장한로24길 7|매일 00:00 ~ 24:00|02-2242-4338|
영화장|서울 동대문구 휘경로 3-8|월요일|02-967-9595|
광주식당|서울 동대문구 경동시장로2길 49-4|월요일|02-969-4403|
킹수제만두|서울 동대문구 한빛로 3 1층|월요일|02-926-0288|
회기왕족발보쌈|서울 동대문구 회기로 158 1층|매일 11:30 ~ 01:00|02-966-4955|
할머니냉면|서울 동대문구 왕산로37길 51|영업시간 매일 10:00 ~ 21:30|02-963-5362|
놀부만두|서울 동대문구 망우로16길 15|영업시간 월,화,수,목,금,일 11:00 ~ 20:30|02-2241-7550|
원조홍릉각|서울 동대문구 약령시로 90|영업시간 월,수,목,금,토,일 11:30 ~ 15:00|02-969-7787|
장안정 본점|서울 동대문구 답십리로 291-3 1층|월요일|02-2246-6574|
홍능갈비집 본점|서울 동대문구 제기로 85|영업시간 매일 11:30 ~ 21:30|02-965-0420|
서울뼈구이매운족발|서울 동대문구 왕산로 274-1|둘째,넷째 월요일|02-965-5838|
오관스시|서울 동대문구 회기로 121 1층|영업시간 월~토 11:30 ~ 20:30 · 브레이크타임 월~토 13:30 ~ 17:30|070-8225-6369|
늘봄해물찜손칼국수 답십리본점|서울 동대문구 전농로 39|영업시간 매일 11:00 ~ 22:00|02-2215-5051|
육전식당 3호점|서울 동대문구 천호대로 38|매일 11:00 ~ 23:00 · 브레이크타임 매일 16:00 ~ 17:00|02-2234-6373|
먹깨비|서울 동대문구 장한로 92 화성빌딩 105~107호|매일 00:00 ~ 24:00|02-2249-2158|
여기가좋겠네|서울 동대문구 회기로21길 25|영업시간 매일 10:30 ~ 22:00|02-968-9112|
대한곱창 장안점|서울 동대문구 천호대로85길 21|매일 15:00 ~ 02:00|02-2214-5207|
멍군집|서울 동대문구 회기로 148-4 1층|월~금 16:00 ~ 00:00|010-3217-0190|
일번지정육식당 장한평점|서울 동대문구 장한로 18 1층|매일 11:00 ~ 23:00|02-2212-9926|
갈비명가이상 답십리점|서울 동대문구 천호대로 327|영업시간 매일 11:00 ~ 22:00|02-2243-8200|
마루샤브 용두직영점|서울 동대문구 왕산로 61 한일빌딩 1층|영업시간 매일 11:15 ~ 21:30|02-953-7443|
이모네왕파전|서울 동대문구 회기로28길 12-3|매일 00:00 ~ 24:00||
