맛집명|주소|영업시간|전화번호|대표사진주소
애플하우스 이수|서울 동작구 동작대로27다길 29 서광시티뷰 2층 201호|영업시간 매일 10:30 ~ 21:00|02-595-1629|
전주전집|서울 동작구 동작대로7길 19|월~수 15:30 ~ 01:00|02-581-1419|
서일순대국|서울 동작구 여의대방로24길 16 1층|영업시간 매일 08:00 ~ 23:00|02-821-7769|
등나무집|서울 동작구 대림로 52|영업시간 매일 11:00 ~ 22:00|02-843-8989|
가마솥손두부|서울 동작구 남부순환로271길 20|영업시간 월~금 11:20 ~ 22:00|02-3472-2202|
소담촌 사당직영점|서울 동작구 동작대로 43 5층|영업시간 매일 11:00 ~ 22:00|02-522-0653|
페니힐스|서울 동작구 동작대로1길 10-14 1,2층|영업시간 매일 12:00 ~ 21:00||
조가네갑오징어 사당점|서울 동작구 남부순환로271길 24|영업시간 매일 10:00 ~ 22:00|02-3472-0108|
훈감동|서울 동작구 동작대로9길 4 1층|영업시간 월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:30|010-9118-0516|
다독이네숯불구이|서울 동작구 노량진로 106-5 1층|영업시간 화~일 16:00 ~ 22:00|02-6101-9299|
오징어야|서울 동작구 만양로14길 9|영업시간 월,화,수,목,일 11:30 ~ 24:00|02-824-3880|
노량해전|서울 동작구 만양로16길 4 1층|매일 15:00 ~ 06:00|070-4300-5551|
운봉산장|서울 동작구 장승배기로 118-1|영업시간 월~토 17:00 ~ 21:40|02-815-2850|
방배김밥|서울 동작구 동작대로27길 59-16|영업시간 화~토 06:00 ~ 18:00|02-599-0566|
호요|서울 동작구 동작대로13길 6-7 1층|매일 17:00 ~ 02:00|02-6409-0809|
스시로로|서울 동작구 동작대로23길 29|영업시간 화~일 11:30 ~ 23:00|02-585-1015|
남해안활어|서울 동작구 사당로30길 157|매일 11:00 ~ 01:00|02-522-2069|
세녹|서울 동작구 사당로 304|매일 00:00 ~ 24:00|02-597-8001|
요란한부엌|서울 동작구 사당로30길 126 1층|월~금 17:00 ~ 01:00|02-582-6011|
신온누리에 생돈까스전문점 대방점|서울 동작구 여의대방로24길 107|영업시간 매일 10:30 ~ 21:00|02-823-8589|
한울갈비|서울 동작구 동작대로1길 9 1층|영업시간 매일 10:30 ~ 23:30|02-583-4118|
닥터로빈 흑석점|서울 동작구 현충로 124 뉴지엄 1층|영업시간 매일 11:00 ~ 22:00|02-3280-3103|
초와밥|서울 동작구 동작대로5길 8|영업시간 월~토 11:30 ~ 22:30 · 브레이크타임 월~금 14:30 ~ 16:30|02-523-5937|
이수회관|서울 동작구 동작대로27가길 40|매일 16:30 ~ 02:00|02-534-3335|
시간을들이다|서울 동작구 보라매로 80 1층|영업시간 매일 11:00 ~ 21:00|02-812-2158|
다래식당|서울 동작구 만양로2길 2|영업시간 매일 11:30 ~ 20:00 · 브레이크타임 매일 14:00 ~ 17:30|02-812-4156|
훈장골 사당점|서울 동작구 동작대로 7 신광빌딩 지하1층|영업시간 매일 11:00 ~ 22:00|02-525-9100|
상남스시|서울 동작구 여의대방로24길 64 1층|영업시간 월~토 12:00 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00|02-822-3455|
호우양꼬치 이수점|서울 동작구 동작대로27다길 9|월~토 15:00 ~ 03:00|010-7299-6697|
오센|서울 동작구 동작대로27나길 8|월,화,수,목,일 16:30 ~ 00:40|02-3478-1559|
낙성곱창|서울 동작구 동작대로19길 60|매일 14:00 ~ 02:00|02-3474-5777|
라시에스타|서울 동작구 동작대로 21 양지빌딩 6층|영업시간 매일 11:30 ~ 22:30|02-587-9087|
라화방|서울 동작구 동작대로27길 22|영업시간 매일 11:00 ~ 23:00|02-536-6490|
카페퍼블리코 본점|서울 동작구 상도로 47 헬로우빌딩 1,2층|영업시간 매일 11:00 ~ 21:00|02-815-4000|
오감만족|서울 동작구 장승배기로23길 1|월~토 18:00 ~ 03:00|02-822-5697|
상도실내포장마차|서울 동작구 상도로 288||02-821-3825|
기꾸참치|서울 동작구 남부순환로271길 14 2층|영업시간 매일 14:00 ~ 22:30|02-3486-3737|
쿠우쿠우 보라매공원점|서울 동작구 보라매로5가길 16 보라매아카데미타워 7층|영업시간 매일 11:00 ~ 22:00|02-835-6274|
천하무족|서울 동작구 동작대로7길 74 1층|영업시간 월~금 14:00 ~ 23:00|02-595-3308|
해물포차꼴통 1호점|서울 동작구 장승배기로 126|매일 18:00 ~ 03:00|070-8614-8121|
모스키친|서울 동작구 보라매로 91 1층|영업시간 월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:00|02-6497-3529|
골든볼9 본점|서울 동작구 노량진로14가길 11 지하1,2층||02-826-7542|
미소네|서울 동작구 동작대로7길 32||02-587-7191|
72420 사당본점|서울 동작구 동작대로1길 50 1층|영업시간 매일 11:30 ~ 22:00|02-588-2420|
