맛집명|주소|영업시간|전화번호|대표사진주소
목란|서울 서대문구 연희로15길 21|월요일|02-732-0054|
만동제과|서울 서대문구 연희로 32 1층|영업시간 매일 11:00 ~ 20:30|02-6489-2334|
카덴 연희본점|서울 서대문구 연희로 173 거화빌딩 1층|월,일요일|02-3142-6362|
신촌형제갈비|서울 서대문구 명물1길 2|매일 11:00 ~ 22:00|02-365-0001|
한옥집김치찜 서대문본점|서울 서대문구 통일로9길 12 1층|매일 10:50 ~ 21:30|02-362-8653|
락희안 명지대본점|서울 서대문구 가재울로4길 53 1, 2층|월요일|02-375-7576|
라구식당|서울 서대문구 연세로 42-24 1층|영업시간 매일 11:30 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00|02-364-2224|
고미정|서울 서대문구 연희로26길 28|월요일|02-324-0016|
앤트러사이트 연희점|서울 서대문구 연희로 135|매일 09:00 ~ 22:00|02-332-7650|
피터팬1978 본점|서울 서대문구 증가로 10 연궁빌딩 1층|영업시간 매일 08:00 ~ 21:00|02-336-4775|
철길떡볶이|서울 서대문구 충정로 35-6|영업시간 월,화,수,목,금,일 11:00 ~ 20:00|02-364-3440|
연희동칼국수 본점|서울 서대문구 연희맛로 37 2층|월요일|02-333-3955|
맛있는집|서울 서대문구 거북골로20길 55 지하1층||02-305-1906|
연경 연희점|서울 서대문구 연희로 145|매일 11:00 ~ 21:30|02-333-6655|
고삼이 신촌점|서울 서대문구 연세로7안길 38|영업시간 매일 10:00 ~ 21:00|02-324-1403|
시오 연희본점|서울 서대문구 연희로11가길 23 1층|매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:10|02-3144-6919|
소신이쏘|서울 서대문구 연세로5가길 19 1층|매일 12:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|02-324-3245|
신촌황소곱창 신촌본점|서울 서대문구 연세로9길 31 1층|매일 15:00 ~ 03:00|02-337-2640|
카라멘야|서울 서대문구 연세로7안길 34-1 1층|매일 11:30 ~ 21:30 · 브레이크타임 월~금 15:30 ~ 17:00|0507-1320-6221|
더파이홀|서울 서대문구 연세로5나길 20 1층|매일 11:00 ~ 23:00|02-334-1181|
어머니와아들|서울 서대문구 홍은중앙로 100-1 1층|월요일|02-391-0411|
콘하스 연희점|서울 서대문구 연희로27길 99|월~토 10:00 ~ 23:00|02-325-0792|
수빈|서울 서대문구 연희로25길 31-3 1,2층|영업시간 월,수,목,금,토,일 11:30 ~ 21:00 · 브레이크타임 월,수,목,금,토,일 15:00 ~ 17:00|02-307-9979|
