맛집명|주소|영업시간|전화번호|대표사진주소
삼육가 사당역1호점|서울 서초구 방배천로 10 1층|영업시간 매일 11:30 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:00|02-582-0102|
일품진진수라 강남점|서울 서초구 서초대로 254 오퓨런스빌딩 지하 2층|영업시간 매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|02-6250-3110|
노티드 서래|서울 서초구 방배로32길 30-9 르팰리스 1층 101호|기간 2022년 12월 20일 ~ 2023년 3월 31일|02-599-9377|
임병주산동칼국수|서울 서초구 강남대로37길 65|월요일|02-3473-7972|
텍사스데브라질 센트럴시티점|서울 서초구 사평대로 205 파미에가든 4층|영업시간 매일 11:30 ~ 22:30 · 브레이크타임 매일 16:00 ~ 17:30|02-6282-5000|
세광양대창 교대본점|서울 서초구 반포대로28길 79 1,2층|매일 12:00 ~ 01:00|02-583-6692|
서관면옥|서울 서초구 서초대로56길 11 1층|영업시간 매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00|02-521-9945|
프릳츠 양재점|서울 서초구 강남대로37길 24-11 서림빌딩 1층|영업시간 월~금 08:00 ~ 20:30|02-521-4148|
하이디라오 강남점|서울 서초구 서초대로77길 54 서초W타워 2층|매일 10:00 ~ 05:00|02-533-8260|
설마중|서울 서초구 남부순환로 2648|영업시간 매일 11:30 ~ 21:50 · 브레이크타임 매일 15:00 ~ 17:30|02-3462-8888|
백년옥 본관|서울 서초구 남부순환로 2407|영업시간 매일 10:00 ~ 21:00|02-523-2860|
낙원타코 강남역점|서울 서초구 서초대로73길 9 타임빌딩 2층|영업시간 매일 11:00 ~ 22:00|02-595-1540|
교대이층집 교대본점|서울 서초구 서초대로50길 24 청화빌딩 2층|매일 12:00 ~ 24:00|02-525-6692|
이춘복참치&스시 강남점|서울 서초구 강남대로61길 13 1,2층|월~토 11:00 ~ 01:00 · 브레이크타임1 월~토 14:30 ~ 16:30|02-591-4558|
이자카야나무 강남3호점|서울 서초구 서초대로75길 23|매일 16:30 ~ 05:00|02-535-0348|
딘타이펑 강남점|서울 서초구 서초대로73길 12 세계빌딩 2층|영업시간 월~금 11:00 ~ 21:00|02-534-2783|
대도식당 강남대로점|서울 서초구 강남대로 589 멀버리힐스 B3|영업시간 매일 11:00 ~ 22:00|02-544-9772|
