맛집명|주소|영업시간|전화번호|대표사진주소
어니언 안국점|서울 종로구 계동길 5|월~금 07:00 ~ 22:00|070-7543-2123|
삼청동수제비|서울 종로구 삼청로 101-1|영업시간 매일 11:00 ~ 21:00|02-735-2965|
노티드 안국|서울 종로구 북촌로 6-3 1층|영업시간 매일 10:00 ~ 21:00|070-7755-9377|
진옥화할매원조닭한마리 본점|서울 종로구 종로40가길 18|매일 10:30 ~ 01:00|02-2275-9666|
청진옥|서울 종로구 종로3길 32|매일 06:00 ~ 22:00|02-735-1690|
온천집 익선|서울 종로구 돈화문로11나길 31-8 1층|영업시간 매일 11:30 ~ 21:30 · 브레이크타임 월~금 15:00 ~ 17:00|02-762-8215|
블루보틀 삼청 카페|서울 종로구 북촌로5길 76 1~3층|영업시간 매일 09:00 ~ 20:00|1533-6906|
이문설농탕|서울 종로구 우정국로 38-13 1층|영업시간 월~토 08:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 16:30|02-733-6526|
핏제리아오|서울 종로구 동숭길 86 2, 3층|매일 11:30 ~ 22:00|02-3673-5005|
안녕인사동|서울 종로구 인사동길 49|매일 10:00 ~ 22:00|02-6954-2910|
황생가칼국수|서울 종로구 북촌로5길 78|영업시간 매일 11:00 ~ 21:30|02-739-6334|
토속촌삼계탕|서울 종로구 자하문로5길 5|매일 10:00 ~ 22:00|02-737-7444|
다운타우너 안국|서울 종로구 북촌로 6-4 1층|영업시간 매일 11:00 ~ 21:00|070-8870-3696|
광화문미진 본점|서울 종로구 종로 19 르메이에르종로타운 1층 116-2,117호|영업시간 매일 10:30 ~ 21:00|02-732-1954|
스태픽스|서울 종로구 사직로9길 22 1층 102호|영업시간 매일 10:00 ~ 21:00|0507-1341-2055|
깡통만두|서울 종로구 북촌로2길 5-6|영업시간 월~금 11:30 ~ 21:00 · 브레이크타임 월~금 15:30 ~ 17:00|02-794-4243|
부촌육회|서울 종로구 종로 200-12|매일 10:00 ~ 21:50 · 브레이크타임 매일 16:00 ~ 17:00|02-2267-1831|
오죽이네|서울 종로구 돈화문로11가길 25|월~금 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 16:00|02-741-8874|
계림 종로본점|서울 종로구 돈화문로4길 39|월~토 11:30 ~ 21:50 · 브레이크타임 월~토 15:30 ~ 16:30|02-2263-6658|
진진수라 광화문점|서울 종로구 종로5길 7 타워8빌딩 지하 2층 201-206호|매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|02-6226-8191|
아키비스트|서울 종로구 효자로13길 52 1층|영업시간 매일 11:00 ~ 21:00|02-738-1517|
