카페명|주소|영업시간|전화번호|대표사진주소
더스팟 패뷸러스|서울 중구 명동2길 22 1,2층|매일 10:00 ~ 22:30|02-779-1981|
호랑이|서울 중구 을지로 157 대림상가 3층 라열 351호|월,일요일|02-2269-5880|
덕수궁 리에제와플|서울 중구 덕수궁길 5 1층|영업시간 월~목 08:00 ~ 21:00|02-318-5202|
커피루소 정동점|서울 중구 정동길 17 이화정동빌딩 1, 2층|영업시간 월~금 08:00 ~ 20:00|02-772-9935|
커피앤시가렛|서울 중구 서소문로 116 유원빌딩 17층|영업시간 월~금 08:30 ~ 21:00|02-777-7557|
더하우스1932|서울 중구 만리재로35길 7|월~토 10:00 ~ 22:00|02-365-1932|
커피한약방|서울 중구 삼일대로12길 16-6|월~금 10:00 ~ 22:00|070-4148-4242|
적당|서울 중구 을지로 29 1층|영업시간 매일 10:00 ~ 21:30|070-7543-8928|
리사르커피로스터스 약수점|서울 중구 다산로8길 16-7 1층|영업시간 월~토 07:00 ~ 15:30|070-7677-5538|
챔프커피 제3작업실|서울 중구 을지로 157 대림상가 라열 3층 381호|월요일|010-8943-4516|
섬광|서울 중구 창경궁로1길 38 5층|월~토 12:00 ~ 23:00|070-8866-8485|
홍만당 명동본점|서울 중구 명동8길 11-6 1층|영업시간 매일 11:00 ~ 21:00|02-777-4422|
혜민당|서울 중구 삼일대로12길 16-9|월~금 11:00 ~ 22:30|070-8833-4242|
커피스니퍼|서울 중구 세종대로16길 27 남양빌딩 1층 102호|영업시간 월~금 08:00 ~ 20:00|02-3789-1781|
르풀|서울 중구 정동길 33|영업시간 월~금 10:00 ~ 20:00|02-3789-0400|
심세정|서울 중구 퇴계로 409-11 1층|영업시간 월~금 09:00 ~ 21:30|070-8823-7577|
러시아 케이크|서울 중구 을지로42길 7|월요일|02-6053-4079|
마뫼|서울 중구 소파로 41 1층|매일 11:00 ~ 22:00||
라운드앤드|서울 중구 정동길 35 1층|매일 08:00 ~ 22:00||
코인 명동점|서울 중구 명동6길 10|영업시간 매일 10:30 ~ 21:00|02-753-1667|
카페피크닉|서울 중구 퇴계로6가길 30 1층 102호|월요일|070-8821-6374|
더피터커피|서울 중구 퇴계로 411|영업시간 월~토 10:30 ~ 21:00||
수잔나의앞치마|서울 중구 퇴계로49길 24|매일 07:00 ~ 22:00||
죠지서울|서울 중구 을지로12길 6 한일빌딩 302호|매일 13:00 ~ 22:00|070-8810-2693|
몰또 이탈리안 에스프레소바 앤 테라스|서울 중구 명동길 73 3층|영업시간 월~토 10:30 ~ 19:30|02-778-7779|
노티드 종각 하이커|서울 중구 청계천로 40 한국관광공사 서울센터 5층|영업시간 매일 10:00 ~ 21:00|070-4205-0080|
커피사|서울 중구 을지로 142-1 3층|영업시간 월~금 11:00 ~ 21:00|02-2274-2780|
카페 아포테케리|서울 중구 퇴계로 409-9|월요일|02-2236-8987|
포엠|서울 중구 명동4길 13 2층|매일 11:00 ~ 23:00|02-776-5003|
한옥카페|서울 중구 남대문로 11|영업시간 매일 08:00 ~ 19:00|070-4509-9100|
카페라그린|서울 중구 정동길 26 1층|영업시간 월~토 11:00 ~ 20:00|02-3789-8005|
바캉스커피|서울 중구 남대문로9길 12 9층|월요일|070-8803-2326|
을지빈|서울 중구 을지로14길 21 2층|월~금 12:00 ~ 22:00|02-2278-8818|
커피그래|서울 중구 동호로 204 청화빌딩 1층 102호|월~금 08:00 ~ 23:00|0507-1348-1256|
분카샤 을지로점|서울 중구 을지로14길 20 2층|매일 12:00 ~ 23:00|02-2269-6947|
스타벅스 환구단점|서울 중구 소공로 112 반도조선아케이드|영업시간 월~금 07:00 ~ 20:00|1522-3232|
오프셋커피|서울 중구 다산로20길 7|월요일|070-8790-2650|
가무|서울 중구 명동4길 16 2,3,4층|매일 11:00 ~ 23:00|02-776-3141|
호텔수선화|서울 중구 충무로7길 17 4층 401호|매일 12:00 ~ 24:00|070-8950-2649|
루프트 명동점|서울 중구 삼일대로 308 조양빌딩 본관 1층|영업시간 월~금 07:30 ~ 19:00|02-2267-2233|
계단집|서울 중구 퇴계로6길 35|월요일|070-4419-7776|
고양이놀이터 명동점|서울 중구 명동8길 37-14 3층|매일 12:00 ~ 23:00||
mwm|서울 중구 수표로 35-1 4층|||
는커피|서울 중구 청구로4길 19 1층|영업시간 월~금 08:30 ~ 21:00|02-2246-1212|
피어커피 광희문점|서울 중구 청구로 123 1,2층|영업시간 월~금 09:00 ~ 19:30|070-4154-1464|
로이터 커피셸터|서울 중구 필동로 53 라비두스 별관 3층|영업시간 월~목 11:00 ~ 21:00||
스타벅스 동대문공원점|서울 중구 장충단로 229 1,2층|월~금 07:00 ~ 22:00|1522-3232|
롯데호텔서울 페닌슐라 라운지&바|서울 중구 을지로 30 본관 1층|매일 08:00 ~ 01:00|02-317-7131|
4F카페|서울 중구 을지로35길 26-1|매일 11:00 ~ 22:00|02-2276-1092|
카페비잔|서울 중구 동호로11길 53 1층|영업시간 월,화,목,금 12:00 ~ 19:00||
씨디티(CDT)|서울 중구 동호로14길 23 1층|월요일|010-6496-7425|
유아히어 명동본점|서울 중구 명동9길 23 한양빌딩|월~금 08:00 ~ 22:00|02-771-2288|
리사르 명동점|서울 중구 명동8가길 58 1층|영업시간 월~토 10:00 ~ 18:30||
커피리브레 명동성당점|서울 중구 명동길 80 1층 102호|영업시간 월~금 10:00 ~ 19:00|02-774-0615|
전광수커피하우스 정동점|서울 중구 정동길 39|영업시간 월~토 08:00 ~ 21:00|02-752-0289|
애드커피|서울 중구 을지로27길 29 1~4층|||
스타벅스 서울역사점|서울 중구 한강대로 405|매일 06:30 ~ 22:00||
루이스의사물들|서울 중구 청계천로 172-1 3층|영업시간 매일 12:00 ~ 20:00|02-2274-4854|
커피빈 동대입구역점|서울 중구 동호로24길 11|월~목 07:00 ~ 22:30|02-2264-8247|
카페드페소니아|서울 중구 을지로 281 DDP 아트홀 1층|영업시간 매일 09:00 ~ 21:00|02-2153-0777|
스타벅스 별다방점|서울 중구 퇴계로 100|월~금 07:00 ~ 22:00|1522-3232|
커피앳웍스 센터원점|서울 중구 을지로5길 26 1층|월~금 07:00 ~ 22:00|02-6030-8939|
오버트|서울 중구 동호로 220 1층|영업시간 월~금 08:00 ~ 21:00|02-2232-8188|
폴바셋 코리아나호텔점|서울 중구 세종대로 135 코리아나호텔 1층|월~금 07:30 ~ 22:00|02-730-9455|
투썸플레이스 파인애비뉴점|서울 중구 을지로 100 파인에비뉴 B동 1층 105~107호|월~금 07:00 ~ 23:00|02-6031-0029|
코인 명동2호점|서울 중구 명동9길 29 2,3층|매일 10:00 ~ 23:00|02-754-1506|
브릭하우스|서울 중구 퇴계로 456 1층|월~금 08:00 ~ 23:00|02-2231-1606|
카페돌담콩|서울 중구 덕수궁길 9 1층|영업시간 월~금 08:00 ~ 21:00|02-777-7728|
맷차 명동본점|서울 중구 명동9길 17 1~6층|월~금 10:00 ~ 22:00|02-6952-4170|
콩툰 동대문APM점|서울 중구 장충단로 253 헬로우APM 지하160호|매일 12:00 ~ 23:00||
링링|서울 중구 청구로8길 35 1층|월요일|070-7774-9110|
폴바셋 을지로파인에비뉴점|서울 중구 을지로 100 A동|월~금 07:00 ~ 22:00|02-6031-5110|
카페느티|서울 중구 을지로 97|월~금 07:30 ~ 22:00|02-2261-3323|
하이데어|서울 중구 수표로 54-1 1층|영업시간 월~금 07:00 ~ 21:00||
