맛집명|주소|영업시간|전화번호|대표사진주소
용마해장국|서울 중랑구 용마공원로5길 8|월요일|02-2209-5938|
한국횟집|서울 중랑구 중랑역로 34|매일 14:00 ~ 02:00|02-439-3331|
소담촌 상봉점|서울 중랑구 망우로 328 시네마시티 15층 1501호|영업시간 매일 11:00 ~ 22:00|02-434-1999|
쭈꾸미킹 상봉점|서울 중랑구 송림길 13|영업시간 매일 11:00 ~ 22:30|02-439-0035|
이주소곱창|서울 중랑구 봉우재로33길 34||02-978-4723|
이학갈비 면목점|서울 중랑구 면목로 310 2층|영업시간 매일 09:30 ~ 22:00|02-437-0170|
찜집 본점|서울 중랑구 면목로 287|월~토 10:00 ~ 24:00|02-494-0044|
마구로|서울 중랑구 망우로 270 2층|영업시간 매일 12:00 ~ 22:30 · 브레이크타임 매일 14:30 ~ 16:00|02-492-7100|
까망통돼지|서울 중랑구 면목로 488 2층|매일 11:30 ~ 23:30|02-438-5730|
태능배밭갈비|서울 중랑구 동일로143길 30|영업시간 월,수,목,금,토,일 11:30 ~ 23:00 · 브레이크타임 월,수,목,금 16:00 ~ 17:00|02-973-9292|
함평국밥|서울 중랑구 봉우재로33길 73 1층|영업시간 월~토 11:30 ~ 22:00|02-2209-3332|
쿠우쿠우 상봉점|서울 중랑구 망우로 316 이지펠리스 3층||02-433-6274|
농부보쌈|서울 중랑구 용마산로 389 석주빌딩 지하1층|월요일|02-496-8860|
천외천|서울 중랑구 봉우재로33길 12 1층|영업시간 월,수,목,금,토,일 11:30 ~ 23:00|02-435-3334|
연탄돼지갈비|서울 중랑구 봉우재로 159|월,수,목,금,토,일 15:00 ~ 04:00|02-433-7714|
쪽갈비대통령 먹골본점|서울 중랑구 동일로163길 46 1층||02-979-0316|
울타리곱창|서울 중랑구 중랑역로 20|매일 13:30 ~ 01:30|02-491-7178|
신선한우촌|서울 중랑구 용마산로 707|영업시간 매일 11:00 ~ 22:00|02-492-3335|
작은부엌|서울 중랑구 면목로 361 1층|영업시간 월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:00|0507-1311-9160|
홍이네떡볶이|서울 중랑구 망우로73길 26||02-439-5831|
중화호반닭갈비막국수 본점|서울 중랑구 봉화산로 20||02-439-1656|
어글리스토브 상봉점|서울 중랑구 상봉로 131 듀오트리스 1층|영업시간 매일 11:00 ~ 21:30|02-433-8459|
최민석마구로 묵동본점|서울 중랑구 동일로 939 2층|매일 11:30 ~ 24:00 · 브레이크타임 매일 14:30 ~ 16:30|02-977-0737|
강원도동강오리|서울 중랑구 용마산로115길 10|영업시간 월,수,목,금,토,일 11:00 ~ 22:00|02-492-6717|
맑은샘|서울 중랑구 용마산로99길 13|영업시간 월~토 12:00 ~ 16:00||
산채가한정식|서울 중랑구 동일로157길 30 1층|영업시간 매일 11:00 ~ 22:30|02-948-1138|
아웃백스테이크하우스 상봉점|서울 중랑구 망우로 293 삼성CNC프라자 2층|영업시간 매일 11:30 ~ 22:00|02-434-8491|
파크더블유|서울 중랑구 양원역로16길 103-111|영업시간 매일 11:00 ~ 22:00|02-432-5659|
고기를품다 사가정직영점|서울 중랑구 면목로48길 17 1층|월요일|070-4045-9736|
양지촌|서울 중랑구 망우로 184|영업시간 매일 11:00 ~ 22:00|02-2207-4200|
통큰소무한리필 상봉직영점|서울 중랑구 망우로 316 이지팰리스 2층|영업시간 매일 12:00 ~ 23:00|02-433-4310|
봉일천돼지부속|서울 중랑구 면목로 463 1층|월~토 17:00 ~ 24:00|02-491-9231|
캠프X그릴|서울 중랑구 동일로 929 2층|영업시간 매일 17:00 ~ 23:00|02-6677-0043|
미락한정식|서울 중랑구 봉우재로 27 1층|영업시간 월,수,목,금,토,일 11:30 ~ 22:00|02-494-3800|
오늘그릴|서울 중랑구 봉화산로54길 5|매일 12:00 ~ 01:00 · 브레이크타임 매일 15:00 ~ 17:00|070-4176-3509|
면동떡볶이|서울 중랑구 면목로57길 33|영업시간 매일 11:30 ~ 21:30||
