맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
진미평양냉면|서울 강남구 학동로 305-3 정각빌딩 1층|매일 11:00 ~ 21:30|02-515-3469|3.6|냉면|
중앙해장|서울 강남구 영동대로86길 17 육인빌딩 1층|월~토 07:00 ~ 22:00|02-558-7905|3.9|해장국|
노티드 청담|서울 강남구 도산대로53길 15 1층|매일 09:00 ~ 21:00|070-8860-9377|3.8|디저트카페|
스케줄 청담|서울 강남구 선릉로152길 37 1층|매일 16:00 ~ 17:00|02-548-3356|3.4|양식|
꽁티드툴레아 도산점|서울 강남구 도산대로49길 39 1층|월~토 11:00 ~ 24:00|070-8846-8490|3.3|디저트카페|
팀호완 삼성점|서울 강남구 봉은사로86길 30 1층|토,일 15:00 ~ 17:00|0507-1374-3082|3.5|중식|
뱃고동|서울 강남구 언주로172길 54 지하 1층|명절|02-514-8008|3.5|해물,생선|
압구정공주떡|서울 강남구 논현로161길 10 1층|매일 00:00 ~ 24:00|02-516-3643|4.0|떡,한과|
뽕나무쟁이 선릉본점|서울 강남구 역삼로65길 31|매일 12:00 ~ 02:00|02-558-9279|4.1|족발,보쌈|
농민백암순대 본점|서울 강남구 선릉로86길 40-4 알앤지타운 1층|공휴일|02-555-9603|4.3|국밥|
카츠바이콘반|서울 강남구 선릉로153길 36 1층|매일 11:30 ~ 20:30|02-547-3903|4.4|돈까스,우동|
까폼 본점|서울 강남구 선릉로153길 18 지하1층|매일 11:30 ~ 22:00|02-6081-7318|4.2|태국음식|
어거스트힐 강남점|서울 강남구 강남대로106길 25 1층|매일 11:30 ~ 22:00|02-568-8003|4.3|이탈리안|
보슬보슬 역삼본점|서울 강남구 테헤란로8길 22 1층 102호|매일 08:00 ~ 21:00|02-6014-1245||분식|
울프강스테이크하우스|서울 강남구 선릉로152길 21 영인빌딩 1층|매일 10:00 ~ 22:00|02-556-8700|3.5|스테이크,립|
호족반 청담|서울 강남구 언주로164길 39 1층|매일 11:30 ~ 21:30|0507-1399-3353|3.7|퓨전한식|
농민백암왕순대|서울 강남구 역삼로3길 20-4|공휴일|02-501-2772|4.6|순대|
땀땀|서울 강남구 강남대로98길 12-5|매일 11:00 ~ 22:00|02-554-8892|3.5|베트남음식|
새벽집 청담점|서울 강남구 도산대로101길 6|매일 00:00 ~ 24:00|02-546-5739|3.3|육류,고기|
몽중헌 청담점|서울 강남구 도산대로 445 엠빌딩 지하1층|매일 15:00 ~ 18:00|02-3446-7887|3.9|중국요리|
삼원가든|서울 강남구 언주로 835|토,일 16:00 ~ 17:00|02-548-3030||육류,고기|
구구당|서울 강남구 강남대로102길 35|매일 11:30 ~ 22:00|02-539-1979|3.5|퓨전요리|
마일스톤커피|서울 강남구 논현로159길 49 1층|매일 10:00 ~ 21:00|070-4219-1195|4.3|커피전문점|
알베르|서울 강남구 강남대로102길 34|매일 10:00 ~ 23:00|02-566-6181|3.0|카페|
블루보틀 역삼 카페|서울 강남구 테헤란로 129 강남N타워 1층|매일 08:00 ~ 20:00|1533-6906|3.4|카페|
강강술래 역삼점|서울 강남구 논현로 325 1층|매일 11:00 ~ 22:00|02-567-9233|3.5|한식|
바비레드 강남본점|서울 강남구 봉은사로6길 39 지하 1층|매일 11:30 ~ 22:00|02-3452-1515|4.4|양식|
대우부대찌개|서울 강남구 테헤란로25길 34 1층|명절|02-552-1663|3.8|찌개,전골|
보노보노플러스 삼성점|서울 강남구 테헤란로 508 해성2빌딩 지하 1층|매일 15:00 ~ 17:00|02-3288-8080|3.9|해산물뷔페|
리북집 논현직영점|서울 강남구 학동로2길 45 1층|월~토 11:00 ~ 00:30|02-540-8589|3.8|족발,보쌈|
강남진해장|서울 강남구 테헤란로5길 11|매일 00:00 ~ 24:00|02-557-2662|3.3|찌개,전골|
부타이 1막|서울 강남구 테헤란로88길 22 지하 1층|월~토 15:00 ~ 17:00|02-544-8422|3.8|일식|
