맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
스윗솔트|서울 강동구 상암로 286|매일 09:00 ~ 21:00|02-3427-0999|4.6|디저트카페|
백년화편|서울 강동구 양재대로81길 18|매일 08:00 ~ 19:00|1588-5678|4.3|떡,한과|
로니로티 천호점|서울 강동구 천호대로 1027 2층|매일 11:30 ~ 22:30 · 브레이크타임 매일 15:30 ~ 16:30|02-487-7999|4.0|이탈리안|
갓잇 올림픽공원점|서울 강동구 성안로 14 1층|매일 11:00 ~ 22:00|02-485-9451|4.0|멕시칸,브라질|
버섯잔치집|서울 강동구 성내로 52 성원빌딩 1층|토,일 10:30 ~ 23:00|02-470-0092|4.0|샤브샤브|
차이나린찐|서울 강동구 강동대로 217 인텍스파크뷰 1층|매일 11:30 ~ 21:30|02-470-2600|2.5|중국요리|
강동반상|서울 강동구 상일로6길 39 강동타워 지하1층|매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:20|02-429-2733|3.0|한정식|
수라연|서울 강동구 강동대로 143-64 태창타워 2층|매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00|02-473-0550|2.3|한정식|
브랜뉴하이몬드|서울 강동구 천호옛14길 11 1,2층|매일 09:00 ~ 23:00|02-478-2402|3.5|디저트카페|
풍년상회쪽갈비|서울 강동구 천호옛14길 23-6|영업시간 매일 16:00 ~ 23:00|02-478-0555|4.5|갈비|
이한진숙성회|서울 강동구 구천면로 247-1 2층|영업시간 토 16:00 ~ 23:00|02-476-5007|4.3|회|
긴자 올림픽공원점|서울 강동구 강동대로 223|매일 11:30 ~ 22:00|02-483-1122|3.1|일식집|
온전히|서울 강동구 천호대로176길 10 상미빌딩 1층|매일 11:00 ~ 21:30|02-486-0204|3.9|초밥,롤|
길조|서울 강동구 천호대로 1173|월~토 11:00 ~ 22:00|02-476-9494|3.5|매운탕,해물탕|
스테이지28|서울 강동구 아리수로61길 105 1층|매일 12:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:30|02-3426-1928|3.5|패밀리레스토랑|
신흥정육식당|서울 강동구 양재대로89길 16|매일 12:00 ~ 24:00|02-488-3313|3.9|육류,고기|
더식당|서울 강동구 천호대로157길 24 2층|매일 11:00 ~ 23:00|02-489-0403|4.2|양식|
오늘손칼국수&찜 강동본점|서울 강동구 풍성로 206|화~일 11:00 ~ 21:30 · 브레이크타임 화~일 14:30 ~ 16:00|02-477-0777|3.5|해물,생선|
미드데이썬|서울 강동구 양재대로91나길 55 1층 101호|화~일 11:00 ~ 22:00|0507-136-9308|4.2|디저트카페|
데카망|서울 강동구 천호옛14길 35 1층 101호|매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:30|010-7484-8424|4.1|일식|
와고참숯갈비|서울 강동구 올림픽로70길 47-7 1층|영업시간 월~토 16:00 ~ 23:00|02-486-5990|4.4|갈비|
꿀꿀진순대국|서울 강동구 양재대로103길 70 1층 101,102호|매일 10:00 ~ 22:00|0507-1435-0087|4.3|순대|
꼼떼 바베큐 둔촌본점|서울 강동구 동남로51길 9 1층||02-470-2001||이탈리안|
에이컷스테이크 올림픽공원점|서울 강동구 강동대로 187 파크뷰캐슬 2층|매일 11:00 ~ 22:00|02-482-8050|3.8|스테이크,립|
해왕조개전문 둔촌점|서울 강동구 풍성로56길 39|영업시간 매일 15:00 ~ 02:00|02-484-3111|4.7|조개|
숯불돼지갈비마포집|서울 강동구 천호옛14길 16|매일 11:30 ~ 23:00|02-475-3984|4.1|갈비|
숟가락반상 마실 강동점|서울 강동구 동남로73길 31 한국4H회관 2층|매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|02-429-6999|2.8|한정식|
쭈꾸미도사 천호점|서울 강동구 천호대로158길 9 1층|매일 11:00 ~ 23:00|02-488-0523|4.2|해물,생선|
시집|서울 강동구 천호대로158길 15-8|영업시간 매일 17:00 ~ 24:00|02-486-8986|4.3|육류,고기|
메이탄 길동점|서울 강동구 천호대로 1125 2층|매일 11:00 ~ 21:30|02-474-2988|3.6|중국요리|
아키노유키 본점|서울 강동구 올림픽로70길 50-7|영업시간 금,토 17:00 ~ 04:00|02-488-6923|3.8|일본식주점|
강동해물찜해천탕|서울 강동구 양재대로 1416 1,2층|매일 11:00 ~ 22:00|02-483-7345|3.3|매운탕,해물탕|
봉래면옥|서울 강동구 명일로 200-16|매일 11:00 ~ 22:00|02-6081-2500|4.3|냉면|
