맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
신림춘천집 구로디지털직영점|서울 구로구 디지털로32나길 17-23 우남산업 102호|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|070-8624-1998|4.6|닭요리|
월래순교자관|서울 구로구 디지털로19길 13|영업시간 화~일 11:00 ~ 22:00 · 브레이크타임 화~일 16:00 ~ 16:30|02-855-8488|3.9|중식|
강촌숯불닭갈비 본점|서울 구로구 공원로6나길 35-2|영업시간 토,일 14:00 ~ 21:50|02-851-2194|3.1|닭요리|
화양가옥 구로디지털단지점|서울 구로구 디지털로32나길 17-23|매일 11:00 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:00|02-838-0877|4.5|호프,요리주점|
갓파스시 구로점|서울 구로구 디지털로 288 대륭포스트타워1차 2층 214호|영업시간 금,토 11:00 ~ 22:00|02-864-4377|2.7|초밥,롤|
컴포 신도림점|서울 구로구 경인로67길 57 상림빌딩 1층 102호|영업시간 화~일 11:30 ~ 22:00|02-2637-3841|4.6|베트남음식|
평양냉면|서울 구로구 고척로10길 65|영업시간 매일 11:30 ~ 20:30 · 브레이크타임 매일 14:40 ~ 16:00|02-2614-2263|3.7|냉면|
메이비|서울 구로구 디지털로32나길 51|매일 09:00 ~ 23:30|02-859-3073|3.0|카페|
신도림참족발 신도림점|서울 구로구 경인로 661 신도림1차푸르지오상가 1층 158호|월~토 13:00 ~ 23:00|02-3439-7182|4.1|족발,보쌈|
스시메이진 구로점|서울 구로구 디지털로 300 지밸리몰 2층 6호|영업시간 매일 11:30 ~ 22:00|02-6344-3782|2.4|초밥,롤|
봉고기 신도림본점|서울 구로구 경인로 619-3 푸르지오3차 상가 1층 112,113호|영업시간 매일 11:30 ~ 22:00|02-3667-8426|4.1|육류,고기|
최우영스시|서울 구로구 디지털로 288 대륭포스트타운 지하 1층|영업시간 매일 11:30 ~ 21:20 · 브레이크타임 매일 15:00 ~ 17:30|02-2082-3430|3.0|초밥,롤|
진심갈비|서울 구로구 경서로 11 1층|영업시간 매일 11:00 ~ 22:00|02-2689-9992|4.7|갈비|
송림가|서울 구로구 경인로 398|영업시간 매일 11:30 ~ 22:00|02-2066-6000|2.6|갈비|
속초오징어어시장 구로디지털점|서울 구로구 디지털로32나길 26 1층|토,일 16:00 ~ 03:00|02-868-2925|4.8|회|
초가집부뚜막청국장|서울 구로구 구로중앙로28길 24|영업시간 매일 08:30 ~ 22:00|02-863-0600|4.2|한식|
한판참숯소갈비 구로디지털점|서울 구로구 시흥대로163길 12|매일 15:30 ~ 01:00|02-867-7048|3.8|갈비|
어다리횟집 구로점|서울 구로구 시흥대로 551|매일 11:30 ~ 23:30|02-858-5060|2.8|회|
바르미스시샤브 현대백화점 디큐브시티점|서울 구로구 경인로 662 별관 3층|영업시간 매일 11:00 ~ 22:00|02-2210-9570|3.4|샤브샤브|
이춘복참치 신도림점|서울 구로구 경인로 662 현대백화점 신도림디큐브시티 3층|매일 11:00 ~ 00:00 · 브레이크타임 매일 15:00 ~ 16:30|02-2211-0375|2.1|참치회|
오사카로|서울 구로구 경인로67길 23 대우푸르지오 206호|매일 17:00 ~ 03:00|02-2634-2223|3.3|일본식주점|
세광양대창 구로디지털점|서울 구로구 디지털로32나길 7 2층|월~토 16:00 ~ 24:00|02-851-0365|3.7|곱창,막창|
새벽집양곱창 신도림점|서울 구로구 경인로61길 21 크라운빌상가 108호|매일 11:00 ~ 01:30|02-2296-0325|3.3|곱창,막창|
오비스트로|서울 구로구 구로중앙로15길 12|토요일|0507-1305-6751|4.3|이탈리안|
제주도초밥|서울 구로구 가마산로26길 23|영업시간 화~일 11:00 ~ 22:00|02-830-6002|4.4|초밥,롤|
에버애프터|서울 구로구 새말로18길 36-10 지층|영업시간 토 13:00 ~ 21:00|070-7543-1098|4.0|커피전문점|
진사향|서울 구로구 새말로 20 코코모호텔 지하1층|영업시간 화~일 11:00 ~ 21:30 · 브레이크타임 화~일 15:00 ~ 17:00|02-2229-5507|3.6|중국요리|
밤새먹소|서울 구로구 경인로 572 스타팰리스 1층|매일 11:00 ~ 23:00|02-2068-7637|3.2|육류,고기|
육장장이 구로디지털점|서울 구로구 디지털로32나길 17-8|토,일 12:00 ~ 23:00|02-864-9998|3.3|육류,고기|
