맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
하누소 창동본점|서울 도봉구 노해로 327 5층|명절|02-900-9800|2.2|한식|
동적불고기&깡통구이 쌍문점|서울 도봉구 도봉로109길 30 1층|매일 11:00 ~ 23:00|02-906-9732|4.5|불고기,두루치기|
대문|서울 도봉구 시루봉로 139-6|매일 10:00 ~ 24:00|02-956-0843|3.6|한정식|
무수옥|서울 도봉구 도봉로165길 15|월~토 10:00 ~ 22:00|02-954-6292|3.2|육류,고기|
쌍문동판다쓰|서울 도봉구 우이천로24길 49 1층|영업시간 화~일 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00|02-6052-1578|4.1|중국요리|
수정궁|서울 도봉구 방학로 173|영업시간 월~토 16:00 ~ 22:00|02-3491-0440|3.6|중국요리|
동해수산|서울 도봉구 도봉로 663-8|매일 11:00 ~ 22:30|02-3491-8500|3.8|회|
메이다이닝|서울 도봉구 도봉로169길 202|영업시간 매일 11:30 ~ 22:00|02-955-7722|3.4|양식|
옹기꽃게장|서울 도봉구 도봉산4가길 14-9 1층|매일 11:00 ~ 21:00|02-3493-8201|3.3|게,대게|
삼오집|서울 도봉구 도봉로165길 4|명절|02-954-1916|3.2|곱창,막창|
도봉관|서울 도봉구 노해로 261 1층|매일 11:00 ~ 21:00|02-991-1231||디저트카페|
마쯔무라돈까스 본점|서울 도봉구 노해로63길 84 지하1층||02-991-9801|4.3|돈까스,우동|
스시혼 창동점|서울 도봉구 도봉로110길 8|영업시간 화~일 11:30 ~ 22:00 · 브레이크타임 화~일 14:30 ~ 16:00|02-993-3290|3.3|초밥,롤|
소도둑 도봉동점|서울 도봉구 도봉로 909 1층|영업시간 매일 12:00 ~ 24:00|02-955-8882|4.0|고기뷔페|
묵은지사랑|서울 도봉구 도봉로164길 38||02-954-5264|4.3|한식|
신화푸드빌리지 서울창동점|서울 도봉구 도봉로 526 2층||02-3297-3770|3.3|한식|
삿뽀로 창동점|서울 도봉구 도봉로 610 2층|영업시간 매일 11:30 ~ 22:00|02-991-6777|2.2|일식집|
호호분식|서울 도봉구 도봉로121길 32|영업시간 토,일 12:00 ~ 21:00|02-900-1377|4.3|분식|
황금정원|서울 도봉구 방학로 312|매일 11:00 ~ 22:00 · 브레이크타임 매일 16:00 ~ 17:00||2.9|쌈밥|
도봉산양고기|서울 도봉구 도봉로191길 99-6|영업시간 매일 12:00 ~ 22:00|02-3492-3324|2.6|육류,고기|
사이코우스시 쌍문점|서울 도봉구 방학로7길 99|매일 11:00 ~ 22:30|02-999-4298|2.7|초밥,롤|
트라토리아진|서울 도봉구 도봉로110길 39-16 1층|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 16:00|02-6052-0529|4.3|이탈리안|
천지연 서울창동점|서울 도봉구 도봉로 526|영업시간 매일 11:30 ~ 22:00|02-3297-3770|3.2|갈비|
채랑|서울 도봉구 도봉로 465 1층|매일 10:30 ~ 22:00|02-900-4001|4.2|샤브샤브|
방학사거리짬뽕집 본점|서울 도봉구 도당로27길 22 1층|화~일 11:00 ~ 20:00 · 브레이크타임 화~일 15:00 ~ 16:00|02-955-6558|2.6|중국요리|
