맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
애플하우스 이수|서울 동작구 동작대로27다길 29 서광시티뷰 2층 201호|매일 10:30 ~ 21:00|02-595-1629|3.1|떡볶이|
전주전집|서울 동작구 동작대로7길 19|목~토 15:30 ~ 02:00|02-581-1419|3.1|한식|
서일순대국|서울 동작구 여의대방로24길 16 1층|명절|02-821-7769|3.5|국밥|
등나무집|서울 동작구 대림로 52|매일 11:00 ~ 22:00|02-843-8989|3.7|육류,고기|
가마솥손두부|서울 동작구 남부순환로271길 20|토,일 11:20 ~ 21:30|02-3472-2202|4.1|두부전문점|
소담촌 사당직영점|서울 동작구 동작대로 43 5층|매일 11:00 ~ 22:00|02-522-0653|4.2|샤브샤브|
조가네갑오징어 사당점|서울 동작구 남부순환로271길 24|매일 10:00 ~ 22:00|02-3472-0108|3.1|해물,생선|
페니힐스|서울 동작구 동작대로1길 10-14 1,2층|매일 12:00 ~ 21:00||3.9|커피전문점|
다독이네숯불구이|서울 동작구 노량진로 106-5 1층|화~일 16:00 ~ 22:00|02-6101-9299|4.8|육류,고기|
훈감동|서울 동작구 동작대로9길 4 1층|기간 2023년 1월 21일 ~ 2023년 1월 26일|010-9118-0516|4.0|일식|
방배김밥|서울 동작구 동작대로27길 59-16|영업시간 화~토 06:00 ~ 18:00|02-599-0566|3.3|분식|
노량해전|서울 동작구 만양로16길 4 1층|매일 15:00 ~ 06:00|070-4300-5551|3.4|회|
운봉산장|서울 동작구 장승배기로 118-1|월~토 17:00 ~ 21:40|02-815-2850|4.1|육류,고기|
호요|서울 동작구 동작대로13길 6-7 1층|매일 17:00 ~ 02:00|02-6409-0809|4.0|일본식주점|
오징어야|서울 동작구 만양로14길 9|매일 11:30 ~ 24:00|02-824-3880|3.9|한식|
스시로로|서울 동작구 동작대로23길 29|화~일 11:30 ~ 23:00|02-585-1015|3.6|초밥,롤|
남해안활어|서울 동작구 사당로30길 157|매일 11:00 ~ 01:00|02-522-2069|3.8|회|
세녹|서울 동작구 사당로 304|매일 00:00 ~ 24:00|02-597-8001|2.4|카페|
신온누리에 생돈까스전문점 대방점|서울 동작구 여의대방로24길 107|매일 10:30 ~ 21:00|02-823-8589|1.6|돈까스,우동|
요란한부엌|서울 동작구 사당로30길 126 1층|토,일요일|02-582-6011|3.5|퓨전요리|
초와밥|서울 동작구 동작대로5길 8|월~토 11:30 ~ 22:30|02-523-5937|3.9|일식집|
닥터로빈 흑석점|서울 동작구 현충로 124 뉴지엄 1층|매일 11:00 ~ 22:00|02-3280-3103|3.5|양식|
한울갈비|서울 동작구 동작대로1길 9 1층|매일 10:30 ~ 23:00|02-583-4118||한식|
시간을 들이다 본점|서울 동작구 보라매로 80 1층|매일 11:00 ~ 21:30|02-812-2158|4.2|제과,베이커리|
다래식당|서울 동작구 만양로2길 2|매일 11:30 ~ 20:00 · 브레이크타임 매일 14:00 ~ 17:30|02-812-4156|3.3|한식|
이수회관|서울 동작구 동작대로27가길 40|매일 16:30 ~ 02:00|02-534-3335|2.5|해물,생선|
훈장골 사당점|서울 동작구 동작대로 7 신광빌딩 지하1층|매일 11:00 ~ 22:00|02-525-9100|3.8|갈비|
상남스시|서울 동작구 여의대방로24길 64 1층|월~토 12:00 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00|02-822-3455|4.3|초밥,롤|
호우양꼬치 이수점|서울 동작구 동작대로27다길 9|월~토 15:00 ~ 03:00|010-7299-6697|4.0|양꼬치|
오센|서울 동작구 동작대로27나길 8|금,토 16:00 ~ 01:10|02-3478-1559|3.8|일본식주점|
라시에스타|서울 동작구 동작대로 21 양지빌딩 6층|매일 11:30 ~ 22:30|02-587-9087|2.9|이탈리안|
낙성곱창|서울 동작구 동작대로19길 60|매일 14:00 ~ 02:00|02-3474-5777|3.0|곱창,막창|
상도실내포장마차|서울 동작구 상도로 288||02-821-3825|3.9|실내포장마차|
카페퍼블리코 본점|서울 동작구 상도로 47 헬로우빌딩 1,2층|매일 11:00 ~ 21:00|02-815-4000|3.7|카페|
라화방|서울 동작구 동작대로27길 22|매일 11:00 ~ 23:00|02-536-6490|4.3|중국요리|
오감만족|서울 동작구 장승배기로23길 1|월~토 18:00 ~ 03:00|02-822-5697|4.7|실내포장마차|
쿠우쿠우 보라매공원점|서울 동작구 보라매로5가길 16 보라매아카데미타워 7층|매일 11:00 ~ 22:00|02-835-6274||해산물뷔페|
해물포차꼴통 1호점|서울 동작구 장승배기로 126|매일 18:00 ~ 03:00|070-8614-8121|3.3|실내포장마차|
천하무족|서울 동작구 동작대로7길 74 1층|매일 14:00 ~ 22:00|02-595-3308|4.3|족발,보쌈|
기꾸참치|서울 동작구 남부순환로271길 14 2층|매일 14:00 ~ 22:30|02-3486-3737|4.7|참치회|
골든볼9 본점|서울 동작구 노량진로14가길 11 지하1,2층||02-826-7542|3.2|뷔페|
모스키친|서울 동작구 보라매로 91 1층|월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:00|02-6497-3529|4.5|돈까스,우동|
미소네|서울 동작구 동작대로7길 32||02-587-7191|3.7|회|
