맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
블루보틀 성수 카페|서울 성동구 아차산로 7|영업시간 매일 08:00 ~ 20:00|1533-6906|3.1|카페|
소문난성수감자탕|서울 성동구 연무장길 45|매일 00:00 ~ 24:00|02-465-6580|2.9|감자탕|
할아버지공장|서울 성동구 성수이로7가길 9|영업시간 매일 11:00 ~ 22:00|010-3934-2301|3.3|디저트카페|
성수다락|서울 성동구 뚝섬로9길 20 2층|영업시간 매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 16:30|0507-1349-9197||양식|
쎈느|서울 성동구 연무장5길 20|영업시간 월~토 10:00 ~ 22:00|02-469-2122|3.7|카페|
제스티살룬 성수|서울 성동구 서울숲4길 13 1층|영업시간 화~일 11:30 ~ 21:00|02-2205-2622|4.0|햄버거|
어니언컴퍼니|서울 성동구 아차산로9길 8 1,2층|영업시간 매일 10:00 ~ 22:00|02-1644-1941|3.5|커피전문점|
성수족발|서울 성동구 아차산로7길 7 1층|설연휴|02-464-0425|3.3|족발,보쌈|
할머니의레시피|서울 성동구 서울숲2길 44-12|영업시간 월,수,목,금,토,일 11:30 ~ 21:00 · 브레이크타임 월,수,목,금,토,일 15:00 ~ 17:00|02-467-5101|3.4|한식|
왕십리조개창고|서울 성동구 왕십리로 331 경진빌딩 지하1층|영업시간 토,일 12:00 ~ 23:00|010-4596-0449|3.1|조개|
대성갈비|서울 성동구 서울숲4길 27|영업시간 월~토 12:00 ~ 21:00 · 브레이크타임 월~토 14:30 ~ 16:30|02-464-3012|3.1|갈비|
땅코참숯구이 본점|서울 성동구 행당로17길 26 1층|영업시간 매일 14:00 ~ 20:50|02-2281-6908|4.2|육류,고기|
성수명당|서울 성동구 연무장19길 10 1층|영업시간 화~일 13:00 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00|070-8833-3227|4.2|호프,요리주점|
인생한우|서울 성동구 마장로31길 43 영지빌딩 2층|영업시간 매일 11:00 ~ 22:00|02-2292-2888|3.1|육류,고기|
호호식당 성수동점|서울 성동구 서울숲4길 25|영업시간 매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|02-498-2384|3.1|일식|
스시도쿠|서울 성동구 왕십리광장로 6|영업시간 매일 11:30 ~ 21:00|02-2281-3255|4.0|초밥,롤|
소바식당 성수점|서울 성동구 연무장7가길 6 1층|영업시간 매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00|02-6339-1552|2.9|일식|
대림창고|서울 성동구 성수이로 78|영업시간 매일 11:00 ~ 22:00|02-499-9669|3.0|갤러리카페|
중앙감속기|서울 성동구 성수일로6길 7-1 1층|영업시간 매일 12:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:30|02-466-9628|4.0|퓨전요리|
온량|서울 성동구 서울숲4길 26-10 1층|영업시간 매일 12:00 ~ 21:00||3.8|이탈리안|
밀도 성수본점|서울 성동구 왕십리로 96 1층|영업시간 매일 11:00 ~ 21:30|02-497-5050|3.6|제과,베이커리|
유래회관|서울 성동구 마장로 196|영업시간 매일 11:30 ~ 22:00|02-2293-8866|4.0|한식|
춘향미엔|서울 성동구 왕십리로21길 26|영업시간 매일 11:00 ~ 22:00|02-2281-9031|4.2|중국요리|
센터커피 서울숲점|서울 성동구 서울숲2길 28-11 1층|영업시간 화~일 11:00 ~ 20:00|070-8868-2008|3.6|커피전문점|
르프리크|서울 성동구 연무장5길 9-16 B103호|영업시간 매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:30|02-2054-0119|4.3|햄버거|
인더매스 마장|서울 성동구 마장로 270|영업시간 토,일 12:00 ~ 22:00||4.3|카페|
어메이징브루잉컴퍼니 성수브루펍|서울 성동구 성수일로4길 4 1층|영업시간 토,일 15:00 ~ 24:00|02-465-5208|3.8|호프,요리주점|
옹근달|서울 성동구 성수이로7길 41-1 1, 2층|영업시간 매일 11:00 ~ 23:00|02-499-5012|2.4|카페|
굴과찜사랑 본사직영점|서울 성동구 행당로17길 23|영업시간 매일 16:00 ~ 01:00|02-2296-9922|2.4|굴,전복|
악어떡볶이|서울 성동구 마조로 33||02-2281-9988|3.7|떡볶이|
잠수교집 성수점|서울 성동구 아차산로 137 1층|영업시간 매일 11:30 ~ 05:00|02-465-0434|3.6|삼겹살|
