맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
성북동메밀수제비누룽지백숙|서울 성북구 성북로31길 9|영업시간 화~일 11:30 ~ 21:00|02-764-0707|3.7|닭요리|
나폴레옹과자점 성북본점|서울 성북구 성북로 7|매일 09:00 ~ 21:00|02-742-7421|2.9|제과,베이커리|
성북동빵공장|서울 성북구 대사관로 40 B동 1~3층|영업시간 매일 10:00 ~ 22:00|02-762-3450|2.4|디저트카페|
성북동면옥집|서울 성북구 대사관로 40|영업시간 매일 11:00 ~ 22:00|02-765-3450|3.0|냉면|
팔백집|서울 성북구 보문로30길 46|영업시간 매일 11:30 ~ 24:00|02-928-0032|3.8|갈비|
태조감자국|서울 성북구 보문로34길 43 세학빌딩 1층|기간 2023년 1월 21일 ~ 2023년 1월 23일|02-921-7667|3.9|감자탕|
한상차림밥상|서울 성북구 고려대로8길 35|영업시간 화~일 11:00 ~ 21:00 · 브레이크타임 화~일 14:00 ~ 16:00|010-9073-4141|3.4|한식|
안동반점|서울 성북구 고려대로1길 35-1|영업시간 토,일 11:00 ~ 20:20|02-923-4448|3.8|중국요리|
공푸|서울 성북구 삼선교로24길 29 1층|영업시간 월~토 11:30 ~ 20:00 · 브레이크타임 월~토 14:00 ~ 17:00|070-7566-4683|4.3|중국요리|
수아당|서울 성북구 동소문로20가길 33 1,2층|매일 08:00 ~ 20:00|02-926-0625|4.0|분식|
갈비명가이상 길음신관|서울 성북구 정릉로 395|영업시간 매일 11:00 ~ 22:00|02-919-8000|2.2|갈비|
고른햇살|서울 성북구 개운사길 14|매일 06:00 ~ 23:30|02-953-3394|4.4|분식|
수연산방|서울 성북구 성북로26길 8|영업시간 토,일 11:30 ~ 22:00|02-764-1736|3.3|전통찻집|
쌍다리돼지불백 본점|서울 성북구 성북로23길 4|화~일 09:00 ~ 21:00|02-743-0325|3.2|육류,고기|
이공김밥 안암본점|서울 성북구 안암로 61-6|영업시간 화~일 10:00 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 16:00|02-926-0005|4.2|분식|
문화식당 성신여대점|서울 성북구 보문로30나길 37 지하 1층|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 16:00 ~ 17:00|02-6381-4644|4.3|양식|
