맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
청와옥 본점|서울 송파구 위례성대로 48 반도빌딩 1층 102호|매일 08:00 ~ 22:00|02-416-3456|3.1|순대|
명인밥상|서울 송파구 송이로 157 지하1층|매일 15:00 ~ 17:00|02-409-3355|2.8|한정식|
다운타우너 잠실|서울 송파구 백제고분로45길 3 1층|매일 11:30 ~ 21:30|070-8868-3696|4.0|햄버거|
함경도찹쌀순대|서울 송파구 송파대로28길 32|매일 00:00 ~ 24:00|02-403-8822|3.6|순대|
갓잇 송리단길점|서울 송파구 백제고분로45길 4-14 트리비유 1층|매일 15:00 ~ 16:30|02-487-9451|4.1|양식|
별미곱창 본점|서울 송파구 오금로11길 14 1층|매일 14:00 ~ 02:00|02-413-3610|3.2|곱창,막창|
라라브레드 송파점|서울 송파구 오금로16길 4|매일 10:00 ~ 21:00|1800-1990|4.0|디저트카페|
몽중헌 방이점|서울 송파구 위례성대로 10 S타워 20, 21층|매일 15:00 ~ 17:30|02-2202-8004|4.1|중국요리|
해주냉면|서울 송파구 백제고분로7길 8-16 1층|월~토 11:30 ~ 21:00|02-424-7192|3.4|냉면|
청와옥 석촌호수직영점|서울 송파구 삼학사로 96|매일 08:00 ~ 22:00|02-422-0550|3.0|순대|
고도식 잠실점|서울 송파구 백제고분로45길 28|매일 12:00 ~ 21:00||3.7|육류,고기|
봉피양 방이점 본관|서울 송파구 양재대로71길 5|매일 11:30 ~ 22:00|02-415-5527|3.8|냉면|
산들해 송파점|서울 송파구 위례성대로 6 현대토픽스 2층|매일 15:00 ~ 17:00|02-448-3457|3.2|한정식|
진지아|서울 송파구 백제고분로41길 12-9 1,2층|매일 15:00 ~ 17:30|02-418-5354|4.2|중국요리|
군산오징어 잠실본점|서울 송파구 삼학사로 101 군산오징어빌딩 1,2층|매일 11:30 ~ 22:30|02-413-2046|3.6|해물,생선|
오향가 가락본점|서울 송파구 송이로 106|월~토 15:00 ~ 17:00|02-401-6999|4.2|족발,보쌈|
육화식당|서울 송파구 올림픽로32길 29 1,2층|매일 12:00 ~ 22:30|02-424-6882|4.4|삼겹살|
오레노라멘 송파점|서울 송파구 백제고분로45길 17-3 1층 102호|매일 14:40 ~ 17:00||4.5|일본식라면|
벨라스가든|서울 송파구 백제고분로41길 42-19|매일 10:00 ~ 24:00|02-424-4243|3.6|양식|
일일향 잠실점|서울 송파구 석촌호수로 290 성우빌딩 지하1층,1~2층 B02호|매일 11:30 ~ 21:30|02-421-8900||중국요리|
배키욘방|서울 송파구 올림픽로32길 22-23 평원빌딩 1층 102호|매일 11:30 ~ 21:00 · 브레이크타임2 토,일 15:30 ~ 17:00|02-418-7773||일식|
단디 송리단길본점|서울 송파구 백제고분로45길 7 1층|매일 15:00 ~ 17:00|02-412-5335|3.9|퓨전일식|
평이담백 뼈칼국수 방이점|서울 송파구 위례성대로18길 31-12|매일 15:00 ~ 17:00|02-417-7488|4.1|국수|
툇마루밥상|서울 송파구 송파대로22길 11 1,2층|매일 11:30 ~ 21:30 · 브레이크타임 매일 15:30 ~ 17:00|02-409-6979|3.0|한식|
늘푸른목장 잠실본점|서울 송파구 백제고분로9길 34||02-3431-4520|3.5|육류,고기|
엘리스리틀이태리|서울 송파구 백제고분로41길 43-21 1층|매일 15:00 ~ 17:30||3.9|이탈리안|
멘야하나비 서울본점|서울 송파구 백제고분로45길 38 1층 103호|매일 14:30 ~ 17:00|070-8959-1108|3.7|일식|
잠수교집 3호점|서울 송파구 송파대로49길 51|매일 14:00 ~ 23:00|02-419-0434|3.6|삼겹살|
삿뽀로 방이점|서울 송파구 오금로11길 7 제이타워빌딩 2층|매일 11:30 ~ 22:00|02-418-7797|3.4|일식집|
이성원쉐프의청년감자탕순대국 방이동 본점|서울 송파구 오금로19길 5 1층|매일 10:10 ~ 21:50 · 브레이크타임 매일 15:20 ~ 16:30|02-3431-9252|3.6|감자탕|
홈수끼|서울 송파구 위례성대로 134||02-417-4124|3.6|샤브샤브|
롯데호텔월드 라세느|서울 송파구 올림픽로 240 롯데호텔월드 2층|매일 06:30 ~ 22:00|02-411-7811|3.7|뷔페|
방이샤브샤브칼국수 방이본점|서울 송파구 오금로31길 42|월~토 11:00 ~ 22:00|02-423-3450|4.5|샤브샤브|
크래버대게나라 잠실점|서울 송파구 오금로 165 웰빙빌딩 1층|매일 11:30 ~ 23:00|02-412-2338|3.8|게,대게|
뷰클런즈|서울 송파구 백제고분로43길 10 1층|매일 12:00 ~ 22:00|070-4065-4860|4.1|카페|
황도바지락칼국수|서울 송파구 백제고분로 358|매일 09:30 ~ 22:00|02-417-5058|3.4|국수|
할머니 포장마차멸치국수|서울 송파구 오금로11길 59|명절|02-416-6698|3.6|실내포장마차|
골목떡볶이|서울 송파구 문정로1길 33|토,일 13:00 ~ 21:00|02-3402-3452|3.3|떡볶이|
청화초밥|서울 송파구 오금로13길 14 1층|월~토 14:00 ~ 17:00|02-420-3686|3.9|초밥,롤|
본가설렁탕|서울 송파구 석촌호수로 204|매일 07:30 ~ 22:00|02-414-5945|2.6|설렁탕|
취영루 송파점|서울 송파구 송이로 162|매일 15:00 ~ 17:30|02-449-7747|3.4|중국요리|
화반 방이점|서울 송파구 오금로13길 8 1층|매일 11:30 ~ 01:00|02-418-9292|4.3|삼겹살|
프로퍼커피바|서울 송파구 위례성대로22길 6 유진빌딩 1층|월,화,토 10:00 ~ 18:00|02-3401-0703|3.5|카페|
도요스6가|서울 송파구 백제고분로45길 40 트윈레이크팰리스빌 1층|매일 14:30 ~ 17:00|02-416-6802|4.4|일식|
뉴질랜드스토리|서울 송파구 석촌호수로 268 경남레이크파크 1층|금~일 10:30 ~ 21:00|070-7523-6265|4.2|카페|
바이킹스워프 롯데월드몰점|서울 송파구 올림픽로 300 롯데월드몰 4층|매일 11:30 ~ 21:00 · 브레이크타임1 매일 13:20 ~ 13:40 · 브레이크타임2 매일 15:30 ~ 17:00 · 브레이크타임3 매일 18:50 ~ 19:10|1644-3210|3.2|해산물뷔페|
비와별닭갈비 잠실직영점|서울 송파구 삼학사로 100 1,2층|매일 10:30 ~ 22:30|02-2202-5552|4.2|닭요리|
코벤트가든 올림픽공원점|서울 송파구 위례성대로 128 정화빌딩1층|토,일 15:00 ~ 16:30|02-3431-5565|3.3|이탈리안|
서울리즘|서울 송파구 백제고분로 435 예스빌딩 1,6층|금,토 13:00 ~ 24:00|02-412-0812|2.3|커피전문점|
수작나베 석촌호수직영점|서울 송파구 석촌호수로 234 라품미빌딩 1층|금,토 11:30 ~ 23:00|02-423-3767|4.3|퓨전일식|
진대감 방이점|서울 송파구 오금로13길 6 1층|매일 15:00 ~ 17:00|02-416-2472|3.7|육류,고기|
일월고기|서울 송파구 오금로15길 7-16 2층|영업시간 매일 17:00 ~ 24:00|02-415-7546|3.5|육류,고기|
청국장과보리밥 잠실점|서울 송파구 백제고분로20길 4|매일 10:00 ~ 22:00|02-2042-1234|4.4|한식|
커피바이 로스터스|서울 송파구 백제고분로17길 56 2층|매일 10:00 ~ 21:00|02-415-4153|4.1|커피전문점|
천미미|서울 송파구 송파대로28길 20 세화빌딩 1층|매일 11:20 ~ 21:30|02-431-4300|3.8|중국요리|
돈블랑 석촌호수점|서울 송파구 석촌호수로 296 1층|토,일 10:30 ~ 22:00|02-423-8400|3.5|육류,고기|
수원집|서울 송파구 송파대로 108|설연휴|02-407-1005|3.4|갈비|
부일갈매기|서울 송파구 삼전로13길 4|영업시간 매일 17:00 ~ 23:30|02-412-1462|4.0|육류,고기|
돈까스의집|서울 송파구 삼전로 100 아카데미빌딩 1층|매일 11:30 ~ 22:00|02-413-5182|2.6|돈까스,우동|
화포식당 가락점|서울 송파구 송파대로30길 11 아연파레스 1층 106호|월~토 00:00 ~ 24:00|02-409-5775|4.1|삼겹살|
피제리아라고|서울 송파구 백제고분로41길 39|매일 11:30 ~ 22:00|02-422-8588|4.2|피자|
주은감자탕|서울 송파구 삼학사로 71 1층|월,수,목,금,토,일 00:00 ~ 24:00|02-413-3670|2.4|감자탕|
노가리슈퍼 송리단길점|서울 송파구 백제고분로45길 5 1층|영업시간 매일 15:30 ~ 02:30|02-747-1201||호프,요리주점|
소담정|서울 송파구 올림픽로32길 22-22|월~토 11:00 ~ 24:00|02-420-0099|4.0|육류,고기|
젠젠 잠실점|서울 송파구 백제고분로45길 34 동방빌딩 2층|매일 09:30 ~ 22:20|02-412-7240|3.3|디저트카페|
담은갈비|서울 송파구 삼전로 93 1층|매일 11:00 ~ 22:00|02-423-8053|4.1|갈비|
서정적살롱|서울 송파구 석촌호수로 274|매일 09:00 ~ 24:00|02-415-7670|2.3|카페|
도삭면공방|서울 송파구 백제고분로7길 8-12 승현빌딩 1층|매일 11:00 ~ 23:00|02-417-8868|4.0|중국요리|
자연별곡 NC송파점|서울 송파구 충민로 66 NC백화점 7층|매일 11:00 ~ 21:00|02-2157-5754|2.6|한식뷔페|
중화일상|서울 송파구 백제고분로 401 골재회관 1층|매일 15:00 ~ 17:00|02-422-5566|4.1|중국요리|
진성한우곱창|서울 송파구 송파대로28길 27|매일 12:00 ~ 03:00|02-402-3439|2.8|곱창,막창|
입분식가정집|서울 송파구 오금로18길 10 2층|매일 11:30 ~ 21:00||4.0|분식|
미강식당|서울 송파구 백제고분로 122 103호|기간 2023년 1월 21일 ~ 2023년 1월 23일|0507-1471-4624|4.5|삼겹살|
디트로네 잠실점|서울 송파구 석촌호수로 258 아르누보팰리스 1층 105호|금,토 11:00 ~ 01:00|02-422-5021|3.3|카페|
미엔아이 송파점|서울 송파구 오금로16길 5 1층 101호|매일 11:20 ~ 21:00|02-422-0652|4.3|중식|
앙떼띠 잠실점|서울 송파구 올림픽로 342 아울타워 1,2층|토,일 11:00 ~ 21:00|02-420-7410|3.6|디저트카페|
가락골마산아구찜|서울 송파구 송이로19길 3||02-409-6665|3.9|아구|
무한소 신천본점|서울 송파구 백제고분로9길 25|월~토 12:00 ~ 23:00|02-2281-9465|2.8|육류,고기|
콘메|서울 송파구 백제고분로42길 6-30 1층|매일 15:00 ~ 17:00|010-5382-3419|4.1|이탈리안|
흥부골숯불돼지왕갈비|서울 송파구 백제고분로33길 35|매일 11:40 ~ 23:00|02-418-0003|4.2|갈비|
모꼬지에|서울 송파구 송파대로36길 5-13 지하1층||02-424-6150|2.5|떡볶이|
오사카하루|서울 송파구 올림픽로32길 19-15 1층|영업시간 매일 17:00 ~ 01:00|02-412-5388||일식집|
동방명주|서울 송파구 백제고분로 2|매일 10:00 ~ 22:00|02-6093-5555|1.2|중국요리|
큰손닭한마리 잠실새내본점|서울 송파구 백제고분로15길 59 1층|매일 11:30 ~ 23:00|010-2740-3366|3.8|닭요리|
벽제갈비 방이점|서울 송파구 양재대로71길 1-4|매일 11:30 ~ 22:00|02-415-5522|2.7|갈비|
냠냠물고기 3호점|서울 송파구 송파대로30길 41-21 1층|영업시간 월~토 17:00 ~ 02:00||3.9|일본식주점|
남경막국수 신천점|서울 송파구 백제고분로7길 52-29 101호|화~일 11:00 ~ 22:00|02-417-0060|3.4|국수|
터치183|서울 송파구 위례성대로 126|금,토 09:00 ~ 22:00|0507-1409-1500|4.9|카페|
온량|서울 송파구 백제고분로43길 4 은혜빌딩 1층|매일 12:00 ~ 21:00|02-422-3642|3.8|양식|
테이스티버거 2호점|서울 송파구 송파대로49길 50|토 15:00 ~ 16:30|070-7856-7778|3.4|햄버거|
마싯내|서울 송파구 석촌호수로18길 7 수정빌딩 1층 102호|매일 11:30 ~ 21:00|02-2202-3979|3.9|돈까스,우동|
서두산딤섬만두|서울 송파구 올림픽로32길 52 소은빌딩 1층 102호|매일 11:00 ~ 22:00|02-425-4588|3.4|분식|
내고향횡성 한우정육점식당|서울 송파구 오금로 113||02-415-8080|2.8|육류,고기|
산삼청각|서울 송파구 송이로 151|매일 11:30 ~ 22:00|02-431-3007|3.1|갈비|
러반로제레스토랑 석촌호수점|서울 송파구 석촌호수로 274 씨엠빌딩 8층|매일 15:00 ~ 17:00|070-7778-9471|4.0|양식|
별미곱창 방이2호점|서울 송파구 올림픽로32길 22|매일 11:00 ~ 06:00|02-414-4545|2.3|곱창,막창|
오린지|서울 송파구 송파대로48길 19 1층|매일 12:00 ~ 20:00||3.1|디저트카페|
피자네버슬립스|서울 송파구 백제고분로45길 6|매일 12:00 ~ 23:00|070-8835-5877|4.0|피자|
개나리아구찜 송파본점|서울 송파구 오금로15길 7-8 1층|영업시간 매일 16:00 ~ 23:30|02-423-0060|2.8|한식|
송파감자국|서울 송파구 가락로 82 1층|화~일 13:00 ~ 22:00|02-416-7350|4.2|감자탕|
