맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
어니언 안국점|서울 종로구 계동길 5|영업시간 토,일 09:00 ~ 22:00|070-7543-2123|3.5|카페|
노티드 안국|서울 종로구 북촌로 6-3 1층|영업시간 매일 10:00 ~ 21:00|070-7755-9377|3.3|디저트카페|
삼청동수제비|서울 종로구 삼청로 101-1|영업시간 매일 11:00 ~ 21:00|02-735-2965|2.9|수제비|
청진옥|서울 종로구 종로3길 32|영업시간 매일 06:00 ~ 22:00|02-735-1690|2.9|해장국|
진옥화할매원조닭한마리 본점|서울 종로구 종로40가길 18|설전날|02-2275-9666|3.3|닭요리|
온천집 익선|서울 종로구 돈화문로11나길 31-8 1층|영업시간 매일 11:30 ~ 21:30|02-762-8215|3.5|샤브샤브|
이문설농탕|서울 종로구 우정국로 38-13 1층|영업시간 월~토 08:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 16:30|02-733-6526|3.0|설렁탕|
핏제리아오|서울 종로구 동숭길 86 2, 3층|영업시간 매일 11:30 ~ 22:00|02-3673-5005|4.6|패밀리레스토랑|
블루보틀 삼청 카페|서울 종로구 북촌로5길 76 1~3층|영업시간 매일 09:00 ~ 20:00|1533-6906|3.3|카페|
안녕인사동|서울 종로구 인사동길 49|영업시간 매일 10:00 ~ 22:00|02-6954-2910|4.2|테마카페|
황생가칼국수|서울 종로구 북촌로5길 78|영업시간 매일 11:00 ~ 21:30|02-739-6334|3.6|국수|
토속촌삼계탕|서울 종로구 자하문로5길 5|영업시간 매일 10:00 ~ 22:00|02-737-7444|3.7|삼계탕|
광화문미진 본점|서울 종로구 종로 19 르메이에르종로타운 1층 116-2,117호|영업시간 매일 10:30 ~ 21:00|02-732-1954|3.3|한식|
다운타우너 안국|서울 종로구 북촌로 6-4 1층|영업시간 매일 11:00 ~ 21:00|070-8870-3696|4.1|햄버거|
부촌육회|서울 종로구 종로 200-12|영업시간 매일 10:00 ~ 21:50 · 브레이크타임 매일 16:00 ~ 17:00|02-2267-1831|4.4|육류,고기|
스태픽스|서울 종로구 사직로9길 22 1층 102호|영업시간 매일 10:00 ~ 21:00|0507-1341-2055|3.3|카페|
깡통만두|서울 종로구 북촌로2길 5-6|영업시간 토 11:30 ~ 20:00|02-794-4243|3.9|분식|
오죽이네|서울 종로구 돈화문로11가길 25|영업시간 토 12:00 ~ 22:00|02-741-8874|4.2|닭요리|
계림 종로본점|서울 종로구 돈화문로4길 39|영업시간 월~토 11:30 ~ 21:50 · 브레이크타임 월~토 15:30 ~ 16:30|02-2263-6658|3.6|닭요리|
진진수라 광화문점|서울 종로구 종로5길 7 타워8빌딩 지하 2층 201-206호|명절|02-6226-8191|3.6|한정식|
정돈|서울 종로구 대학로9길 12 지하1층|영업시간 매일 11:30 ~ 21:00 · 브레이크타임 매일 14:00 ~ 17:00|02-987-0924|3.8|돈까스,우동|
아키비스트|서울 종로구 효자로13길 52 1층|영업시간 매일 11:00 ~ 21:00|02-738-1517|3.7|카페|
양연화로 종로직영점|서울 종로구 삼일대로17길 18 1,2층|영업시간 매일 11:00 ~ 22:00|02-3210-0808|4.3|육류,고기|
순희네빈대떡|서울 종로구 종로32길 5|명절|02-2264-5057|2.8|한식|
호호식당 대학로점|서울 종로구 대학로9길 35 1층|영업시간 매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|02-741-2384|3.2|일식|
우육면관 청계천점|서울 종로구 청계천로 75-2|공휴일|070-4213-5678|4.5|중식|
대련집|서울 종로구 종로16길 37|영업시간 월~토 11:00 ~ 22:00|02-2265-5349|3.6|국수|
대성집|서울 종로구 사직로 5 1층|기간 2023년 1월 21일 ~ 2023년 1월 24일|02-735-4259|3.9|국밥|
서촌계단집|서울 종로구 자하문로1길 15 1층||02-737-8412|3.1|해물,생선|
도마 인사점|서울 종로구 인사동8길 6-1|영업시간 화~일 11:30 ~ 21:10 · 브레이크타임 화~일 14:50 ~ 17:00|02-733-9376|4.1|한식|
서린낙지|서울 종로구 종로 19 르메이에르 종로타운 2층|영업시간 매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00|02-735-0670|3.0|해물,생선|
산모퉁이|서울 종로구 백석동길 153|영업시간 매일 11:00 ~ 22:00|02-391-4737|3.2|카페|
백제정육점|서울 종로구 종로35길 34|영업시간 월~토 11:30 ~ 22:30|02-762-7491|3.5|육류,고기|
소금집 델리 안국|서울 종로구 북촌로4길 19 신영빌딩 1층 103호|영업시간 매일 10:30 ~ 22:00|02-766-2617|3.6|샌드위치|
백부장집닭한마리 본관|서울 종로구 삼봉로 100-1|영업시간 월~토 10:30 ~ 22:00|02-732-2565|4.2|닭요리|
차마시는 뜰|서울 종로구 북촌로11나길 26 1층|영업시간 토,일 11:00 ~ 21:00|02-722-7006|4.4|전통찻집|
포비 광화문점|서울 종로구 종로3길 17 광화문D타워 1층 21호|영업시간 토,일 09:00 ~ 21:00|02-2251-8125|4.2|카페|
샤오바오우육면 본점|서울 종로구 삼일대로17길 15 1층|영업시간 매일 11:00 ~ 22:00 · 브레이크타임 매일 15:30 ~ 16:30|02-723-7788|3.8|중국요리|
오레노라멘 인사점|서울 종로구 율곡로 49-4|영업시간 매일 11:00 ~ 20:30 · 브레이크타임 매일 15:00 ~ 17:00|02-722-3539|4.1|일본식라면|
육회자매집 본점1호점|서울 종로구 종로 200-4 1층|영업시간 월~토 11:00 ~ 21:40 · 브레이크타임 월~토 14:00 ~ 15:00|02-2274-8344|3.6|육류,고기|
광화문뚝감|서울 종로구 새문안로3길 21|영업시간 월~토 09:30 ~ 02:00 · 브레이크타임 매일 14:30 ~ 17:00|02-722-5894|4.0|감자탕|
테라로사 광화문점|서울 종로구 종로1길 50|영업시간 매일 08:00 ~ 21:00||3.7|커피전문점|
양반댁|서울 종로구 인사동길 19-18||02-733-5507|1.9|한정식|
일품당 광화문점|서울 종로구 세종대로23길 25|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|02-733-4949|3.2|샤브샤브|
몽중헌 안국점|서울 종로구 북촌로 31-22|영업시간 매일 11:30 ~ 21:30 · 브레이크타임 토,일 15:00 ~ 17:00|02-730-2051|4.0|중국요리|
자하손만두|서울 종로구 백석동길 12|영업시간 매일 11:00 ~ 21:30|02-379-2648|2.9|한식|
화목순대국 광화문1호점|서울 종로구 새문안로5길 11|토,일요일|02-723-8313|3.9|순대|
혜화칼국수|서울 종로구 창경궁로35길 13|영업시간 매일 11:00 ~ 22:00|02-743-8212|3.2|국수|
잘빠진메밀 익선동점|서울 종로구 율곡로8길 73 1층|영업시간 매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00|070-4113-1214|3.7|국수|
