맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
황해해물칼국수 1호점|인천 중구 마시란로 24 1층|영업시간 화~일 09:00 ~ 19:00|032-746-3017|3.3|국수|
신승반점 본점|인천 중구 차이나타운로44번길 31-3|기간 2023년 1월 20일 ~ 2023년 1월 21일|032-762-9467|4.0|중국요리|
선녀풍|인천 중구 용유서로 272|영업시간 매일 11:00 ~ 21:00|032-751-2121|3.2|회|
엠클리프|인천 중구 마시란로 51-30|영업시간 매일 10:30 ~ 22:00||3.3|카페|
차덕분|인천 중구 은하수로 12 구읍뱃터프라자 8층 801, 802, 803호|영업시간 토,일 09:30 ~ 21:00||3.7|카페|
마시랑카페|인천 중구 마시란로 163 1, 2층|영업시간 매일 10:00 ~ 22:00|032-747-1239|3.3|카페|
지금이곳|인천 중구 운남로82번길 40 1층|영업시간 매일 10:00 ~ 21:00||4.1|카페|
잉글랜드왕돈까스|인천 중구 우현로90번길 7 혜성빌딩 2층|명절|032-772-7266|3.2|돈까스,우동|
경인면옥|인천 중구 신포로46번길 38 1,2층|영업시간 매일 11:00 ~ 21:00 · 브레이크타임 매일 16:00 ~ 17:00|032-762-5770|3.8|냉면|
연경 차이나타운본점|인천 중구 차이나타운로 41 연경|영업시간 매일 10:30 ~ 21:30|032-765-7888|3.5|중국요리|
신포닭강정 본점|인천 중구 우현로49번길 3 신포시장|영업시간 화~일 10:30 ~ 20:30|032-762-5800|3.1|닭강정|
온센 본점|인천 중구 신포로35번길 22|영업시간 매일 11:30 ~ 20:30 · 브레이크타임 매일 15:30 ~ 17:00|070-8861-8011|3.4|일식|
마시안제빵소|인천 중구 마시란로 155|영업시간 매일 10:30 ~ 21:00|032-746-3977|2.5|제과,베이커리|
카페오라|인천 중구 용유서로 380||032-752-0888|1.8|카페|
동해막국수|인천 중구 용유서로479번길 16|기간 2023년 1월 20일 ~ 2023년 1월 22일|032-746-5522|3.3|국수|
내고향강원도|인천 중구 연안부두로75번길 34|영업시간 매일 10:00 ~ 24:00|032-883-4547|4.6|회|
양자강|인천 중구 용유서로 494||032-746-2666|4.0|중국요리|
공화춘 차이나타운1호점|인천 중구 차이나타운로 43|명절|032-765-0571|1.8|중국요리|
해송쌈밥|인천 중구 공항서로 177|영업시간 화~일 10:30 ~ 21:00|032-747-0073|3.1|쌈밥|
황해해물칼국수 2호점|인천 중구 마시란로 37||032-746-3017|2.8|국수|
만다복 본점|인천 중구 차이나타운로 36|영업시간 매일 11:00 ~ 21:30|032-773-3838|3.5|중국요리|
중화루|인천 중구 홍예문로 12|영업시간 매일 11:00 ~ 21:30 · 브레이크타임 매일 15:30 ~ 17:00|032-762-0231|3.4|중국요리|
진흥각|인천 중구 신포로23번길 20|영업시간 월~토 11:00 ~ 21:00|032-772-3058|4.1|중국요리|
스타파이브|인천 중구 공항서로 133-1|영업시간 매일 10:00 ~ 21:00|032-751-1150|4.1|갤러리카페|
이화찹쌀순대|인천 중구 인중로26번길 25 1,2층|영업시간 매일 09:30 ~ 21:00|032-882-3039|4.5|순대|
선녀풍 2호점|인천 중구 용유서로 386||032-747-0349|3.1|회|
고래해물칼국수|인천 중구 은하수로 43 영종프라자 1층||032-751-7590|3.5|국수|
신성루|인천 중구 우현로 19-14|영업시간 화~일 11:00 ~ 22:00|032-772-4463|3.3|중국요리|
럭키차이나|인천 중구 차이나타운로 47-1|영업시간 매일 09:00 ~ 20:00|032-762-8886|4.3|중국요리|
대박조개구이|인천 중구 월미문화로 71 2층|영업시간 매일 11:45 ~ 24:00|032-777-8292|4.2|조개|
97도씨 해물칼국수 영종본점|인천 중구 영종진광장로 39 오션테라스 1층|영업시간 매일 10:30 ~ 21:00|032-751-0056|3.4|국수|
전라도대왕조개구이랑칼국수|인천 중구 월미문화로 27 1층|영업시간 토 11:00 ~ 23:50|0507-1325-9291|2.5|한식|
목포신안18호횟집|인천 중구 연안부두로 119|영업시간 매일 11:00 ~ 24:00|032-882-0137|4.6|회|
서해안조개광장|인천 중구 마시란로 65 1,2층|영업시간 금,토 11:00 ~ 23:00|0507-1320-5027|3.3|조개|
신신분식|인천 중구 자유공원로27번길 1 1층||032-762-0992|3.1|분식|
카페아키라|인천 중구 차이나타운로44번길 16-24|영업시간 매일 12:00 ~ 21:00||3.5|커피전문점|
용화반점|인천 중구 참외전로174번길 7||032-761-5970|3.7|중국요리|
민영활어공장 본점|인천 중구 연안부두로33번길 37|영업시간 토,일 07:30 ~ 17:00|032-881-3168|3.5|회|
브라운핸즈 개항로|인천 중구 개항로 73-1 1~4층|매일 11:00 ~ 10:00|032-777-7506|4.4|커피전문점|
을왕리꾸덕집|인천 중구 용유서로174번길 44 1층||032-752-0309||해물,생선|
카페평상인|인천 중구 영종진광장로 39|영업시간 매일 10:00 ~ 22:00|032-751-0079|4.0|커피전문점|
맷돌칼국수|인천 중구 신포로 32-16|영업시간 매일 11:00 ~ 21:00|032-762-5930|1.5|국수|
강민호을왕리빵판다|인천 중구 용유로745번길 14|영업시간 매일 10:30 ~ 21:00|032-751-2631|3.6|디저트카페|
인천항구회집|인천 중구 연안부두로75번길 34|영업시간 매일 11:00 ~ 22:00|032-885-0572|5.0|회|
소나무식당 2호점|인천 중구 잠진도길 55|영업시간 매일 10:00 ~ 21:00|032-746-0771|3.1|해물,생선|
완도조개구이|인천 중구 을왕로 46|||4.4|조개|
카페 건|인천 중구 하늘달빛로2번길 8 씨사이드파크 카페테리아 2층|영업시간 토,일 10:00 ~ 22:00||2.6|카페|
마시안어부집|인천 중구 마시란로 77|영업시간 매일 10:00 ~ 23:00|032-751-1013|2.9|조개|
짱구네 업무단지점|인천 중구 공항로424번길 72 IBC디오빌 105,106호|영업시간 매일 10:00 ~ 22:00|032-743-9373|3.1|해물,생선|
고목정|인천 중구 용유서로172번길 10|영업시간 매일 09:50 ~ 20:35|032-746-7781|3.7|쌈밥|
미애네칼국수 본점|인천 중구 용유로21번길 51|영업시간 매일 09:00 ~ 21:00|032-746-3838|2.9|국수|
청실홍실 신포본점|인천 중구 우현로35번길 23-1|영업시간 화~일 11:30 ~ 21:00|032-772-7760|3.7|국수|
어부신광호 2호점|인천 중구 을왕로40번길 13|영업시간 토,일 09:00 ~ 24:00|032-752-4560|3.5|회|
하늘정식|인천 중구 영종진로11번길 27|영업시간 화~일 11:30 ~ 20:30 · 브레이크타임 화~일 15:00 ~ 16:30|032-747-0004|2.9|한정식|
만정수산|인천 중구 영종순환로339번길 85|매일 00:00 ~ 24:00|032-752-3740|3.4|해물,생선|
금산|인천 중구 연안부두로 16||032-884-1324|3.8|회|
개항로통닭|인천 중구 참외전로 164|영업시간 화~일 17:30 ~ 24:00|032-772-9292|2.8|치킨|
어부신광호 1호점|인천 중구 선녀바위로55번길 14|영업시간 매일 09:00 ~ 22:00|032-746-4560|3.3|회|
만수채 샤브&뷔페|인천 중구 하늘중앙로225번길 3 영종M타워 10층|영업시간 화~일 11:00 ~ 21:00|032-747-1701|2.8|뷔페|
카페잠진도길28|인천 중구 잠진도길 28 2층|영업시간 토,일 10:00 ~ 22:00|032-751-2154|4.5|카페|
