맛집명|주소|영업시간|전화번호|평점|업종|대표사진주소|
용마해장국|서울 중랑구 용마공원로5길 8|화~일 10:00 ~ 20:00 · 브레이크타임 화~일 14:00 ~ 15:00|02-2209-5938|4.3|해장국|
한국횟집|서울 중랑구 중랑역로 34|영업시간 매일 14:00 ~ 02:00|02-439-3331|3.8|회|
소담촌 상봉점|서울 중랑구 망우로 328 시네마시티 15층 1501호|매일 11:00 ~ 22:00|02-434-1999|2.8|샤브샤브|
쭈꾸미킹 상봉점|서울 중랑구 송림길 13|매일 11:00 ~ 22:30|02-439-0035|3.6|해물,생선|
이주소곱창|서울 중랑구 봉우재로33길 34||02-978-4723|4.0|곱창,막창|
이학갈비 면목점|서울 중랑구 면목로 310 2층|매일 09:30 ~ 22:00|02-437-0170|3.8|갈비|
찜집 본점|서울 중랑구 면목로 287|월~토 10:00 ~ 24:00|02-494-0044|3.8|해물,생선|
마구로|서울 중랑구 망우로 270 2층|매일 12:00 ~ 22:30 · 브레이크타임 매일 14:30 ~ 16:00|02-492-7100|3.3|회|
까망통돼지|서울 중랑구 면목로 488 2층|매일 11:30 ~ 23:30|02-438-5730|4.7|육류,고기|
태능배밭갈비|서울 중랑구 동일로143길 30|월,수,목,금,토,일 11:30 ~ 23:00|02-973-9292|3.0|갈비|
쿠우쿠우 상봉점|서울 중랑구 망우로 316 이지펠리스 3층||02-433-6274|3.2|해산물뷔페|
함평국밥|서울 중랑구 봉우재로33길 73 1층|월~토 11:30 ~ 22:00|02-2209-3332|3.7|국밥|
농부보쌈|서울 중랑구 용마산로 389 석주빌딩 지하1층|화~일 11:00 ~ 23:00|02-496-8860|3.4|족발,보쌈|
연탄돼지갈비|서울 중랑구 봉우재로 159|영업시간 월,수,목,금,토,일 15:00 ~ 04:00|02-433-7714|3.1|갈비|
천외천|서울 중랑구 봉우재로33길 12 1층|월,수,목,금,토,일 11:30 ~ 23:00|02-435-3334|4.4|오리|
쪽갈비대통령 먹골본점|서울 중랑구 동일로163길 46 1층||02-979-0316|4.5|갈비|
울타리곱창|서울 중랑구 중랑역로 20|영업시간 매일 13:30 ~ 01:30|02-491-7178|3.2|곱창,막창|
신선한우촌|서울 중랑구 용마산로 707|매일 11:00 ~ 22:00|02-492-3335|3.8|육류,고기|
작은부엌|서울 중랑구 면목로 361 1층|월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:00|0507-1311-9160|4.3|양식|
중화호반닭갈비막국수 본점|서울 중랑구 봉화산로 20||02-439-1656|3.3|닭요리|
산채가한정식|서울 중랑구 동일로157길 30 1층|매일 11:00 ~ 22:30|02-948-1138|4.2|한정식|
홍이네떡볶이|서울 중랑구 망우로73길 26||02-439-5831|3.2|떡볶이|
강원도동강오리|서울 중랑구 용마산로115길 10|월,수,목,금,토,일 11:00 ~ 22:00|02-492-6717|4.0|오리|
어글리스토브 상봉점|서울 중랑구 상봉로 131 듀오트리스 1층|매일 11:00 ~ 21:30|02-433-8459|3.1|양식|
최민석마구로 묵동본점|서울 중랑구 동일로 939 2층|매일 11:30 ~ 24:00 · 브레이크타임 매일 14:30 ~ 16:30|02-977-0737|2.8|참치회|
맑은샘|서울 중랑구 용마산로99길 13|월~토 12:00 ~ 16:00||3.7|떡볶이|
고기를품다 사가정직영점|서울 중랑구 면목로48길 17 1층|영업시간 화~일 16:00 ~ 00:30|070-4045-9736|4.7|육류,고기|
양지촌|서울 중랑구 망우로 184|매일 11:00 ~ 22:00|02-2207-4200|1.1|갈비|
아웃백스테이크하우스 상봉점|서울 중랑구 망우로 293 삼성CNC프라자 2층|매일 11:30 ~ 22:00|02-434-8491|4.4|패밀리레스토랑|
봉일천돼지부속|서울 중랑구 면목로 463 1층|영업시간 월~토 17:00 ~ 24:00|02-491-9231|4.1|육류,고기|
파크더블유|서울 중랑구 양원역로16길 103-111|매일 11:00 ~ 22:00|02-432-5659|2.8|카페|
