카페명|주소|영업시간|전화번호|대표사진주소
노티드 청담|서울 강남구 도산대로53길 15 1층|매일 09:00 ~ 21:00|070-8860-9377|
꽁티드툴레아 도산점|서울 강남구 도산대로49길 39 1층|월~토 11:00 ~ 24:00|070-8846-8490|
알베르|서울 강남구 강남대로102길 34|매일 10:00 ~ 23:00|02-566-6181|
블루보틀 역삼 카페|서울 강남구 테헤란로 129 강남N타워 1층|매일 08:00 ~ 20:00|1533-6906|
마일스톤커피|서울 강남구 논현로159길 49 1층|매일 10:00 ~ 21:00|070-4219-1195|
테라로사 포스코센터점|서울 강남구 테헤란로 440 포스코센터 1층|월~금 07:30 ~ 21:00|033-648-2760|
카페캠프통|서울 강남구 압구정로42길 27|매일 12:00 ~ 19:00|02-3445-0369|
썸띵어바웃커피|서울 강남구 강남대로102길 30 1~3층|매일 12:00 ~ 23:00||
카페413프로젝트|서울 강남구 논현로97길 19-11|월요일|070-7798-0544|
랑데자뷰 강남점|서울 강남구 봉은사로6길 39 1층|매일 11:00 ~ 22:00|02-552-0204|
도산맘마|서울 강남구 압구정로42길 45|매일 10:00 ~ 23:00|02-511-0620|
카페써드|서울 강남구 선릉로131길 11 1층|매일 08:00 ~ 23:00|070-7773-4559|
블루보틀 압구정 카페|서울 강남구 논현로 854 안다즈호텔 101호|매일 08:00 ~ 20:00|1533-6906|
고센|서울 강남구 선릉로158길 18|월~토 11:00 ~ 05:00|02-515-1863|
정월|서울 강남구 강남대로102길 46 1층|매일 11:00 ~ 22:00|02-6013-0926|
C27 가로수길본점|서울 강남구 도산대로15길 39|매일 10:00 ~ 21:00|02-544-1527|
세시셀라 도산공원점|서울 강남구 도산대로45길 10-4 삼경빌딩 1층|매일 11:30 ~ 22:00|02-3448-7100|
테일러커피 신사점|서울 강남구 강남대로160길 31 1층|매일 10:00 ~ 22:00|02-511-0355|
10꼬르소꼬모카페|서울 강남구 압구정로 416 더트리니티빌딩 지하1층|월,화,수,목,일 11:00 ~ 23:00||
맷카페|서울 강남구 학동로50길 42 1층|매일 11:00 ~ 21:00|070-7599-2212|
가배도 신논현점|서울 강남구 강남대로110길 13 2,3층|매일 11:00 ~ 21:00|02-554-4542|
카페무라노|서울 강남구 강남대로110길 21 1층|매일 12:00 ~ 20:00|02-555-8853|
트리아농|서울 강남구 학동로59길 43|월~토 09:00 ~ 22:00|070-8129-5955|
논탄토|서울 강남구 도산대로17길 35|매일 11:00 ~ 22:00||
루프808|서울 강남구 강남대로 470 808타워 16층|영업시간 매일 17:00 ~ 01:00|02-3452-8088|
기욤 청담점|서울 강남구 선릉로152길 17|월,화,수,목,일 10:00 ~ 24:00|02-512-6701|
소진담 신사점|서울 강남구 논현로161길 51 지하1층, 1층|매일 11:00 ~ 22:00|02-542-5550|
디올카페|서울 강남구 압구정로 464 5층|월~토 11:00 ~ 20:00||
버터풀&크리멀러스|서울 강남구 언주로172길 59 삼두빌딩 1층|월요일|02-518-2223|
테라로사 코엑스점|서울 강남구 영동대로 513 1층|매일 09:00 ~ 22:00||
펠트커피 도산공원점|서울 강남구 언주로164길 23|매일 11:00 ~ 20:00|070-7756-3145|
껠끄쇼즈|서울 강남구 도곡로70길 5|월,화,수요일||
빌리엔젤 강남역점|서울 강남구 테헤란로1길 48 강남ELS빌딩 1층|매일 11:00 ~ 23:00|070-5051-8135|
아우어베이커리 싸이더스점|서울 강남구 선릉로 629 A동 1층 101호|월~금 08:00 ~ 21:00|02-541-6639|
미엘|서울 강남구 도산대로67길 13-12 퍼즐하우스 1층|매일 11:00 ~ 01:00|02-512-2395|
달링키친|서울 강남구 언주로126길 25|월요일|02-540-3460|
식물원282|서울 강남구 테헤란로83길 44-1|월~금 11:00 ~ 24:00 · 브레이크타임 월~금 14:30 ~ 17:30|0504-0905-0245|
