카페명|주소|영업시간|전화번호|대표사진주소
스윗솔트|서울 강동구 상암로 286|영업시간 매일 09:00 ~ 21:00|02-3427-0999|
브랜뉴하이몬드|서울 강동구 천호옛14길 11 1,2층|영업시간 매일 09:00 ~ 23:00|02-478-2402|
미드데이썬|서울 강동구 양재대로91나길 55 1층 101호|영업시간 화~일 11:00 ~ 22:00|0507-136-9308|
평상시 암사점|서울 강동구 고덕로20길 26 1층 101호|월,화,수요일||
채스우드커피|서울 강동구 성안로 42 1층|영업시간 매일 10:00 ~ 22:00|02-470-4562|
성내동커피집 온온|서울 강동구 성내로18길 34 1층 103호|영업시간 월~금 08:30 ~ 18:30||
테라로사 길동점|서울 강동구 천호대로 1221 길동채움 2층|영업시간 매일 09:00 ~ 21:00||
스타벅스 천호로데오점|서울 강동구 천호대로 1037|영업시간 매일 08:00 ~ 21:00|1522-3232|
디자인카페허브|서울 강동구 천호대로200길 15-16|영업시간 월~토 10:00 ~ 22:00|02-417-0437|
브리에|서울 강동구 강동대로51길 50 1층|월,화요일|0507-1336-7304|
펠어커피 강동점|서울 강동구 천호옛14길 23-12 1층|영업시간 월~금 10:00 ~ 22:00|070-7702-6096|
파트원나이스|서울 강동구 올림픽로89길 29|영업시간 화~토 12:00 ~ 22:00||
카페제이|서울 강동구 동남로82길 19 1층|영업시간 월~토 11:00 ~ 21:00|070-8270-9370|
카페메종드한|서울 강동구 성안로 27 103호|영업시간 월~금 10:00 ~ 22:00|02-482-2005|
카페노란코끼리 천호점|서울 강동구 구천면로24길 20-25|영업시간 월~금 08:00 ~ 22:00||
스타벅스 강동구청DT점|서울 강동구 성내로 32|영업시간 월~토 07:00 ~ 22:00|1522-3232|
하에레츠|서울 강동구 암사길 27|영업시간 월~금 09:00 ~ 23:00|02-481-8341|
스타벅스 강동암사DT|서울 강동구 고덕로 43|영업시간 매일 07:00 ~ 22:00|1522-3232|
피에로커피|서울 강동구 성내로14길 27|영업시간 월~금 08:00 ~ 22:00|02-471-5618|
엘리펀트커피|서울 강동구 양재대로 1548|영업시간 매일 10:00 ~ 23:00||
카쿠|서울 강동구 성안로 45|영업시간 월~목 11:00 ~ 21:00 · 브레이크타임 월~목 15:00 ~ 18:00||
벌스커피|서울 강동구 성내로5길 34 1층|영업시간 월~금 08:00 ~ 22:00|02-6084-3317|
우드멜로우|서울 강동구 아리수로 243|영업시간 매일 09:30 ~ 22:00||
카페씨모|서울 강동구 고덕로38길 69|영업시간 매일 11:00 ~ 23:00|010-4241-9957|
엘리펀트커피 둔촌점|서울 강동구 천호대로 1192|영업시간 매일 10:00 ~ 22:00|02-488-2039|
스타벅스 천호역점|서울 강동구 천호대로 1012 태승빌딩 1층|영업시간 월~금 07:00 ~ 20:00|1522-3232|
카페공공장소|서울 강동구 암사길 7-1 암사동빌딩 1층 101호|영업시간 화~일 12:00 ~ 21:30|0507-1314-6627|
카페티에드|서울 강동구 천호대로157길 52 2,3층|영업시간 매일 11:30 ~ 24:00|02-475-0011|
솔리|서울 강동구 진황도로 4-5 1~3층|영업시간 매일 13:00 ~ 24:00||
스타벅스 둔촌동점|서울 강동구 양재대로 1303 평원빌딩 1층|영업시간 월~금 07:00 ~ 21:00|1522-3232|
수요일|서울 강동구 동남로 891 현대델리안 202호|영업시간 매일 10:00 ~ 22:00|02-3427-6467|
