카페명|주소|영업시간|전화번호|대표사진주소
카페어니언 미아점|서울 강북구 솔매로50길 55 1층|매일 10:00 ~ 22:00|070-7816-2714|
무너미|서울 강북구 노해로8가길 40 1층||02-903-5058|
미즐카페엠|서울 강북구 4.19로 107|매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 16:30|02-999-5055|
경계선|서울 강북구 삼각산로 22-7|월요일|010-3957-7341|
카페산아래|서울 강북구 삼양로181길 56|월~금 11:30 ~ 21:00||
카페멘디|서울 강북구 4.19로8길 7-2 1층|월요일|02-990-7832|
릴렉스|서울 강북구 삼양로181길 142|매일 11:00 ~ 21:30||
제이제곱|서울 강북구 도봉로10나길 17 1층|매일 12:00 ~ 22:30|010-4883-4249|
큐브이스케이프 수유점|서울 강북구 도봉로87길 11 2층|영업시간 월~금 14:30 ~ 23:30|02-903-0706|
노르웨이안우드|서울 강북구 도봉로87길 32-6 1,2층|월요일|02-999-3738|
백란|서울 강북구 삼양로181길 201-20|매일 11:00 ~ 22:00|02-993-7745|
스타벅스 강북구청사거리점|서울 강북구 도봉로 365|매일 08:00 ~ 22:00|1522-3232|
아카데미하우스|서울 강북구 4.19로 135|매일 10:00 ~ 22:00||
투썸플레이스 미아사거리역점|서울 강북구 도봉로10길 6 1층|매일 09:00 ~ 22:00|02-982-2500|
스타벅스 미아사거리역점|서울 강북구 도봉로 32|월~금 07:00 ~ 21:00|1522-3232|
카페비르케|서울 강북구 4.19로 43 1,2층|매일 10:00 ~ 23:00|02-997-5841|
에이머그|서울 강북구 노해로 21 1층|매일 10:00 ~ 22:00|02-6953-2629|
번418|서울 강북구 오패산로 414|매일 11:00 ~ 23:00|02-907-5757|
스타벅스 수유역점|서울 강북구 도봉로 342|월~금 07:00 ~ 23:00|1522-3232|
투썸플레이스 수유사거리점|서울 강북구 도봉로 295 스타타워 1,2층|월~금 07:00 ~ 23:00|02-900-2388|
스타벅스 미아뉴타운점|서울 강북구 삼양로 161 행전빌딩|월~금 07:00 ~ 22:00|1522-3232|
