카페명|주소|영업시간|전화번호|대표사진주소
고양이정원|서울 강서구 개화동로19길 18 1층|영업시간 월~금 11:00 ~ 01:00|02-2665-4507|
카페우드진|서울 강서구 마곡중앙6로 45 리더스퀘어마곡 1층 113호|영업시간 월~금 07:30 ~ 22:00|02-6052-0116|
고양이똥|서울 강서구 공항대로59가길 13|영업시간 매일 10:30 ~ 17:00|02-6013-1281|
브루클린커피|서울 강서구 강서로52길 16 1층|영업시간 매일 07:00 ~ 23:00|02-3664-5595|
헤리스헤이스|서울 강서구 마곡동로3길 26 1층 103호|기간 2022년 12월 23일 ~ 2023년 1월 12일|010-8863-9532|
어나더사이드|서울 강서구 강서로 318 1층|영업시간 월~금 09:00 ~ 22:00|02-3665-9877|
브런치팩토리|서울 강서구 마곡중앙로 36 마곡엠밸리15단지상가 102호|영업시간 매일 08:30 ~ 21:00|070-4136-2631|
광화문살롱|서울 강서구 공항대로45길 63 1층 105,106호|영업시간 매일 07:30 ~ 22:00|02-2668-3966|
인라이크|서울 강서구 양천로30길 103|화요일|070-7789-3344|
스타벅스 화곡DT점|서울 강서구 등촌로 57|영업시간 월~금 07:00 ~ 22:00|1522-3232|
스타벅스 마곡나루|서울 강서구 마곡중앙로 161-17|영업시간 월~금 07:00 ~ 22:00|1522-3232|
고양이똥 3호점|서울 강서구 공항대로45길 30 1층|영업시간 매일 10:30 ~ 21:30|02-2694-0285|
카페움플레이트|서울 강서구 마곡중앙1로 72 마곡엠밸리10단지 1014동 상가1층 101호|영업시간 월~금 09:30 ~ 21:00|02-2662-5881|
스타벅스 방화DT|서울 강서구 방화대로 375|영업시간 매일 07:00 ~ 22:00|1522-3232|
구도커피|서울 강서구 등촌로35길 121 1,2층|영업시간 월~금 11:30 ~ 19:30|02-6348-2460|
스타벅스 마곡사이언스타워R|서울 강서구 마곡동로 62|영업시간 월~금 07:00 ~ 21:30|1522-3232|
벌툰 마곡발산점|서울 강서구 공항대로 247 퀸즈파크나인 A동 401, 402호|영업시간 매일 10:00 ~ 23:00|02-6738-1105|
맥켄지커피 까치산역점|서울 강서구 강서로 47-6|영업시간 월~목 08:00 ~ 23:00|02-2604-6323|
스타벅스 화곡동점|서울 강서구 화곡로 142|영업시간 월~토 07:30 ~ 22:00|1522-3232|
스타벅스 발산역|서울 강서구 강서로 388 1층|영업시간 월~금 07:30 ~ 22:00|1522-3232|
헤이더그린|서울 강서구 오쇠동 114-7|영업시간 매일 11:00 ~ 21:00||
빌리엔젤 마곡점|서울 강서구 마곡동로 62 107호|영업시간 월~금 08:00 ~ 23:00|02-3663-6864|
비엔나커피하우스 마곡나루역점|서울 강서구 마곡중앙5로1길 20 219호|영업시간 매일 10:00 ~ 23:00|02-2093-6575|
쉐드커피|서울 강서구 마곡중앙6로 16 마곡지엠지타워 1층 114호|영업시간 월~금 07:30 ~ 21:00||
카페비쥬|서울 강서구 강서로47다길 17|영업시간 월~금 12:00 ~ 22:00||
스타벅스 마곡역|서울 강서구 공항대로 168 101~105호|영업시간 월~금 07:00 ~ 21:30|1522-3232|
스타벅스 김포공항DT점|서울 강서구 개화동로 517|영업시간 월~목 07:00 ~ 21:30|1522-3232|
스타벅스 까치산역점|서울 강서구 강서로13길 3|영업시간 월~금 07:30 ~ 22:00|1522-3232|
고양이후추|서울 강서구 공항대로59다길 267 솔트나인빌리지 1층 102호|영업시간 매일 11:00 ~ 22:00|010-8081-2389|
플루이드|서울 강서구 마곡중앙6로 70 매그넘797 1층 107호|영업시간 월~금 10:00 ~ 22:00|070-7543-5080|
이층창가 (휴업중)|서울 강서구 까치산로 46 2층||02-2603-3342|
꿀팟만화보드카페|서울 강서구 마곡중앙로 161-17 보타닉파크타워1 지하1층 B112호|영업시간 매일 11:00 ~ 24:00|02-6925-1414|
스타벅스 마곡나루공원|서울 강서구 마곡중앙5로 47|영업시간 월~금 07:00 ~ 22:00|1522-3232|
빌리엔젤 마곡역점|서울 강서구 마곡중앙로 56|영업시간 월~금 08:00 ~ 22:30|02-2664-3230|
153도씨|서울 강서구 마곡중앙로 161-1 마곡나루역캐슬파크 1층 120호|영업시간 매일 11:00 ~ 23:00|010-8853-0153|
OMW애견카페|서울 강서구 화곡로 194-26 1층|영업시간 화~일 12:00 ~ 21:00|010-3663-6778|
투썸플레이스 마곡점|서울 강서구 마곡중앙6로 40 장흥빌딩 1, 2층|영업시간 월~금 07:30 ~ 22:00|02-3662-5800|
봉봉키즈 강서점|서울 강서구 마곡중앙6로 65 지투프라자 5층 504~506호|월,화요일|010-5143-6780|
카페소금다방|서울 강서구 공항대로61길 42|영업시간 월~금 09:30 ~ 22:00|070-4242-3443|
스타벅스 등촌|서울 강서구 공항대로 329 1층|영업시간 월~금 07:30 ~ 21:00|1522-3232|
와밀|서울 강서구 마곡동로10길 23 마곡파크뷰대방디엠시티오피스텔 1층 105호|영업시간 월~금 08:00 ~ 22:00|0507-1325-9927|
카페 우드진 마곡나루점|서울 강서구 마곡중앙로 161-8 두산더랜드파크 A동 108호|영업시간 월~금 08:30 ~ 22:00|02-6989-8108|
