맛집명|주소|영업시간|전화번호|대표사진주소
쟝블랑제리|서울 관악구 낙성대역길 8|영업시간 매일 07:20 ~ 22:00|02-889-5170|
강강술래 신림점|서울 관악구 남부순환로 1660 1층|영업시간 매일 11:00 ~ 22:00|02-886-9233|
정담은보쌈 신림점|서울 관악구 남부순환로 1661|영업시간 매일 11:30 ~ 22:30 · 브레이크타임 매일 14:50 ~ 16:00|02-888-8401|
온정돈까스|서울 관악구 조원로 60 1층|영업시간 월,수,목,금,토,일 11:00 ~ 19:50|02-3281-3330|
원조민속순대타운|서울 관악구 신림로59길 14 2,3층|매일 09:00 ~ 02:00||
복돈이부추삼겹살 사당본점|서울 관악구 남현1길 68-14 1층|매일 12:00 ~ 02:00|02-582-5124|
월화고기 보라매직영점|서울 관악구 보라매로3길 16|영업시간 월~금 16:00 ~ 22:30|02-888-7592|
아리차이 신림점|서울 관악구 신림동길 4 1층|영업시간 월~토 11:00 ~ 22:30|02-877-1272|
디자이너리카페|서울 관악구 관천로 71-1 4층|영업시간 월~토 10:00 ~ 23:00|02-868-7112|
은행골 본점신관|서울 관악구 조원로 10-1 1층|영업시간 월~금 12:00 ~ 23:00|02-859-4988|
서울갈비 신림점|서울 관악구 남부순환로 1645|매일 12:00 ~ 02:00|02-885-7610|
기절초풍왕순대|서울 관악구 봉천로62길 2 1,2층|영업시간 매일 07:00 ~ 21:30|02-872-8805|
킷사서울|서울 관악구 남부순환로226길 31 2층|영업시간 월,수,목,금,토,일 11:30 ~ 22:00 · 브레이크타임 월,수,목,금,토,일 15:00 ~ 17:00|02-878-7444|
고기굽는사람들 샤로수길본점|서울 관악구 관악로14길 70 1층|영업시간 월,수,목,금,토,일 13:00 ~ 22:00|0507-1357-6884|
논밭골 봉천점|서울 관악구 청룡길 30|월,일요일|02-875-6493|
미가할매집|서울 관악구 신림로 374|영업시간 매일 11:30 ~ 22:30|02-888-6940|
춘천골숯불닭갈비|서울 관악구 신림동7길 46 1층|매일 16:00 ~ 00:00|02-873-8592|
오월의김밥|서울 관악구 봉천로 605|월요일|02-876-7792|
중화요리팔공|서울 관악구 남부순환로 1680 지하1층|영업시간 월~토 11:20 ~ 21:30|02-877-9815|
