카페명|주소|영업시간|전화번호|대표사진주소
디자이너리카페|서울 관악구 관천로 71-1 4층|월~토 10:00 ~ 23:00|02-868-7112|
폼앤노말|서울 관악구 신림로67길 25 1층|매일 11:00 ~ 22:00|010-4053-1124|
사생활 신림점|서울 관악구 신사로14길 19 지하1층|매일 11:00 ~ 02:00||
온고지신|서울 관악구 관악로14길 101 1, 2층|매일 12:00 ~ 22:00|02-6338-5977|
황홀경|서울 관악구 관악로14길 37 지하1층|매일 12:00 ~ 22:30|02-6449-7362|
고로커피로스터스|서울 관악구 남부순환로231길 33 지하1층|월,화,금 11:00 ~ 19:00|0507-1411-9023|
발루토|서울 관악구 신림로23길 28 1층|매일 09:00 ~ 23:00|02-875-1155|
데일리오아시스 샤로수길점|서울 관악구 관악로14길 74-3 1층|매일 12:00 ~ 23:00|070-7739-8282|
티라노커피|서울 관악구 남부순환로230길 39|매일 11:00 ~ 23:00||
데이즈앤데이즈|서울 관악구 시흥대로 578 광안빌딩 2층|매일 09:00 ~ 23:00|02-869-0077|
메이지커피 M A G E|서울 관악구 난곡로 363-1 2층|매일 11:30 ~ 23:00|02-6326-5188|
비엔나커피하우스 신림점|서울 관악구 신림로 363 1~3층|매일 09:00 ~ 23:50|02-875-1683|
카페폴|서울 관악구 남부순환로234길 43 1층|매일 10:00 ~ 22:00|070-8100-9091|
소디스커피|서울 관악구 남부순환로230길 45 1층 101호|월~토 11:00 ~ 23:00|02-6084-0061|
오후의과일|서울 관악구 관악로14길 15 2층|월,수,목,금,토,일 11:00 ~ 23:00 · 브레이크타임 월,수,목,금,토,일 16:00 ~ 18:00||
아띠|서울 관악구 쑥고개로 137||02-876-3110|
테이블1629|서울 관악구 장군봉2길 32 1층|매일 11:00 ~ 23:00|02-883-1629|
아모르미오|서울 관악구 행운2길 20 1층|월~금 08:00 ~ 21:00|070-4306-5006|
인투커피|서울 관악구 난곡로 331|매일 09:30 ~ 22:00|02-6083-1170|
스타벅스 낙성대DT점|서울 관악구 남부순환로 1948|매일 07:00 ~ 22:00|1522-3232|
마티스커피 신림점|서울 관악구 신림로59길 15-6 2층|매일 12:00 ~ 23:00|02-884-6321|
스타벅스 관악서울대입구R점|서울 관악구 관악로 158 BS타워 1층|월~금 07:00 ~ 22:00|1522-3232|
시트론오피스|서울 관악구 남부순환로234길 18 2층|매일 12:00 ~ 22:00|02-878-0407|
스타벅스 신림DT점|서울 관악구 남부순환로 1419|월~금 07:00 ~ 22:00|1522-3232|
스타벅스 사당R점|서울 관악구 남부순환로 2082-25 1,2층|월~금 07:00 ~ 22:00|1522-3232|
커피볶는여자|서울 관악구 관악로14가길 2|매일 12:00 ~ 23:30||
투썸플레이스 사당점|서울 관악구 남부순환로 2082-33 성광빌딩 1층|매일 07:00 ~ 23:00|02-581-7767|
보스커피&브런치|서울 관악구 봉천로33길 7 1층|매일 10:30 ~ 24:00|02-872-8345|
스타벅스 서울대입구역점|서울 관악구 남부순환로 1812|월~금 07:00 ~ 22:00|1522-3232|
카페녹다|서울 관악구 신림로15길 31 1층|매일 08:00 ~ 23:00||
궁전다방|서울 관악구 남부순환로 1500 1층|매일 10:00 ~ 02:00||
카페프레임|서울 관악구 관악로14길 94 지하1층|매일 12:00 ~ 22:00|070-4201-1001|
카페보니또 사당점|서울 관악구 남부순환로 2032 1층|매일 09:00 ~ 22:00 · 브레이크타임 월~금 11:00 ~ 12:00|02-584-0011|
저스트로맨틱|서울 관악구 신림로 134 1층|월요일||
반조|서울 관악구 관악로12길 11 2층|월,화요일|02-6013-2190|
스타벅스 신림타임스트림점|서울 관악구 신림로 330 타임스트림 1층 101호|월~금 07:00 ~ 22:00|1522-3232|
프로젝트서울|서울 관악구 봉천로 518-4 4층|월요일|070-7753-5678|
스타벅스 신림사거리점|서울 관악구 남부순환로 1619 영일빌딩 1, 2층|월~토 08:00 ~ 22:00|1522-3232|
달다어요|서울 관악구 신림로68길 38 1층|월요일||
오렌지연필|서울 관악구 남부순환로 1895|매일 00:00 ~ 22:00|02-6295-6000|
투썸플레이스 신림역점|서울 관악구 신림로 350 서원프라자 1층|매일 08:00 ~ 22:30|02-882-7873|
스타벅스 낙성대역점|서울 관악구 남부순환로 1908|월~금 07:00 ~ 22:00|1522-3232|
뉴욕택시디저트|서울 관악구 남부순환로 1870 1층|월~토 11:00 ~ 22:00|070-8711-1013|
혼자두면장판뜯어서차린개카페|서울 관악구 남부순환로 1665 3층|매일 08:30 ~ 21:30|02-887-3058|
플레이온보드게임카페 신림점|서울 관악구 남부순환로 1592 3층|월~금 13:00 ~ 06:00|02-882-5727|
플로레스타229|서울 관악구 문성로 229|월~토 11:00 ~ 22:00|02-6369-2290|
안밀|서울 관악구 남부순환로 1945 1층|매일 08:00 ~ 22:00|02-6956-8678|
카페모리츠|서울 관악구 남부순환로 1711|월~토 10:00 ~ 21:00|010-7229-8012|
미라보|서울 관악구 봉천로 541 1층|월요일|070-4251-9117|
투썸플레이스 신림로점|서울 관악구 신림로 328 1~3층|매일 09:00 ~ 24:00|02-878-7955|
투썸플레이스 서울대입구역점|서울 관악구 관악로 157|매일 08:00 ~ 23:20|02-882-5474|
스타벅스 신림점|서울 관악구 신림로 355-1|월~목 08:00 ~ 21:00|1522-3232|
룸엘이스케이프|서울 관악구 신림로 322-4 2층||02-882-1215|
할리스 신림점|서울 관악구 신림로 353-1|월,화,수,목,일 10:00 ~ 23:00|02-877-0019|
스타벅스 서울대역|서울 관악구 남부순환로 1817|월~금 07:00 ~ 22:00|1522-3232|
러브낚시카페 신림점|서울 관악구 봉천로 421 지하1층|월~금 14:00 ~ 03:00|02-883-2181|
책읽는고양이|서울 관악구 은천로 109 한독빌딩 7층|월~금 13:00 ~ 22:00|02-876-5397|
도노텀블 보라매점|서울 관악구 보라매로 15-8|월~금 08:00 ~ 23:00|02-885-3377|
리버벨|서울 관악구 남현2길 18 1층||070-8065-3096|
행운당|서울 관악구 행운1길 40|월,화,일요일||
스타벅스 보라매대교점|서울 관악구 보라매로3길 23 대교눈높이보라매 센터 1층|월~금 07:00 ~ 21:00|1522-3232|
자상한시간|서울 관악구 중앙길 59 1층|월,일요일|02-877-1015|
곳간집|서울 관악구 인헌3나길 26 1층|월,화,수요일||
나에게오는길|서울 관악구 관악로14길 82 2층|매일 12:00 ~ 22:00|010-6831-0423|
카페여기|서울 관악구 호암로22길 31 1층|매일 09:00 ~ 24:00|02-882-5945|
넥스트에디션 신림점|서울 관악구 남부순환로 1598 지하1층|매일 10:30 ~ 24:00|02-882-3775|
투썸플레이스 서울대역중앙점|서울 관악구 봉천로 472 103호|매일 08:30 ~ 22:00|02-876-2352|
커피빈 서울대입구역점|서울 관악구 관악로 161 2,3층|월~금 07:00 ~ 23:00|02-882-3101|
젠젠 서울대입구점|서울 관악구 관악로12길 23 1층|월~금 12:00 ~ 22:00||
카페요와|서울 관악구 남부순환로216길 24 1층 103호|매일 12:00 ~ 24:00|070-8888-8852|
스타벅스 봉천역|서울 관악구 남부순환로 1730 1층|매일 07:00 ~ 22:00|1522-3232|
더은교 (2022년 하반기 오픈예정)|서울 관악구 인헌2길 11 1층||02-877-1103|
설빙 신림점|서울 관악구 남부순환로 1598 2층|매일 11:30 ~ 23:30|02-879-2080|
쁘띠몽드 관악점|서울 관악구 관악로30길 12 우성APT 상가동 5층 502호|월요일|02-877-1136|
엔제리너스 구로디지털역점|서울 관악구 시흥대로 572|매일 00:00 ~ 24:00 · 브레이크타임 매일 03:30 ~ 05:00|02-869-8564|
스몰월드|서울 관악구 과천대로 947 4층|월~금 13:00 ~ 23:30||
커피버넷|서울 관악구 봉천로 595 1층|매일 08:00 ~ 23:00|070-8106-4175|
파스쿠찌 서울대점(임시휴업중)|서울 관악구 관악로 1 사범대간이식당 111동|월~금 07:00 ~ 22:00|02-882-8497|
오페라빈로스터스 낙성대점|서울 관악구 낙성대로 29 1층|둘째 월요일|02-875-0066|
레드제플린|서울 관악구 신림로 296|영업시간 매일 19:00 ~ 03:00|010-4287-7671|
입양뜰|서울 관악구 난우2길 9 은연재 2층|매일 12:00 ~ 19:00||
설빙 서울사당점|서울 관악구 과천대로 947 사당타워 2층|매일 10:30 ~ 22:30|02-3474-7150|
아이엠카페|서울 관악구 조원중앙로2길 132 1층|월~수 09:00 ~ 21:00|02-869-3262|
커피나무 낙성대역점|서울 관악구 봉천로 569 팬컴빌딩 1층|월~금 08:30 ~ 23:00|02-877-0210|
벌툰 신림점|서울 관악구 신림로 344 2층|월,화,수,목,일 10:00 ~ 22:00|02-876-1230|
탐앤탐스 서울대입구점|서울 관악구 관악로 173 2~3층|매일 00:00 ~ 24:00|02-878-5565|
공차 사당본점|서울 관악구 과천대로 945 2,3층|매일 08:00 ~ 22:00|02-3472-7758|
투썸플레이스 서울대점|서울 관악구 관악로 1 자연과학대학 500동|매일 08:00 ~ 22:00|02-884-2385|
파머스빈 서울대점|서울 관악구 신림로 85 1층|매일 09:00 ~ 02:00|070-4235-6232|
카페이루|서울 관악구 남부순환로272길 18|매일 10:00 ~ 22:00||
NOSH|서울 관악구 조원로13길 64 1층||0507-1438-4664|
밀가루랑|서울 관악구 봉천로 224 2층|매일 11:00 ~ 19:00|02-877-3111|
달첨시루|서울 관악구 관악로12길 104 1층|월,화요일|010-5007-3755|
더코드 신림점|서울 관악구 남부순환로 1596 가동 4층|월~금 14:00 ~ 23:55|02-871-2225|
할리스 서울대사거리점|서울 관악구 관악로 172 2층|매일 00:00 ~ 24:00|02-877-6070|
설빙 서울대입구역점|서울 관악구 관악로 154 2층|매일 11:30 ~ 23:00|02-872-6716|
독특하개|서울 관악구 신림동길 23-1 2층|매일 14:00 ~ 24:00|070-7655-4550|
차르도르&펫살롱|서울 관악구 보라매로 17 지하1층|매일 10:00 ~ 22:00|02-875-1999|
일커피|서울 관악구 쑥고개로 123|매일 08:00 ~ 24:00||
와우카페|서울 관악구 과천대로 939 르메이에르강남타운2차201~203호, 207호, 210호|월~토 10:00 ~ 23:00|02-523-2739|
문득낙성|서울 관악구 남부순환로 1929-9 102호|매일 10:00 ~ 22:00||
Cafe H|서울 관악구 봉천로6길 17 1층||02-876-2201|
레드버튼 신림점|서울 관악구 신림로 323 3층|월~목 13:00 ~ 24:00|02-877-3799|
