맛집명|주소|영업시간|전화번호|대표사진주소
송림식당|서울 광진구 자양번영로 79|매일 06:00 ~ 23:00|02-457-5473|
송화산시도삭면 2호점|서울 광진구 아차산로30길 33|월,수,목,금,토,일 12:00 ~ 24:00|02-468-7826|
신토불이떡볶이 본점|서울 광진구 자양로43길 42 1층|월요일||
원조할아버지손두부|서울 광진구 자양로 324 1층|월요일|02-447-6540|
영미오리탕 군자점|서울 광진구 동일로60길 53 천수빌딩 1층|월요일|02-463-5222|
이이요|서울 광진구 능동로32길 6|영업시간 월~토 11:50 ~ 22:00 · 브레이크타임 월~토 14:30 ~ 17:00|02-3437-2225|
하이디라오코리아 건대점|서울 광진구 능동로 110 2층|매일 10:00 ~ 24:00|02-456-5683|
멕시칼리|서울 광진구 능동로36길 181 1층 멕시칼리|영업시간 매일 11:30 ~ 22:00|070-7623-1707|
로니로티 건대점|서울 광진구 아차산로 225 3층|매일 11:30 ~ 23:00|02-498-7999|
서북면옥|서울 광진구 자양로 199-1|영업시간 월~토 11:00 ~ 19:00|02-457-8319|
송화양꼬치|서울 광진구 동일로18길 70|월,수,목,금,토,일 11:00 ~ 02:00|02-462-7826|
도우터|서울 광진구 아차산로31길 40|월~금 12:00 ~ 23:30|02-464-0559|
비스타워커힐서울 피자힐|서울 광진구 워커힐로 177 워커힐호텔|영업시간 매일 12:30 ~ 21:30|1670-0005|
뱃놈|서울 광진구 광나루로19길 9 1층|월~금 15:00 ~ 00:00|010-5603-9282|
오코노미야키식당하나|서울 광진구 능동로13길 111 1층|월,수,목 17:00 ~ 23:00|02-469-8884|
군자대한곱창 본점|서울 광진구 능동로36길 10 1층|월~금 11:30 ~ 02:00|02-456-5207|
라구뜨|서울 광진구 능동로 90 더클래식500 B동 3층|영업시간 월~토 07:00 ~ 21:30 · 브레이크타임1 매일 10:00 ~ 12:00 · 브레이크타임2 월~금 14:30 ~ 18:00|02-2218-5770|
건대사시미|서울 광진구 아차산로33길 23|매일 16:30 ~ 05:00|02-465-3222|
호야초밥참치 본점|서울 광진구 능동로13길 39 1층|월요일|02-461-3739|
소담촌 아차산역점|서울 광진구 용마산로 10 3층|영업시간 매일 11:00 ~ 22:00|02-2201-8800|
뚝방길홍차가게|서울 광진구 자양강변길 277 1층|영업시간 월,목,금,토,일 12:00 ~ 20:00|02-512-0189|
아르무아|서울 광진구 동일로22길 117-27 1~2층|매일 11:00 ~ 23:00|02-463-9981|
함흥본가면옥 건대점|서울 광진구 광나루로 456|영업시간 매일 11:00 ~ 22:00|02-447-8806|
마초쉐프 건대점|서울 광진구 능동로 125 2층|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|02-497-8886|
시옌 건대점|서울 광진구 능동로 137-8|영업시간 매일 10:00 ~ 22:00|02-498-2280|
계탄집 본점|서울 광진구 능동로 31 1층|월~금 14:30 ~ 24:00|02-464-6804|
민벅 건대점|서울 광진구 능동로13길 39 한아름쇼핑센터 1층|영업시간 매일 11:30 ~ 22:00|02-469-4455|
감성타코 건대점|서울 광진구 능동로13길 39 2층|영업시간 매일 12:00 ~ 22:00|02-462-8883|
빠오즈푸|서울 광진구 광나루로 373 1층|영업시간 매일 11:30 ~ 20:30 · 브레이크타임 매일 15:00 ~ 17:00|02-462-9256|
고기대통령 본점|서울 광진구 능동로 91 2층|매일 11:30 ~ 00:30|02-462-9080|
크래버 대게나라 광장점|서울 광진구 천호대로 611 1층|매일 11:30 ~ 23:00|02-456-0277|
화기애애 건대점|서울 광진구 아차산로31길 16|월~금 16:00 ~ 23:00|02-461-7585|
안다즈커피|서울 광진구 천호대로132길 10 1층|영업시간 매일 09:30 ~ 22:00|0507-1324-4277|
스시텐 강변점|서울 광진구 구의강변로 86 강변리치타워 101호|영업시간 매일 11:30 ~ 21:30|02-454-9248|
남한강민물매운탕|서울 광진구 동일로 150|매일 11:30 ~ 22:30|02-464-7568|
찌마기 구의점|서울 광진구 구의로 17|월~금 15:00 ~ 01:00|02-6338-9922|
서울편백찜 광장점|서울 광진구 광장로 83 1층|영업시간 매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00|02-456-2096|
포차조개구이|서울 광진구 용마산로 40|월요일|02-458-3346|
체리커피|서울 광진구 능동로 284|매일 09:00 ~ 23:00|02-444-7222|
가온|서울 광진구 아차산로78길 75 현대골든텔2차 106호|영업시간 매일 11:00 ~ 22:00|02-3436-7100|
그랜드워커힐 서울 더뷔페|서울 광진구 워커힐로 177 2층|영업시간 매일 07:00 ~ 21:00 · 브레이크타임 월~금 10:00 ~ 12:00|1670-0005|
메이탄|서울 광진구 광나루로 590 아산빌딩 1층|영업시간 매일 11:00 ~ 21:30|02-454-6688|
기와집 본점|서울 광진구 면목로 32 1층|매일 10:30 ~ 23:00|02-2242-4145|
돕|서울 광진구 아차산로31길 9|매일 00:00 ~ 24:00|02-499-2838|
더이퀼리브리엄커피|서울 광진구 아차산로30길 7 3층|영업시간 매일 10:00 ~ 22:00|070-7537-3744|
조선주막 건대점|서울 광진구 아차산로33길 28-4|매일 15:30 ~ 05:00|02-462-1801|
도톰 본점|서울 광진구 능동로 386 1층|매일 12:00 ~ 24:00|02-444-4231|
최원석의돼지한판 광장점|서울 광진구 아차산로 478 1층|매일 11:30 ~ 01:00|02-447-4544|
깍뚝|서울 광진구 능동로19길 36 1층|매일 16:00 ~ 00:00|02-466-0106|
