카페명|주소|영업시간|전화번호|대표사진주소
도우터|서울 광진구 아차산로31길 40|영업시간 월~금 12:00 ~ 23:30|02-464-0559|
뚝방길홍차가게|서울 광진구 자양강변길 277 1층|영업시간 월,목,금,토,일 12:00 ~ 20:00|02-512-0189|
아르무아|서울 광진구 동일로22길 117-27 1~2층|매일 11:00 ~ 23:00|02-463-9981|
안다즈커피|서울 광진구 천호대로132길 10 1층|매일 09:30 ~ 22:00|0507-1324-4277|
체리커피|서울 광진구 능동로 284|매일 09:00 ~ 23:00|02-444-7222|
더이퀼리브리엄커피|서울 광진구 아차산로30길 7 3층|매일 10:00 ~ 22:00|070-7537-3744|
인덱스숍|서울 광진구 아차산로 200 커먼그라운드 3층|매일 11:00 ~ 22:00|02-2122-1259|
비에이치테이블|서울 광진구 아차산로45길 16 1층|월,화요일||
카페히릿|서울 광진구 광나루로 404 3층|영업시간 매일 12:00 ~ 22:00|070-8870-4442|
마우스레빗|서울 광진구 능동로11길 10|월~금 10:00 ~ 24:00|02-462-4015|
커피나무 건대입구역점|서울 광진구 동일로22길 117-26|월,화,수,목,일 10:00 ~ 24:00|02-466-1415|
헤르츠커피로스팅|서울 광진구 능동로 334 경남빌딩 1층|월요일|010-3312-9952|
넥스트에디션 건대2호점|서울 광진구 아차산로 192 별관 2,3층|매일 10:30 ~ 24:00|0507-417-8580|
그리네|서울 광진구 군자로 139 1층|매일 10:00 ~ 24:00||
오페뜨 건대점|서울 광진구 능동로 111 2층|영업시간 매일 12:00 ~ 21:00|02-2135-9982|
시드누아 중곡센터점|서울 광진구 천호대로127길 44|매일 11:00 ~ 19:00|02-446-8115|
카페레디언트|서울 광진구 능동로38길 41 101호|월~금 08:00 ~ 22:00|02-2201-0204|
엑스케이프|서울 광진구 동일로 112|매일 10:00 ~ 24:00|02-463-9366|
아오스요거트|서울 광진구 능동로 153 1층|월~금 09:00 ~ 21:00|070-8111-9451|
카페호이 자양점|서울 광진구 동일로20길 80 1,2층|매일 10:00 ~ 24:00|02-466-8158|
히어로보드게임카페 건대1호점|서울 광진구 아차산로 221 3층|영업시간 월~목 13:00 ~ 24:00|02-466-1203|
카페 드노보|서울 광진구 아차산로78길 157|매일 11:00 ~ 22:00||
랑데자뷰 건대점|서울 광진구 아차산로31길 3|영업시간 매일 12:00 ~ 21:00|070-7718-3088|
보난자커피 군자점|서울 광진구 능동로 239 B동 1층|매일 09:00 ~ 22:00|070-4110-3113|
키랩보드게임 룸카페 건대본점|서울 광진구 아차산로33길 49 키랩 보드게임 룸카페 건대본점|영업시간 월~금 13:00 ~ 24:00|070-8098-7300|
펠어커피 구의점|서울 광진구 아차산로59길 63 1층||0507-1447-0140|
도쿄빙수 건대점|서울 광진구 아차산로31길 45 1층|기간 2018년 04월 월요일|02-466-2012|
열매제과점|서울 광진구 동일로24길 31 1층|월,화요일|010-5814-3738|
안다미로팬케이크|서울 광진구 아차산로25길 8 2층|영업시간 매일 13:00 ~ 22:00|02-6405-7773|
북카페세모|서울 광진구 아차산로31길 20 2,3층|영업시간 월~금 12:00 ~ 22:00|02-463-0305|
스타벅스 구의DT|서울 광진구 광나루로 519|월,화,수,목,일 07:00 ~ 22:00|1522-3232|
카페온더플랜 건대점|서울 광진구 능동로 161 1,2층|매일 11:00 ~ 24:00|02-462-1020|
꼬메노|서울 광진구 군자로7길 29|영업시간 매일 13:00 ~ 22:30|02-468-5177|
스타벅스 군자역|서울 광진구 천호대로 548|월~목 07:00 ~ 22:00|1522-3232|
해피니스디저트 건대점|서울 광진구 아차산로30길 31 1층|영업시간 매일 12:00 ~ 23:00|010-4295-2600|
커피마켓|서울 광진구 아차산로33길 60|월,화,수,목,토,일 10:00 ~ 03:00|02-463-8009|
밀피|서울 광진구 동일로22길 117-15 1,2층|매일 11:30 ~ 23:00||
라운드브릭|서울 광진구 광장로 67 1층|월~금 11:00 ~ 20:00||
설빙 건대직영점|서울 광진구 아차산로 225 단산화빌딩 2층|월,화,수,목,일 10:00 ~ 22:30|02-499-5385|
스타벅스 어린이대공원역|서울 광진구 능동로 243|월~금 07:00 ~ 21:00|1522-3232|
플라이팬커피|서울 광진구 능동로3길 14|매일 08:00 ~ 23:00||
미어캣족장|서울 광진구 동일로20길 72 3층|영업시간 월~금 13:00 ~ 21:30||
투썸플레이스 건대입구점|서울 광진구 능동로13길 5 1,2층|매일 08:00 ~ 23:00|02-461-2234|
카페오로시|서울 광진구 자양로 131|월~토 08:00 ~ 22:00|02-446-5885|
더메이즈 건대점|서울 광진구 아차산로26길 13 지하1층||02-464-2577|
그랜드워커힐서울 더파빌리온|서울 광진구 워커힐로 177 본관 1층 로비|매일 09:00 ~ 21:00|02-450-4534|
델트|서울 광진구 광나루로54길 83 1층 102호, 델트(DELT)|월~금 07:30 ~ 17:00|0507-1355-4461|
카페러슬|서울 광진구 자양로37길 63 3층|월요일|070-4202-1555|
벨롱에스프레소|서울 광진구 능동로17길 34 1층|영업시간 월~토 12:00 ~ 22:00|02-2201-2266|
스타벅스 건국대점|서울 광진구 능동로 117 1,2층|월~금 08:00 ~ 23:00|1522-3232|
스타벅스 아차산역|서울 광진구 천호대로 676|월~수 07:00 ~ 21:00|1522-3232|
옥루몽 어린이대공원역점|서울 광진구 능동로 183 1층|매일 10:00 ~ 23:00|02-466-9700|
커피홍당무|서울 광진구 긴고랑로31길 5 1층|영업시간 월,화,목,금,토,일 12:00 ~ 21:00||
스타벅스 광나루|서울 광진구 아차산로 607|월~수 07:00 ~ 21:00|1522-3232|
최가회관|서울 광진구 능동로13길 30 지하1층|영업시간 월~금 14:00 ~ 22:00|02-465-7998|
건대커피랩|서울 광진구 동일로22길 102|월~금 08:00 ~ 23:00|02-497-7725|
스타벅스 구의역|서울 광진구 아차산로 373|월~금 07:00 ~ 23:00|1522-3232|
천계월|서울 광진구 자양로42길 20 1층|월요일||
카페원룸|서울 광진구 광나루로52길 88 1층|월~금 08:00 ~ 19:00|02-474-9702|
