맛집명|주소|영업시간|전화번호|대표사진주소
신림춘천집 구로디지털직영점|서울 구로구 디지털로32나길 17-23 우남산업 102호|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|070-8624-1998|
월래순교자관|서울 구로구 디지털로19길 13|영업시간 화~일 11:00 ~ 22:00 · 브레이크타임 화~일 16:00 ~ 16:30|02-855-8488|
강촌숯불닭갈비 본점|서울 구로구 공원로6나길 35-2|영업시간 화~금 16:00 ~ 21:50|02-851-2194|
화양가옥 구로디지털단지점|서울 구로구 디지털로32나길 17-23|영업시간 매일 11:00 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:00|02-838-0877|
평양냉면|서울 구로구 고척로10길 65|영업시간 매일 11:30 ~ 20:30 · 브레이크타임 매일 14:40 ~ 16:00|02-2614-2263|
갓파스시 구로점|서울 구로구 디지털로 288 대륭포스트타워1차 2층 214호|영업시간 월,화,수,목,일 11:00 ~ 21:30|02-864-4377|
컴포 신도림점|서울 구로구 경인로67길 57 상림빌딩 1층 102호|영업시간 화~일 11:30 ~ 22:00|02-2637-3841|
메이비|서울 구로구 디지털로32나길 51|영업시간 매일 09:00 ~ 23:30|02-859-3073|
신도림참족발 신도림점|서울 구로구 경인로 661 신도림1차푸르지오상가 1층 158호|영업시간 월~토 13:00 ~ 23:00|02-3439-7182|
스시메이진 구로점|서울 구로구 디지털로 300 지밸리몰 2층 6호|영업시간 매일 11:30 ~ 22:00|02-6344-3782|
봉고기 신도림본점|서울 구로구 경인로 619-3 푸르지오3차 상가 1층 112,113호|영업시간 매일 11:30 ~ 22:00|02-3667-8426|
최우영스시|서울 구로구 디지털로 288 대륭포스트타운 지하 1층|영업시간 매일 11:30 ~ 21:20 · 브레이크타임 매일 15:00 ~ 17:30|02-2082-3430|
진심갈비|서울 구로구 경서로 11 1층|영업시간 매일 11:00 ~ 22:00|02-2689-9992|
송림가|서울 구로구 경인로 398|영업시간 매일 11:30 ~ 22:00|02-2066-6000|
속초오징어어시장 구로디지털점|서울 구로구 디지털로32나길 26 1층|월~금 16:00 ~ 06:00|02-868-2925|
한판참숯소갈비 구로디지털점|서울 구로구 시흥대로163길 12|매일 15:30 ~ 01:00|02-867-7048|
어다리횟집 구로점|서울 구로구 시흥대로 551|영업시간 매일 11:30 ~ 23:30|02-858-5060|
초가집부뚜막청국장|서울 구로구 구로중앙로28길 24|영업시간 매일 08:30 ~ 22:00|02-863-0600|
