카페명|주소|영업시간|전화번호|대표사진주소
메이비|서울 구로구 디지털로32나길 51|매일 09:00 ~ 23:30|02-859-3073|
에버애프터|서울 구로구 새말로18길 36-10 지층|월요일|070-7543-1098|
브라운핸즈 디지털단지구로점|서울 구로구 디지털로32다길 52 1층|매일 12:00 ~ 22:00|02-852-3137|
히어로스터 신도림점|서울 구로구 경인로63길 21-8 1층|월~금 09:00 ~ 22:00||
빈브라더스 현대백화점디큐브시티점|서울 구로구 경인로 662 별관 3층|매일 11:00 ~ 22:00|02-2210-9351|
카페몽글|서울 구로구 공원로6나길 29-17 1층|월~금 11:30 ~ 22:00|02-854-4620|
하이드아웃|서울 구로구 개봉로20길 30 2층|월~금 10:00 ~ 21:00|010-7135-5970|
데일리스위츠|서울 구로구 중앙로 9 1층|월,화,수요일|02-877-6126|
밀리커피|서울 구로구 새말로 62 1층|월~금 10:30 ~ 23:00||
스타벅스 구로호텔점|서울 구로구 디지털로32길 72 구로호텔 1층|월~금 07:00 ~ 22:00|1522-3232|
투썸플레이스 구로디지털역깔깔거리점|서울 구로구 디지털로32길 97-39 2층|월,화,수,목,일 08:00 ~ 01:00|02-855-7791|
카페큐브|서울 구로구 경인로 662 디큐브시티 15층|매일 09:00 ~ 23:00|02-2211-6603|
스타벅스 신도림점|서울 구로구 경인로 610|월~금 07:30 ~ 21:00|1522-3232|
디저트샵시소|서울 구로구 천왕로 29 상가동 1층 101호|월,화요일|010-8372-8487|
스타벅스 구로고척점|서울 구로구 경인로 387|월~토 08:00 ~ 22:00|1522-3232|
라크라센타|서울 구로구 가마산로 242 희망재단 1층|월~금 08:00 ~ 23:00|02-866-6202|
스타벅스 오류동역점|서울 구로구 경인로 216 1층|월~금 07:00 ~ 22:00|1522-3232|
폴바셋 구로지밸리몰점|서울 구로구 디지털로 300 1층 1호|월~금 08:00 ~ 22:00|02-6344-3788|
메이로드|서울 구로구 오류로 37-2 1,2층|월~토 11:30 ~ 21:00|02-2060-7466|
적소|서울 구로구 개봉로16가길 10-28 1층|월,수,목,금 08:00 ~ 19:00|02-2612-0701|
이미커피로스터스|서울 구로구 디지털로27길 116 1층 101호||070-4240-5228|
스타벅스 구로디지털타워점|서울 구로구 디지털로32길 30|월~금 07:00 ~ 19:00|1522-3232|
띵크커피 디큐브시티점|서울 구로구 경인로 662 디큐브시티 지하1층|매일 07:00 ~ 23:00|02-2210-9074|
설빙 구로지밸리점|서울 구로구 디지털로 300 1층 107호|매일 11:00 ~ 23:00|02-6344-3959|
작업하는 카페에베르|서울 구로구 경인로3길 77 세건빌딩 2층|월~토 10:00 ~ 22:00|02-2625-3467|
투썸플레이스 신도림디큐브시티점|서울 구로구 경인로 662 2층|매일 09:00 ~ 24:00|02-2210-9233|
스타벅스 구로디지털로점|서울 구로구 디지털로33길 11 에이스테크노타워 8차 1층|월~금 07:00 ~ 19:00|1522-3232|
힙스터커피|서울 구로구 경인로33길 15|월~토 10:30 ~ 19:30|010-9811-9855|
스타벅스 구로NC|서울 구로구 구로중앙로 152|매일 08:00 ~ 22:00|1522-3232|
투썸플레이스 개봉역점|서울 구로구 남부순환로97길 20-1 1,2층|월~금 10:00 ~ 23:30|02-2618-8133|
스타벅스 현대디큐브2F|서울 구로구 경인로 662|월~목 11:00 ~ 21:00|1522-3232|
잉크커피|서울 구로구 디지털로30길 28 마리오타워 1층 109호|월~금 08:00 ~ 21:00||
옐로우트리커피 구로디지털단지점|서울 구로구 시흥대로 543||02-858-5234|
스타벅스 구로구청|서울 구로구 가마산로 232|월~금 07:00 ~ 21:00||
스타벅스 구로오류DT점|서울 구로구 서해안로 2233|매일 07:00 ~ 22:00|1522-3232|
투썸플레이스 구로구청사거리점|서울 구로구 가마산로 250 광진빌딩|월~금 07:30 ~ 23:30|02-852-3431|
이름없는가게|서울 구로구 개봉로1나길 52|월요일|02-2613-9488|
알파고보드카페|서울 구로구 공원로6나길 12 2층|영업시간 매일 16:00 ~ 04:00|02-6369-1239|
스타벅스 구로에이스점|서울 구로구 디지털로 285 에이스트윈타워1 103호|월~금 07:00 ~ 19:00|1522-3232|
탐앤탐스 신도림점|서울 구로구 경인로 661 신도림1차 푸르지오1층|매일 08:00 ~ 24:00|02-3439-7887|
놀숲 고척점|서울 구로구 경인로47길 113 2층|월 15:00 ~ 24:00|070-4138-0221|
투썸플레이스 동양미래대점|서울 구로구 경인로47길 34-1 1층|매일 10:00 ~ 23:00|02-2615-7557|
스타벅스 현대디큐브B2|서울 구로구 경인로 662 지하2층|월~목 07:00 ~ 21:00|1522-3232|
그린머그|서울 구로구 새말로18길 24 1층|||
그녀의커피 카페드엘르|서울 구로구 고척로3길 7|월요일|02-6013-7750|
마라나타|서울 구로구 부일로 969|월~토 09:00 ~ 22:00||
이디야커피 고척사거리점|서울 구로구 고척로 228-6||02-2060-7843|
디저트39 구로디지털단지역점|서울 구로구 디지털로32가길 13|매일 08:00 ~ 02:00|02-856-5335|
할리스 구로역점|서울 구로구 새말로 18-29 지하 1층~3층|매일 08:00 ~ 22:00|02-862-3216|
투썸플레이스 신도림아름제일여성병원점|서울 구로구 새말로 94 1층|매일 07:30 ~ 22:00|02-866-7377|
보은하다|서울 구로구 경인로67길 23 신도림2차푸르지오 상가동 101-127호|매일 11:00 ~ 23:00||
할리스 구로디지털역점|서울 구로구 디지털로32나길 38 서림빌딩 1층|매일 08:00 ~ 23:00|02-851-3365|
메가MGC커피 구로디지털단지점|서울 구로구 디지털로31길 41 이앤씨벤처드림타워6차 110호|월~금 07:00 ~ 21:00|010-7440-9797|
커피빈 구로지밸리몰점|서울 구로구 디지털로 300 지밸리비즈플라자 2층|월~금 07:00 ~ 22:00|02-6344-3966|
투썸플레이스 오류역점|서울 구로구 경인로 199-2 2,3층|매일 08:30 ~ 22:00||
설빙 구로고척점|서울 구로구 경서로 81 리케이빌딩 1층|매일 11:00 ~ 22:00|070-4177-0120|
카페동네 궁동점|서울 구로구 오리로 1303 1층|매일 10:00 ~ 22:00|02-2684-2015|
메가MGC커피 신도림역점|서울 구로구 경인로 661 신도림1차푸르지오상가 1층 133호|월~금 07:30 ~ 22:30|02-3439-7808|
문화철도959|서울 구로구 경인로 688 신도림역 2층|월요일|02-830-0744|
코난방탈출 구로디지털단지역점|서울 구로구 디지털로32나길 17-12 3층|매일 12:00 ~ 23:00|02-830-6224|
투썸플레이스 구로디지털점|서울 구로구 디지털로 306 대륭포스트타워 2차 107호|월~금 07:50 ~ 22:00|02-2082-0350|
메가MGC커피 구로깔깔거리점|서울 구로구 시흥대로 557 1층||02-859-5599|
두리하나다울카페|서울 구로구 개봉로23길 10 1층|월~금 09:00 ~ 21:00|02-2681-1399|
파파비|서울 구로구 개봉로17길 18 1층|월,화요일|070-4152-1916|
커피빈 디큐브시티점|서울 구로구 경인로 662 4층|월,화,수,목,일 10:30 ~ 22:00|02-2210-9484|
할리스 구로디지털점|서울 구로구 디지털로31길 12 태펴양물산 1층 105,106호|월~금 07:00 ~ 20:30|070-7576-4842|
투썸플레이스 구로역점|서울 구로구 새말로 19|매일 08:00 ~ 22:00||
RUE407|서울 구로구 공원로8길 37|매일 09:30 ~ 22:00|02-853-3737|
더브라이트하우스커피|서울 구로구 부일로5길 6 초이락빌딩 지하 1층|매일 09:00 ~ 20:00||
메가MGC커피 구로구청점|서울 구로구 가마산로 268 대림역와이즈플레이스 1층 104호||02-868-3990|
레시피타운|서울 구로구 남부순환로97길 12 지하 1층|월,수,목,금,토,일 11:00 ~ 22:00|02-2688-5255|
빽다방 구로로제리움점|서울 구로구 가마산로26길 5 로제리움2차 104호|월~금 08:00 ~ 22:30|02-856-0375|
이디야커피 고척스카이돔점|서울 구로구 경인로 397|매일 08:00 ~ 22:50|02-2060-0223|
공들인|서울 구로구 가마산로 265|월~금 08:30 ~ 21:00|010-2367-0421|
폴바셋 구로G타워점|서울 구로구 디지털로26길 38|월~금 07:30 ~ 21:00|02-6077-3938|
메가MGC커피 신도림태영타운점|서울 구로구 새말로 89 태영빌딩 1층|월~금 08:00 ~ 02:00|02-866-8525|
카페영|서울 구로구 고척로 127 2층|매일 12:00 ~ 22:00|02-2060-9084|
점핑몬스터 신도림점|서울 구로구 경인로59길 8 태영프라자 8층|월~금 14:00 ~ 20:00|02-2677-6310|
메가MGC커피 온수역점|서울 구로구 부일로1길 26-12 지하1층 B05호|월~금 08:00 ~ 22:20|02-2066-0656|
얌얌플레이트|서울 구로구 개봉로12길 9-40|매일 09:00 ~ 20:00|010-8288-8209|
마프라오|서울 구로구 서해안로 2211|매일 10:00 ~ 21:00|070-4102-5701|
투썸플레이스 구로항동점|서울 구로구 서해안로 2096 청솔프라자 1,2층|월~금 08:00 ~ 22:00|02-2625-0010|
다과정|서울 구로구 구로중앙로 212 영삼빌딩 1층 102호|월~금 09:00 ~ 21:40|02-6949-4449|
이디야커피 개봉현대점|서울 구로구 개봉로 69 2층|매일 08:00 ~ 22:00|02-2060-2731|
