맛집명|주소|영업시간|전화번호|대표사진주소
가산물갈비&백년불고기|서울 금천구 가산디지털1로 128 STXV타워 1층 110호|영업시간 매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 16:30|010-9581-8981|
강강술래 시흥점|서울 금천구 시흥대로 193 금천ICT타워 2층|영업시간 매일 11:00 ~ 22:00|02-808-1888|
동흥관|서울 금천구 시흥대로63길 20|영업시간 매일 11:00 ~ 21:30|02-803-3759|
도원|서울 금천구 범안로 1130 디지털엠파이어빌딩 1층 101호|영업시간 월~토 11:00 ~ 20:00 · 브레이크타임 월~토 14:00 ~ 17:30||
개성손만두요리전문점 가산디지털점|서울 금천구 가산로9길 22|영업시간 매일 09:00 ~ 22:00|02-851-8886|
동대문털보네|서울 금천구 디지털로9길 99 스타밸리 1층|영업시간 월~금 16:00 ~ 22:00|02-2649-0449|
순댕이네얼큰수제비|서울 금천구 시흥대로136길 1|영업시간 월~토 10:30 ~ 17:30|02-852-3670|
두껍삼 가산직영점|서울 금천구 벚꽃로38길 43 1, 2층|영업시간 월~금 14:00 ~ 23:00|1670-3592|
북촌삼대갈비 가산본점|서울 금천구 가산로 149 1층|영업시간 매일 11:30 ~ 23:00|02-830-0003|
호세가|서울 금천구 남부순환로108길 19 1층|영업시간 월~금 11:30 ~ 21:50 · 브레이크타임 월~금 14:30 ~ 17:00|070-8959-8826|
문정곱창|서울 금천구 디지털로12길 37 1층|매일 15:00 ~ 02:00|02-6014-7290|
마벨리에 시흥점|서울 금천구 시흥대로 201 홈플러스 7층||1899-9991|
인크커피 가산 플래그십 스토어|서울 금천구 가산디지털2로 127-20 B03호, 101호,103호,201호|영업시간 월~금 08:00 ~ 21:00|02-854-7200|
우마왕|서울 금천구 범안로17길 9 한아마인드아파트 1층||0507-1303-3911|
김사부샤브샤브|서울 금천구 가산로 132||010-5811-0412|
지리산삼계탕|서울 금천구 가산로 88|영업시간 매일 11:00 ~ 22:00|02-869-2009|
춘천옥|서울 금천구 디지털로12길 19|영업시간 매일 11:30 ~ 22:00|02-868-9937|
황제짬뽕양꼬치|서울 금천구 디지털로9길 32 B동 1층 107호|영업시간 매일 11:00 ~ 23:00|02-2106-8530|
동남집 2호점|서울 금천구 가산디지털1로 149 신한이노플렉스 101,102,105호|영업시간 매일 11:00 ~ 22:00|02-830-8834|
니하우|서울 금천구 벚꽃로38길 32-43 1층|영업시간 월~토 14:30 ~ 24:00|02-858-4033|
진영면옥|서울 금천구 가산로 22-5|영업시간 월~토 11:00 ~ 21:00 · 브레이크타임 월~토 14:30 ~ 17:00|02-864-2383|
인생양대창|서울 금천구 시흥대로52길 42 1층|매일 17:00 ~ 01:00|02-895-7778|
은행골 시흥분점|서울 금천구 시흥대로 198 지하1층||02-809-4988|
파티엘하우스|서울 금천구 디지털로 173 엘리시아빌딩 3층|영업시간 월~금 09:30 ~ 19:30|02-865-1141|
우시장3호집|서울 금천구 시흥대로 364 1층||02-808-0756|
스시쥬베이|서울 금천구 가산로 147|영업시간 매일 11:30 ~ 23:00|02-851-2477|
전주식당|서울 금천구 독산로109길 27 1층|영업시간 월~토 12:00 ~ 21:00|02-831-7935|
이화룡불짬뽕|서울 금천구 시흥대로122길 15 1층|영업시간 월~토 11:00 ~ 21:00|02-864-0025|
가산어시장 본점|서울 금천구 벚꽃로 314 1,2층|영업시간 월~토 13:00 ~ 23:00|02-865-3332|
왕게수산|서울 금천구 시흥대로 182|영업시간 월~금 14:00 ~ 23:00|02-3141-8435|
스미다|서울 금천구 벚꽃로 298 대륭포스트6차 b143호|영업시간 월~토 11:30 ~ 23:30|070-4633-2525|
맥도날드 서울시흥DT점|서울 금천구 시흥대로 184|매일 00:00 ~ 24:00|070-7209-0520|
탐나종합어시장 가산점|서울 금천구 가산로 156 1층||02-835-7255|
동남집|서울 금천구 디지털로9길 99 스타밸리 1층 105,106호|영업시간 월~금 11:00 ~ 22:00|02-2027-0010|
아웃백스테이크하우스 가산점|서울 금천구 디지털로10길 9 현대시티아울렛 가산점 7층|영업시간 매일 11:00 ~ 22:00|02-2136-9971|
말뚝곱창 6호점|서울 금천구 벚꽃로 316 씨엔에스타워 1층|영업시간 월~목 15:00 ~ 24:00|02-863-3332|
말뚝곱창 5호점|서울 금천구 벚꽃로38길 21 2층|영업시간 월~금 12:00 ~ 24:00|02-6249-4047|
휴스시|서울 금천구 디지털로9길 46 이앤씨드림타워7차 1층 108호|영업시간 월~금 11:30 ~ 22:00|02-860-5566|
여신족발|서울 금천구 벚꽃로38길 21|영업시간 월~토 16:00 ~ 23:00|02-865-9244|
논빼미돼지볶음|서울 금천구 시흥대로 185|영업시간 매일 10:00 ~ 22:00|02-895-6101|
