카페명|주소|영업시간|전화번호|대표사진주소
인크커피 가산 플래그십 스토어|서울 금천구 가산디지털2로 127-20 B03호, 101호,103호,201호|영업시간 월~금 08:00 ~ 21:00|02-854-7200|
스미다|서울 금천구 벚꽃로 298 대륭포스트6차 b143호|영업시간 월~토 11:30 ~ 23:30|070-4633-2525|
냥카페묘연|서울 금천구 시흥대로 149 2층 201호|영업시간 화~일 11:00 ~ 20:00|070-4048-0948|
스타벅스 금천독산점|서울 금천구 두산로 70 남서울현대지식산업센터 T로비층 108호|영업시간 월~금 07:00 ~ 21:00|1522-3232|
키주파크 독산점|서울 금천구 벚꽃로6길 21 5층,6층|영업시간 매일 10:30 ~ 20:00|02-804-2145|
스타벅스 금천시흥점|서울 금천구 시흥대로 164|영업시간 월~토 08:00 ~ 21:00|1522-3232|
스타벅스 독산사거리점|서울 금천구 시흥대로 426|영업시간 월~금 08:00 ~ 21:00|1522-3232|
카페로드|서울 금천구 범안로 1152 독산빌딩 2층|영업시간 월~금 10:00 ~ 20:00|010-4946-8871|
스타벅스 가산디지털점|서울 금천구 가산디지털1로 168 우림라이온스벨리 B동 1층|영업시간 월~금 07:00 ~ 21:00|1522-3232|
뽀로로파크 롯데빅마켓 금천점|서울 금천구 두산로 71|영업시간 매일 10:00 ~ 20:00|02-855-4173|
스타벅스 금천구청역점|서울 금천구 시흥대로73길 67 엠타워 112~115호|영업시간 월~금 07:00 ~ 21:00|1522-3232|
모나드커피로스터스|서울 금천구 금하로24길 5 1층|영업시간 매일 09:00 ~ 21:00|010-7516-0892|
스타벅스 가산디지털단지역점|서울 금천구 벚꽃로 298|영업시간 월~금 07:00 ~ 21:00|1522-3232|
온초점|서울 금천구 남부순환로124길 17|영업시간 화~일 11:00 ~ 20:00||
퐁퐁플라워 가산센터|서울 금천구 벚꽃로 278 롯데아울렛 3층|영업시간 월~금 11:00 ~ 20:00|02-444-2080|
할리스 가산디지털단지점|서울 금천구 가산디지털1로 186 제이플라츠 1층|영업시간 월~금 07:00 ~ 22:00|02-2028-7111|
502커피로스터스|서울 금천구 가산디지털1로 159-20 흥영물산 1층|영업시간 월~금 09:00 ~ 18:00|070-4128-4289|
카페구움|서울 금천구 시흥대로 315 금천마르쉐도르 2층 212호|영업시간 화~일 09:30 ~ 19:00|010-6805-9281|
투썸플레이스 가산디지털점|서울 금천구 가산디지털1로 186 제이플라츠 1층 106,106-1호|영업시간 월~금 07:00 ~ 23:30|02-866-9308|
스타벅스 독산역점|서울 금천구 가산디지털1로 16|영업시간 월~금 07:00 ~ 21:00|1522-3232|
자작나무카페|서울 금천구 가산로 61 1층|영업시간 월~토 10:00 ~ 22:00|0507-1418-8918|
스타벅스 가산에스케이점|서울 금천구 가산디지털1로 171|영업시간 월~금 07:00 ~ 22:00|1522-3232|
스타벅스 가산그레이트점|서울 금천구 디지털로9길 32 갑을 그레이트 밸리 1층|영업시간 월~금 07:00 ~ 19:00|1522-3232|
투썸플레이스 독산사거리점|서울 금천구 시흥대로 422 금형회관 1층|영업시간 월~금 09:30 ~ 23:00||
투썸플레이스 시흥사거리점|서울 금천구 시흥대로 228 1층|영업시간 매일 09:00 ~ 23:30|02-893-2388|
설빙 시흥사거리점|서울 금천구 시흥대로 229 2층|영업시간 매일 11:00 ~ 23:00|0507-1427-7355|
커피베이 가산직영점|서울 금천구 벚꽃로 254 월드메르디앙벤처센터1차 1층|영업시간 월~금 07:30 ~ 21:00|02-859-1157|
투썸플레이스 금천롯데캐슬골드파크점|서울 금천구 벚꽃로 40 근린상가 113동 101호|영업시간 월~금 09:00 ~ 22:00|02-802-1222|
스타벅스 가산브이타워점|서울 금천구 가산디지털1로 128|영업시간 월~금 07:00 ~ 19:00|1522-3232|
투썸플레이스 가산하이엔드클래식점|서울 금천구 벚꽃로24길 26 1층|영업시간 월~금 08:00 ~ 21:30|02-2085-0155|
투썸플레이스 석수역점|서울 금천구 시흥대로 8 아르스파크 101호|영업시간 매일 08:20 ~ 22:30|02-804-1003|
디저트39 독산사거리점|서울 금천구 시흥대로 421 서울바른세상병원 1층|영업시간 매일 08:00 ~ 21:30|02-858-9488|
빌리엔젤 마리오아울렛점|서울 금천구 벚꽃로 266 마리오아울렛 3관 6층|영업시간 매일 10:30 ~ 21:30|02-2067-3628|
카페자리|서울 금천구 독산로77길 39|영업시간 화~일 12:00 ~ 22:00|02-865-8800|
디저트39 금천시흥점|서울 금천구 독산로 131-1|영업시간 매일 09:30 ~ 23:00|02-892-3839|
힛더스팟 베이커리 에이트|서울 금천구 가산로 145 101호|영업시간 매일 09:00 ~ 22:00||
C27 현대시티아울렛 가산점|서울 금천구 디지털로10길 9 7층|영업시간 월~목 10:30 ~ 21:00|02-2136-9780|
엔제리너스 LAB1004|서울 금천구 독산동 1005 1층|영업시간 매일 07:30 ~ 20:00|02-809-4043|
카페 커들리|서울 금천구 금하로29길 12 1층|영업시간 화~금 08:00 ~ 21:00|070-4333-4989|
티티커피클럽 가산점|서울 금천구 디지털로 204 1층||070-8152-1062|
놀면뭐하개|서울 금천구 남부순환로 1390 4층|화요일||
무드무드|서울 금천구 탑골로4길 58 1, 2층|영업시간 매일 09:00 ~ 22:00|0507-1368-4460|
