카페명|주소|영업시간|전화번호|대표사진주소
도봉관|서울 도봉구 노해로 261 1층|매일 11:00 ~ 21:00|02-991-1231|
와겐커피 방학점|서울 도봉구 도봉로150마길 15|매일 09:00 ~ 01:00|02-2277-3001|
카페작약|서울 도봉구 도봉로118길 10 2층|매일 11:00 ~ 22:00|070-7740-0259|
꿀소담|서울 도봉구 해등로16길 67 1,2층|매일 08:30 ~ 24:00||
카페오븐|서울 도봉구 해등로16길 12 현대아파트상가동 2층 201호|월,일요일|02-3141-0089|
쌍문동커피|서울 도봉구 도봉로116길 5 1층|월~금 10:00 ~ 23:00||
몽상가 크레이프전문점|서울 도봉구 도봉로143길 30 1층|월,화요일|02-0202-0202|
산과산사이커피로드|서울 도봉구 도봉로180가길 96 4층|매일 09:00 ~ 23:00|070-4177-8197|
카페152길|서울 도봉구 도봉로152길 29-3 1층|매일 08:30 ~ 22:00|02-954-1520|
카페그리너리티|서울 도봉구 노해로62길 80 1층|월요일|010-2514-6469|
도봉산커피|서울 도봉구 도봉산4가길 4|매일 08:00 ~ 22:00|010-9945-7145|
카페더로비|서울 도봉구 방학로 171-5|월요일|02-954-1715|
세라젬웰카페 서울쌍문직영점|서울 도봉구 도봉로 571 1층|매일 11:00 ~ 20:00|02-6949-5325|
스타벅스 방학역점|서울 도봉구 도봉로 684 1층|월~금 07:00 ~ 22:00|1522-3232|
스타벅스 쌍문역점|서울 도봉구 도봉로 480|월~토 07:00 ~ 22:00|1522-3232|
로로옴|서울 도봉구 도봉로152가길 152|월~금 11:00 ~ 20:00|02-6091-8800|
매일이기념일|서울 도봉구 우이천로24길 69 1층|월요일|010-9013-7962|
카페7179|서울 도봉구 도봉로110길 97 1층|월,화,목,금 11:00 ~ 21:00|010-9870-9717|
오픈더도어|서울 도봉구 도봉로 489 2층|매일 11:00 ~ 21:30||
온도감|서울 도봉구 도당로 66-1 1층|월~토 12:00 ~ 20:00||
스타벅스 창동이마트점|서울 도봉구 노해로65길 4|매일 10:00 ~ 22:30|1522-3232|
스타벅스 쌍문도봉로점|서울 도봉구 도봉로 444|월~목 07:00 ~ 21:00||
투썸플레이스 창동역점|서울 도봉구 노해로 381 1층|매일 08:00 ~ 23:30|02-994-2388|
키웨스트 연산군묘점|서울 도봉구 방학로17길 85 1,2층|매일 10:30 ~ 22:00||
투썸플레이스 쌍문역점|서울 도봉구 도봉로 461 원형빌딩 1층|월~금 08:00 ~ 22:30|02-998-2377|
만남의광장|서울 도봉구 도봉동 288-20||02-956-4545|
모래스푼|서울 도봉구 시루봉로 2 그린스테이트빌딩 1층|월,수,목,금 11:30 ~ 19:00|02-996-5252|
카페에덴|서울 도봉구 방학로 306|매일 11:00 ~ 22:00|02-3491-3331|
투썸플레이스 쌍문중앙점|서울 도봉구 도봉로 482|월~금 07:00 ~ 23:00|02-991-2377|
디아망 강북본점|서울 도봉구 도봉로 575 삼환프라자 405호|매일 10:00 ~ 21:00|02-997-0210|
투썸플레이스 도봉보건소점|서울 도봉구 도봉로 578|매일 09:00 ~ 22:00||
투썸플레이스 방학역점|서울 도봉구 도봉로 696 2층|월~금 09:00 ~ 23:00|02-954-7799|
이탈리안G|서울 도봉구 도봉로 675||02-955-7214|
키블리 창동점|서울 도봉구 도봉로136가길 73 103동 4층 401호|둘째,넷째 월요일|02-905-2484|
카미노커피로스터스|서울 도봉구 도당로 46 1층|매일 08:10 ~ 22:30||
카페고르|서울 도봉구 도봉로112길 38 1층|매일 12:00 ~ 22:00||
무수울카페|서울 도봉구 도봉로173길 124|매일 09:00 ~ 20:00||
설빙 쌍문점|서울 도봉구 도봉로 460 2층|매일 11:00 ~ 23:00|02-991-0077|
디저트도본|서울 도봉구 우이천로 288-3 1층|월,수,목,금,토,일 10:00 ~ 22:00|070-7543-3557|
만랩커피 창동역점|서울 도봉구 노해로63길 82 1,2층|월~토 09:00 ~ 23:30|02-998-1002|
투썸플레이스 도봉산입구점|서울 도봉구 도봉산4가길 13-11|매일 08:00 ~ 22:00|02-3492-7778|
마이림|서울 도봉구 우이천로34길 13|월~토 12:00 ~ 19:00||
카페푸쿠푸쿠|서울 도봉구 노해로45길 17 1층|월,일요일|0507-1303-5711|
키즈팡팡 쌍문점|서울 도봉구 우이천로32길 38|월~금 11:00 ~ 20:00|02-904-3210|
창포원북카페 비상|서울 도봉구 마들로 916 방문자센터 2층||02-954-5254|
24시 무인카페 만월경|서울 도봉구 해등로 79 1층|매일 00:00 ~ 24:00|010-2083-2087|
쌍문빵곳간|서울 도봉구 방학로5길 33 금강아미움파크타운 1층 101,102호|매일 11:00 ~ 22:00|02-902-8008|
탐앤탐스 창동본점|서울 도봉구 노해로 285|매일 07:00 ~ 22:00|02-543-3242|
메가MGC커피 창동역점|서울 도봉구 마들로11가길 13 1층 105호||02-998-4242|
커피스미스 도봉역점|서울 도봉구 도봉로152가길 176 1,2층|월~금 08:00 ~ 23:00|02-948-6900|
디어리스트|서울 도봉구 도봉로112길 14 1층|영업시간 월,화,수,목,일 13:00 ~ 19:00||
미랭디저트|서울 도봉구 도봉로110길 40 1층|매일 12:00 ~ 21:00||
투썸플레이스 창동이마트점|서울 도봉구 노해로65길 14-3 2층|매일 09:00 ~ 22:30||
이디야커피 도봉산점|서울 도봉구 도봉산길 18 1층|월~금 08:00 ~ 22:00|02-3494-3974|
메가MGC커피 창동신창점|서울 도봉구 우이천로4길 31 1층|매일 08:00 ~ 22:00|02-998-8988|
탐앤탐스 도봉산입구점|서울 도봉구 도봉산4길 4-13 1,2층|매일 08:00 ~ 22:00|02-955-4565|
몽앤츄|서울 도봉구 노해로63길 84-9 107호||010-6589-6331|
마을북카페 행복한이야기|서울 도봉구 마들로11길 77 창동역사내 지상1층||02-954-7145|
메가MGC커피 신창시장점|서울 도봉구 덕릉로 238 1층|||
공차 쌍문역점|서울 도봉구 도봉로 468 홍일빌딩 106호|매일 10:00 ~ 22:30|02-904-5200|
숲속마을카페|서울 도봉구 시루봉로15다길 2|월~토 10:00 ~ 19:00|02-955-1446|
메가MGC커피 쌍문세라믹점|서울 도봉구 도당로 14 다보빌딩 1층||02-999-0787|
메가MGC커피 방학역점|서울 도봉구 도봉로150길 40 101호||02-3492-0181|
스위트가든|서울 도봉구 방학로5길 16|월요일|02-900-1232|
초록카페|서울 도봉구 도봉로181길 38 1층|월요일|070-8633-0630|
메가MGC커피 쌍문역점|서울 도봉구 도봉로 492 1층||02-991-1041|
커피홀 창동점|서울 도봉구 도봉로136가길 69 101호|매일 08:30 ~ 22:00|02-955-0500|
가배미혼|서울 도봉구 도봉로115길 4|월요일||
탐앤탐스 창동점|서울 도봉구 노해로 341 1층|매일 08:00 ~ 24:00|070-4411-4138|
에스트로|서울 도봉구 노해로63가길 31-11 명성빌딩 1층||02-990-0272|
이디야커피 창동역점|서울 도봉구 마들로11길 65 1층 3호|매일 09:00 ~ 22:30|02-900-9307|
메가MGC커피 도봉역점|서울 도봉구 도봉로 817 1층||02-955-4418|
메가MGC커피 신도봉시장점|서울 도봉구 도봉로 727 1층||02-955-5556|
리프패럿 방학동점|서울 도봉구 도당로 80 4층 401호||010-2814-0616|
디어트리|서울 도봉구 삼양로162길 51-7 제이스타빌 1층|월~금 10:30 ~ 20:00||
컴포즈커피 쌍문현대점|서울 도봉구 해등로 218 가동 1층 108호|매일 08:00 ~ 22:00|02-907-4237|
이디야커피 도봉역점|서울 도봉구 도봉로 823 1,2층|월~금 08:00 ~ 23:00|02-955-1307|
숲오|서울 도봉구 우이천로48길 12|매일 12:00 ~ 22:00||
커피지|서울 도봉구 도봉로145길 8 2층|매일 10:00 ~ 02:00|02-3491-6884|
빽다방 창동역점|서울 도봉구 마들로11길 57 EQ빌딩 102호|월~금 08:00 ~ 21:00|02-995-7711|
수이아|서울 도봉구 도봉로114길 49 1층|||
선스랩|서울 도봉구 도봉로114길 35 1층|월요일|0505-1376-9087|
순백|서울 도봉구 노해로 237 1층|월요일|070-4406-1004|
베베라엘|서울 도봉구 해등로 190 신원프라자 315호|월~토 11:00 ~ 18:30|070-8878-5555|
이디야커피 쌍문역점|서울 도봉구 도봉로117길 4|월~금 08:00 ~ 24:00|02-900-9279|
달콤픽|서울 도봉구 방학로5길 44 1층 103호||010-7209-2701|
카페일월생|서울 도봉구 해등로 180 112, 113호|월~금 11:00 ~ 22:00||
빽다방 쌍문역점|서울 도봉구 도봉로 479 1층|월~금 08:00 ~ 22:30|02-902-7971|
파스쿠찌 창동점|서울 도봉구 도봉로 558 2층||02-461-1942|
메가MGC커피 방학도깨비시장점|서울 도봉구 도당로 81 1층||02-3491-9279|
컴포즈커피 방학도깨비시장점|서울 도봉구 도당로13길 23 1층||070-7543-7170|
뻬지아슈|서울 도봉구 도봉로150다길 28 101호|월요일|010-4955-1759|
메가MGC커피 도봉중앙점|서울 도봉구 도봉로181길 30 1층||02-955-4536|
아아수혈|서울 도봉구 노해로63가길 10|매일 10:30 ~ 01:00|010-7228-8991|
메가MGC커피 창동어울림점|서울 도봉구 해등로16길 32 1층|매일 08:00 ~ 22:00|02-997-0182|
메가MGC커피 쌍문점|서울 도봉구 도봉로 457 1층||02-992-0707|
메가MGC커피 이마트에브리데이도봉점|서울 도봉구 도봉로180길 38 1층||02-955-5666|
카페바인 쌍문점|서울 도봉구 도봉로 497 1층||02-2088-0504|
빽다방 방학역점|서울 도봉구 도봉로153길 20 1층|월~금 08:30 ~ 22:00|02-954-8748|
카페알로 창동점|서울 도봉구 노해로62길 36 1층||02-906-5004|
그랩커피|서울 도봉구 도봉로109길 62 1층|월~금 09:30 ~ 20:00|070-8224-7603|
이디야커피 방학역점|서울 도봉구 도봉로153길 15|월~금 08:30 ~ 22:00|02-956-8406|
컴포즈커피 창동동아점|서울 도봉구 노해로 384 1층 1-1호||02-998-8241|
카페유노|서울 도봉구 마들로 657 ESA아파트 상가 1층 118,119호|월~금 08:00 ~ 24:00||
이디야커피 창동대우점|서울 도봉구 덕릉로63가길 30 1층|월~금 08:00 ~ 22:00|02-993-3050|
블랙캥거루|서울 도봉구 우이천로 134-1 1층|월~금 10:00 ~ 20:00|02-999-0703|
빽다방 창동역서부점|서울 도봉구 노해로63다길 10|매일 08:00 ~ 22:00|02-2135-1221|
애니멀고파크 도봉점|서울 도봉구 우이천로 296||02-994-4000|
카페말로 도봉점|서울 도봉구 도봉로152가길 182-1|월~토 09:00 ~ 21:00|02-956-5078|
컴포즈커피 덕성여대점|서울 도봉구 삼양로 538|매일 09:00 ~ 23:00||
카페도영|서울 도봉구 도봉산길 65-5 라동 지하1층,1층|||
빈트리커피 방학점|서울 도봉구 방학로15길 13|월~토 10:00 ~ 22:00||
이디야커피 신창점|서울 도봉구 덕릉로 235|월~금 08:30 ~ 23:30|02-6111-9140|
더벤티 창동점|서울 도봉구 마들로 550 1동 103호|매일 09:00 ~ 22:00|02-903-3675|
우리동네커피집|서울 도봉구 도봉산4길 28-3||02-954-1223|
