카페명|주소|영업시간|전화번호|대표사진주소
베러댄|서울 동대문구 망우로 34 진성빌딩 1층|월~금 08:40 ~ 22:00||
커피나인 본점|서울 동대문구 전농로3길 12 1층|매일 09:00 ~ 22:00|02-6396-9992|
카페몰로|서울 동대문구 회기로 163 1층|매일 11:00 ~ 22:00|02-966-1301|
망우로30|서울 동대문구 망우로 30-1|월요일||
너디블루|서울 동대문구 전농로36길 9 1,2층 1,2호|영업시간 매일 12:00 ~ 23:30|0507-1421-1310|
카페양귀비|서울 동대문구 이문로9길 8 1층|영업시간 매일 12:00 ~ 21:00||
민들레영토 경희대점|서울 동대문구 경희대로1길 34|월요일|02-959-3733|
오앤디|서울 동대문구 망우로12가길 17 1층|월,수,목,금,토,일 11:00 ~ 22:00||
스타벅스 경동1960점|서울 동대문구 고산자로36길 3 경동시장 본관 3,4층|매일 09:00 ~ 20:00||
컴플리트커피|서울 동대문구 천장산로7길 19|월~금 08:00 ~ 23:00|070-8873-0419|
대즐링|서울 동대문구 안암로 132 1층|영업시간 월~금 12:00 ~ 22:00|070-763-9394|
키라쿠|서울 동대문구 약령시로 5-1 아이리스빌딩 1층|월~금 10:30 ~ 22:00||
스타벅스 답십리역점|서울 동대문구 천호대로 263|월~금 07:00 ~ 22:00|1522-3232|
카페림|서울 동대문구 천호대로27길 8-2|월~금 09:00 ~ 22:00|02-968-1497|
스타벅스 장한평역점|서울 동대문구 장한로 10|월~목 07:00 ~ 21:00|1522-3232|
스타벅스 신설동역점|서울 동대문구 왕산로 19|월~금 07:00 ~ 21:00|1522-3232|
한시십일분|서울 동대문구 망우로 66 지하1층|월요일||
스타벅스 회기역사거리점|서울 동대문구 이문로 37 회기 한일 베라체캠퍼스 1층|월~금 07:00 ~ 22:00|1522-3232|
쁘띠몽드 키즈카페|서울 동대문구 한천로 193 3층|매일 10:30 ~ 20:00|02-2215-7005|
카페온|서울 동대문구 왕산로 276-1 1층|매일 11:00 ~ 22:00|070-8682-4958|
더크림|서울 동대문구 장한로28길 18|월~금 09:00 ~ 22:00|070-4065-7313|
이문동커피집 플랫피플|서울 동대문구 이문로25길 39 1층|월~금 11:00 ~ 19:00||
비하인드미|서울 동대문구 회기로 125|영업시간 매일 12:00 ~ 21:00||
8번가|서울 동대문구 경희대로3길 8|매일 10:00 ~ 22:00||
카페 트위그|서울 동대문구 한천로 10 1층|월~토 08:00 ~ 19:00|02-6953-8892|
커피블랑|서울 동대문구 회기로19길 16|매일 11:00 ~ 23:00|010-2717-7316|
너나들이 만화카페|서울 동대문구 회기로13길 19 지하1층|영업시간 매일 12:00 ~ 23:00|0507-1443-0331|
스타벅스 경희대삼거리점|서울 동대문구 회기로 141|월~금 08:00 ~ 21:00|1522-3232|
스타벅스 청량리역사점|서울 동대문구 왕산로 214 6층|매일 08:00 ~ 22:00|1522-3232|
세라젬웰카페 서울답십리직영점|서울 동대문구 사가정로 80 1층 104~107호|매일 11:00 ~ 20:00|02-6952-1825|
그대쉴꽃|서울 동대문구 회기로19길 6 1,2층|영업시간 매일 12:00 ~ 23:00|02-966-0813|
37.5 답십리점|서울 동대문구 답십리로 130 102동 1층 8호|매일 09:30 ~ 20:30 · 브레이크타임 매일 16:00 ~ 17:00|02-2212-3705|
아임파이 외대점|서울 동대문구 휘경로2길 39 1층|영업시간 월~토 12:00 ~ 21:30|070-4274-1182|
투썸플레이스 장안점|서울 동대문구 장한로 73|월~금 07:00 ~ 24:00|02-2212-1780|
멜팅폼|서울 동대문구 천장산로7길 10-3 지하1층|매일 10:00 ~ 02:00|02-960-2544|
온니당|서울 동대문구 답십리로63길 125 1층|월,화요일|010-4450-9715|
고소운|서울 동대문구 휘경로2길 4 지하 1층|영업시간 매일 12:30 ~ 22:00||
디어테이블|서울 동대문구 답십리로72길 68|매일 09:00 ~ 23:00||
카페시사|서울 동대문구 전농로 217 1층|매일 09:00 ~ 24:00||
카페파인|서울 동대문구 안암로22길 15 형준빌딩 1, 2층|매일 11:00 ~ 22:00||
다이스라떼(DCC카페)|서울 동대문구 천호대로83길 93 동우빌딩 2층|월요일|02-960-7159|
스타벅스 경희대점|서울 동대문구 경희대로 16-1|월~토 07:00 ~ 21:00|1522-3232|
빈칸|서울 동대문구 망우로21길 52 1층|매일 09:30 ~ 23:30|02-1577-5886|
스타벅스 외대점|서울 동대문구 휘경로 12-1|월~금 08:00 ~ 20:00|1522-3232|
투썸플레이스 휘경점|서울 동대문구 망우로 86 1~2층|월~금 07:00 ~ 22:00|02-2039-6288|
설빙 서울회기역점|서울 동대문구 회기로 193 2층|월,수,목,금,토,일 11:00 ~ 23:30|02-960-4342|
커피빈 장안점|서울 동대문구 장한로 115 1,2층|월~금 07:30 ~ 22:00|02-2249-9826|
투썸플레이스 답십리점|서울 동대문구 고미술로 81 1층|매일 08:00 ~ 23:30|070-7554-5045|
그릭데이 경희대점|서울 동대문구 회기로23가길 22|매일 11:00 ~ 21:00||
너만보여크루아상|서울 동대문구 망우로21길 63 1층|매일 08:00 ~ 22:00||
스타벅스 외대정문점|서울 동대문구 이문로 93|월~금 08:00 ~ 20:00|1522-3232|
프롬하츠커피 용두점|서울 동대문구 왕산로 71|매일 08:00 ~ 23:00|02-924-2230|
투썸플레이스 경희대점|서울 동대문구 경희대로 7-1|매일 09:00 ~ 01:00|02-966-8526|
카리스|서울 동대문구 제기로 148|월요일|02-598-0554|
RBW라운지|서울 동대문구 장한로20길 7 서희스타힐스 1층|월~금 11:00 ~ 20:00||
투썸플레이스 제기동역점|서울 동대문구 왕산로 91|매일 08:00 ~ 21:30||
베브릿지 한국외대점|서울 동대문구 휘경로 4-10 1층|월~금 08:00 ~ 23:00|070-8252-5661|
카페 헤이피|서울 동대문구 제기로2길 11 2층|월~금 11:00 ~ 22:00|070-8733-3946|
투썸플레이스 장안동사거리점|서울 동대문구 답십리로 273 한양빌딩 1층|매일 08:00 ~ 23:00|02-2212-9027|
바른커피|서울 동대문구 천호대로81길 8 영풍빌딩 1층|월~금 07:30 ~ 20:00|070-7720-1143|
카페베네 청량리역점|서울 동대문구 왕산로 224|매일 08:00 ~ 24:00|02-960-6232|
에이바우트커피 경희대점|서울 동대문구 경희대로3길 28 1층|매일 07:30 ~ 22:00|02-966-2666|
투썸플레이스 용두아트리체점|서울 동대문구 청계천로 505 102호|매일 08:00 ~ 22:00|02-2039-0788|
고롱|서울 동대문구 신이문로 24 1층 102호|매일 11:00 ~ 22:00|02-969-1225|
투썸플레이스 서울시립대점|서울 동대문구 전농로 214 2층|월~금 08:30 ~ 02:00|02-2212-3368|
엔드롱|서울 동대문구 하정로 43 1층|월~금 07:30 ~ 17:00||
카페에이유|서울 동대문구 경희대로1가길 12 가,나동 1층|매일 08:00 ~ 24:00|070-7774-4564|
투썸플레이스 답십리사거리점|서울 동대문구 답십리로 150 1층|매일 09:00 ~ 23:30|070-8880-8526|
설빙 장안점|서울 동대문구 장한로 130 2층|매일 10:00 ~ 24:00|02-2214-7781|
문화상점 이문일공칠|서울 동대문구 이문로 99 한국외국어대학교 교수회관 1층|월~금 09:00 ~ 20:00|02-2173-2212|
일곱평파스타|서울 동대문구 제기로5길 28 1층|월~토 11:00 ~ 20:00 · 브레이크타임 월~토 15:30 ~ 17:00|02-921-9979|
탐앤탐스 장한평역점|서울 동대문구 장한로 20 1층|매일 00:00 ~ 24:00|02-2247-8899|
비반트|서울 동대문구 회기로21길 33|||
아워웨이브|서울 동대문구 서울시립대로 70-1 지하1층, 1층|영업시간 매일 13:00 ~ 19:00|010-4944-9108|
페르비타 with 나따오비까|서울 동대문구 장한로 158 대흥빌딩 1층 102호||02-2213-7057|
더티로우커피|서울 동대문구 청계천로 425 1층|월~금 08:00 ~ 19:00||
빌리엔젤 청량리점|서울 동대문구 왕산로 214 롯데백화점 청량리점 지하 2층|월~목 10:30 ~ 20:00|02-3707-1949|
빽다방 신설동역1호점|서울 동대문구 왕산로 20|매일 07:30 ~ 23:00|02-6104-7979|
커피그라운즈|서울 동대문구 답십리로48길 57|영업시간 월~금 16:00 ~ 21:30|02-478-8470|
카페로니|서울 동대문구 하정로 36|월,화,수,금,토,일 10:00 ~ 22:00|02-982-7100|
미플보드게임|서울 동대문구 회기로 150 지하1층|매일 12:00 ~ 23:30|070-8836-7788|
메가MGC커피 답십리사거리점|서울 동대문구 답십리로 154 1층||02-2212-7858|
장안생활카페|서울 동대문구 천호대로89길 9 1층|매일 10:30 ~ 21:00||
탐앤탐스 시립대로미디어점|서울 동대문구 서울시립대로 58 1층, 2층|매일 07:00 ~ 24:00|070-4616-4652|
리프패럿 전농점|서울 동대문구 사가정로 143 2층|월요일|010-3922-5076|
쿠니네와플|서울 동대문구 답십리로 102 1층|월~토 10:00 ~ 18:00|02-3394-7756|
메가MGC커피 신설동점|서울 동대문구 왕산로 3 1층|월~금 07:00 ~ 22:00|02-929-9294|
모즈플레이스|서울 동대문구 경희대로3길 11 2층|월~금 12:00 ~ 23:00|02-6015-3085|
역시커피|서울 동대문구 회기로 28 1층|월~금 08:00 ~ 19:00|010-8436-8959|
톤톤|서울 동대문구 답십리로63길 11|월요일|010-7749-3343|
이디야커피 용두동사거리점|서울 동대문구 왕산로 68 103호|월~금 07:30 ~ 22:00|02-928-3305|
카페전농주택|서울 동대문구 전농로 158|월~금 08:00 ~ 20:00|010-4915-0503|
치쥬|서울 동대문구 서울시립대로 78-21 1층|월요일|02-2213-7822|
빽다방 청량리역점|서울 동대문구 왕산로 209 1층|월~토 08:00 ~ 20:30|02-3293-0032|
스윗오브유|서울 동대문구 답십리로 292-3|매일 11:00 ~ 22:00||
프롬하츠커피 신설동역점|서울 동대문구 왕산로 25 1층|매일 11:00 ~ 23:00|02-925-6950|
메가MGC커피 답십리초점|서울 동대문구 전농로 35 1층|월~금 08:00 ~ 22:10|02-2217-9297|
커피빈 외대앞점|서울 동대문구 이문로 106 1~3층|월~금 07:00 ~ 22:30|02-959-7750|
메가MGC커피 청량리역점|서울 동대문구 왕산로 225 미주상가 A동 1층|월~금 08:00 ~ 22:00|02-957-8801|
프렌치카페소딜리셔스|서울 동대문구 왕산로 109 2층|매일 09:00 ~ 21:00|02-965-9981|
바나프레소 회기역사거리점|서울 동대문구 회기로 176|월~금 07:00 ~ 23:00||
츄츄볼리|서울 동대문구 왕산로 214 청량리역 5층|매일 10:30 ~ 20:00|02-3707-1545|
멜로우시티|서울 동대문구 서울시립대로12길 6 1층|매일 09:00 ~ 21:00|02-6406-8036|
캐치카페 경희로점|서울 동대문구 경희대로 2 2층|월~금 12:00 ~ 22:00|070-4231-0177|
빙고앤샐러드|서울 동대문구 경희대로4길 73 1층|월,화,수,목,금,일 10:00 ~ 20:00|02-960-1838|
더크림 디저트쇼룸|서울 동대문구 천호대로79길 55 1층|월~금 08:00 ~ 20:00|070-7808-7313|
메가MGC커피 전농동아점|서울 동대문구 서울시립대로 31 동아아파트 102동 1층 120호|월~금 08:00 ~ 22:00|02-2215-6452|
하브|서울 동대문구 서울시립대로 72-2 1충|월요일|0507-1350-3941|
이디야커피 배봉초교사거리점|서울 동대문구 답십리로63길 131|매일 08:00 ~ 23:30|02-2242-1001|
읍천리382 장안점|서울 동대문구 장한로 161|매일 10:00 ~ 22:00|02-6941-1382|
셉|서울 동대문구 서울시립대로 82|월~금 11:00 ~ 23:00|02-3394-5967|
카페JW|서울 동대문구 외대역동로 139|||
메가MGC커피 장안중앙점|서울 동대문구 장한로 58 1층|매일 08:00 ~ 22:00|02-2213-5272|
붐바|서울 동대문구 이문로 88-26 1층|매일 11:00 ~ 23:00||
달콤퐁당 고대점|서울 동대문구 안암로24길 8|월~토 11:00 ~ 20:00|02-919-8268|
이디야커피 답십리역점|서울 동대문구 천호대로 265|월~금 07:30 ~ 23:30|02-6449-2323|
카페물로|서울 동대문구 서울시립대로4길 35 1층|매일 09:30 ~ 20:30||
바르다펫 장안점|서울 동대문구 사가정로25길 41 만정빌딩 1층|매일 10:00 ~ 20:00|070-7799-8956|
매트팩토리|서울 동대문구 무학로 133-2 유일빌딩 1층, 매트팩토리|월~금 12:00 ~ 20:00|010-6369-9805|
파랑|서울 동대문구 전농로34길 3 1층||0507-1387-4774|
메가MGC커피 삼육서울병원점|서울 동대문구 망우로 78 1층|매일 08:00 ~ 23:00|02-2213-2322|
아우프글렛 듀펠센터점|서울 동대문구 한천로26길 48-12 1층|||
가든한공방 장한평점|서울 동대문구 천호대로83길 3 1층 103호|매일 07:30 ~ 21:00|02-2245-4408|
공차 회기역점|서울 동대문구 회기로 188 103호|매일 09:30 ~ 24:00|02-957-5725|
카페바움758|서울 동대문구 회기로 36 1층|매일 10:00 ~ 22:00|02-966-9347|
봉봉키즈|서울 동대문구 장안동 324-1 301호|||
탐앤탐스 용두동아제약점|서울 동대문구 천호대로 63|월~금 07:00 ~ 01:00||
티그라운드|서울 동대문구 사가정로 272 1층|월~금 08:00 ~ 23:00|02-6014-0770|
레이지클라우드|서울 동대문구 휘경로 5-1 7층|영업시간 월,수,목,금,토,일 13:00 ~ 23:00|02-966-9622|
아인스|서울 동대문구 경희대로 5 가동 3층|영업시간 월~금 12:30 ~ 24:00|02-960-4158|
카페티움|서울 동대문구 전농로3길 56|매일 08:00 ~ 23:00|02-443-1563|
메가MGC커피 장안점|서울 동대문구 장한로 116 풍양빌딩 1층|매일 10:00 ~ 22:30|02-2215-0060|
제니스|서울 동대문구 이문로54길 46 이문e편한세상아파트 상가동 1층||02-966-1236|
더빙스커피|서울 동대문구 전농로3길 78-1|매일 09:00 ~ 23:00||
