카페명|주소|영업시간|전화번호|대표사진주소
페니힐스|서울 동작구 동작대로1길 10-14 1,2층|영업시간 매일 12:00 ~ 21:00||
세녹|서울 동작구 사당로 304|매일 00:00 ~ 24:00|02-597-8001|
카페퍼블리코 본점|서울 동작구 상도로 47 헬로우빌딩 1,2층|영업시간 매일 11:00 ~ 21:00|02-815-4000|
머치커피|서울 동작구 동작대로9길 43 1층|영업시간 매일 11:00 ~ 21:00|0507-1320-2726|
뚜스뚜스 흑석역점|서울 동작구 현충로 75 1층|영업시간 매일 07:00 ~ 23:00|02-3664-9000|
디피스트|서울 동작구 동작대로27길 31 2층|영업시간 월,화,수,금,토,일 11:00 ~ 23:00||
터방내|서울 동작구 흑석로 101-7|영업시간 월~토 11:00 ~ 24:00|02-813-4434|
더한강|서울 동작구 노량진로32길 29-6 1,2층|영업시간 매일 09:00 ~ 22:00|070-7795-4144|
파니모들|서울 동작구 동작대로 153 1층|영업시간 월,화,목,금 09:00 ~ 22:30|070-7607-8252|
스타벅스 보라매공원R점|서울 동작구 보라매로5길 35|영업시간 월~금 07:00 ~ 22:00|1522-3232|
스타벅스 노량진역점|서울 동작구 노량진로 134|영업시간 매일 07:00 ~ 22:00|1522-3232|
프레임676|서울 동작구 시흥대로 676 1층|영업시간 월,화,수,목,금,일 11:00 ~ 22:00|070-8807-6046|
미학당|서울 동작구 사당로 56 2층|영업시간 화~토 09:00 ~ 16:00|02-816-0301|
스타벅스 사당역점|서울 동작구 동작대로 21 양지빌딩 1~3층|영업시간 월~목 07:00 ~ 22:00|1522-3232|
펠어커피 상도점|서울 동작구 상도로41가길 12 1층|영업시간 화~토 10:00 ~ 21:00|070-8879-8585|
타요키즈카페 보라매점|서울 동작구 보라매로5가길 16 보라매아카데미타워 6층|영업시간 화~일 11:00 ~ 19:00|02-319-8585|
프랑세즈|서울 동작구 현충로 96|영업시간 월~토 08:00 ~ 22:00|02-825-5265|
도쿄빙수 이수점|서울 동작구 동작대로27길 38 1층|영업시간 매일 12:00 ~ 22:00|02-3482-0503|
오다가다|서울 동작구 동작대로35길 10 1층|영업시간 화~토 12:30 ~ 21:30|070-8876-6424|
프로스퍼|서울 동작구 여의대방로24길 101|영업시간 매일 10:00 ~ 24:00|02-3280-3276|
도어이스케이프 이수역점|서울 동작구 동작대로27가길 14 3층||02-534-9745|
케이크무드|서울 동작구 상도로15길 45 1층|영업시간 화~일 11:00 ~ 21:00|010-3774-3524|
스타벅스 신대방삼거리역점|서울 동작구 상도로 102 성대쇼핑센타 1,2층|영업시간 매일 07:30 ~ 22:00|1522-3232|
카페좋아진다|서울 동작구 사당로26길 87 1층|영업시간 월~토 10:00 ~ 21:00|02-812-0222|
밍구네다방|서울 동작구 노량진로 132 2층|영업시간 월~토 07:00 ~ 22:40|02-812-3935|
더빈마켓|서울 동작구 여의대방로24길 65 1층|영업시간 매일 08:00 ~ 22:30|02-823-0388|
37.5 동작이수점|서울 동작구 동작대로27가길 23 이오빌딩 2층|영업시간 매일 09:50 ~ 20:50 · 브레이크타임1 월,화,수,목,금,일 15:50 ~ 17:00|02-595-3705|
커피나무 랩|서울 동작구 상도로53길 65 커피나무빌딩 1층|영업시간 월~금 07:00 ~ 23:00|02-824-1391|
카페알코브|서울 동작구 대방동1길 12 1층|영업시간 화~일 11:00 ~ 21:00|02-6409-9870|
스타벅스 상도역점|서울 동작구 상도로37길 1|영업시간 매일 07:30 ~ 21:00|1522-3232|
스타벅스 숭실대입구역|서울 동작구 상도로 354|영업시간 월~금 07:30 ~ 22:00|1522-3232|
릿잇커피|서울 동작구 상도로47바길 48 1층|영업시간 매일 11:00 ~ 01:00|070-8866-4344|
