카페명|주소|영업시간|전화번호|대표사진주소
어반플랜트 합정|서울 마포구 독막로4길 3 1~3층|매일 10:00 ~ 22:00|070-4192-0378|
피오니 홍대점|서울 마포구 독막로7길 51 1층|영업시간 매일 12:00 ~ 21:00|02-333-5325|
프릳츠 도화점|서울 마포구 새창로2길 17|월~금 08:00 ~ 22:00|02-3275-2045|
943킹스크로스|서울 마포구 양화로16길 24 지하1층, 1~4층|영업시간 월~목 11:30 ~ 21:30||
카페공명|서울 마포구 연희로 11 한국특허정보원빌딩 1층|매일 10:00 ~ 22:00|070-8869-6304|
오츠커피 마포점|서울 마포구 독막로14길 32 지하 1층|영업시간 월~금 11:00 ~ 20:00|070-7806-5542|
카페 레이어드 연남점|서울 마포구 성미산로 161-4|영업시간 매일 11:00 ~ 23:00||
비파티세리 공덕점|서울 마포구 마포대로14길 4 1층|매일 10:00 ~ 22:00|02-702-1220|
앤트러사이트 합정점|서울 마포구 토정로5길 10|매일 09:00 ~ 22:00|02-336-7850|
포비 합정점|서울 마포구 양화로3길 66 1층|영업시간 월~금 11:00 ~ 21:00|02-566-3861|
앤트러사이트 서교점|서울 마포구 월드컵로12길 11|매일 09:00 ~ 22:00|02-336-7650|
테일러커피 서교점|서울 마포구 와우산로27길 7 2층|영업시간 매일 11:00 ~ 22:00|02-334-0355|
당인리책발전소|서울 마포구 월드컵로14길 10-8 1층|매일 10:00 ~ 22:00||
무신사테라스|서울 마포구 양화로 188 AK&홍대 17층|영업시간 매일 11:00 ~ 21:00|1544-7199|
커피리브레 연남점|서울 마포구 성미산로 200|영업시간 매일 11:00 ~ 20:00|02-334-0615|
톤앤매너|서울 마포구 와우산로29가길 13 1층|영업시간 매일 12:00 ~ 20:00|02-332-8252|
1984|서울 마포구 동교로 194 혜원빌딩 1층|매일 10:00 ~ 24:00|02-325-1984|
땡스오트 연남점|서울 마포구 성미산로23길 68|영업시간 매일 11:00 ~ 20:00|02-3144-0890|
