맛집명|주소|영업시간|전화번호|대표사진주소
어반플랜트 합정|서울 마포구 독막로4길 3 1~3층|매일 10:00 ~ 22:00|070-4192-0378|
피오니 홍대점|서울 마포구 독막로7길 51 1층|영업시간 매일 12:00 ~ 21:00|02-333-5325|
바다회사랑|서울 마포구 동교로27길 60 1층|매일 14:30 ~ 23:00|02-338-0872|
프릳츠 도화점|서울 마포구 새창로2길 17|월~금 08:00 ~ 22:00|02-3275-2045|
소이연남|서울 마포구 동교로 267 1층|영업시간 매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00|02-323-5130|
을밀대 본점|서울 마포구 숭문길 24|매일 11:00 ~ 22:00|02-717-1922|
크레이지카츠|서울 마포구 포은로2나길 44|영업시간 매일 11:30 ~ 20:30 · 브레이크타임 월~금 15:00 ~ 17:00|070-8621-7219|
바다회사랑 2호점|서울 마포구 동교로 143 1,2층|월~토 14:30 ~ 01:00|02-325-6565|
테이스티버거|서울 마포구 독막로 67-11 행운빌딩 1층|월요일|02-336-3034|
어글리베이커리|서울 마포구 월드컵로13길 73|월,화요일|02-338-2018|
황금콩밭|서울 마포구 마포대로16길 9|매일 11:30 ~ 21:30 · 브레이크타임 월~금 15:00 ~ 17:00|02-313-2952|
망원동즉석우동전문돈까스 본점|서울 마포구 동교로 83 1층|월~토 11:00 ~ 22:00|02-336-1330|
역전회관|서울 마포구 토정로37길 47|월요일|02-703-0019|
오레노라멘 합정본점|서울 마포구 독막로6길 14|영업시간 월,화,수,금,토,일 11:00 ~ 21:00||
마포진짜원조최대포 본점|서울 마포구 마포대로 112-4|매일 11:00 ~ 24:00|02-719-9292|
진미식당|서울 마포구 마포대로 186-6|영업시간 월~토 12:00 ~ 20:00 · 브레이크타임 월~토 15:30 ~ 17:00|02-3211-4468|
