카페명|주소|영업시간|전화번호|대표사진주소
앤트러사이트 연희점|서울 서대문구 연희로 135|매일 09:00 ~ 22:00|02-332-7650|
더파이홀|서울 서대문구 연세로5나길 20 1층|영업시간 매일 11:00 ~ 23:00|02-334-1181|
콘하스 연희점|서울 서대문구 연희로27길 99|월~토 10:00 ~ 23:00|02-325-0792|
매뉴팩트커피 연희본점|서울 서대문구 연희로11길 29 2층|월~토 09:00 ~ 18:00|02-6406-8777|
독수리다방|서울 서대문구 연세로 36 독수리빌딩 8층|영업시간 매일 11:00 ~ 24:00|02-363-1222|
스웨이커피스테이션|서울 서대문구 연희로11길 61|영업시간 매일 11:00 ~ 22:00|02-6348-0061|
그릭데이 이대점|서울 서대문구 신촌역로 22-8 1층|영업시간 매일 11:00 ~ 21:00|02-363-9222|
클로리스 신촌점|서울 서대문구 연세로4길 38|영업시간 월~토 11:00 ~ 23:00|02-392-7523|
벙커1|서울 서대문구 충정로 20|영업시간 매일 11:30 ~ 23:00|02-771-7707|
하이드미플리즈|서울 서대문구 통일로39나길 5 1층|영업시간 매일 11:00 ~ 22:00|02-394-2015|
롯지190|서울 서대문구 홍제천로 190 1층|월,화요일||
로덴드론|서울 서대문구 연희로25길 82|영업시간 매일 11:00 ~ 22:00|02-332-2288|
푸어링아웃|서울 서대문구 연희로11나길 7-7|매일 10:00 ~ 22:00||
금옥당 연희점|서울 서대문구 연희로11라길 2 1층|영업시간 매일 11:00 ~ 21:00|02-322-3378|
호밀밭|서울 서대문구 신촌역로 43 1층|월요일|02-392-5345|
미네르바|서울 서대문구 명물길 18 2층|월~토 10:30 ~ 21:30|02-3147-1327|
올레무스|서울 서대문구 연희로5길 58 1층|영업시간 월,금,토,일 12:00 ~ 19:00||
와플잇업 이대2호점|서울 서대문구 이화여대3길 42-19|영업시간 매일 12:00 ~ 22:00|070-4410-2829|
원앤온리커피|서울 서대문구 이화여대7길 31-4 1층|영업시간 월~토 11:00 ~ 21:00||
룸익스케이프 화이트점|서울 서대문구 명물길 66 2층|영업시간 월~금 13:25 ~ 23:00|02-393-5689|
프로토콜|서울 서대문구 연희로 109 2층|매일 10:30 ~ 22:00|010-3927-6159|
스타벅스 연희DT점|서울 서대문구 연희로 144|매일 07:00 ~ 22:00|1522-3232|
티앙팡 오후에 홍차 1호점|서울 서대문구 이화여대길 34 1,2층|영업시간 매일 12:00 ~ 23:00|02-364-4196|
에이투지카페|서울 서대문구 연세로4길 29|영업시간 매일 12:30 ~ 23:00|02-313-7523|
디폴트밸류|서울 서대문구 성산로 333|영업시간 매일 11:00 ~ 20:00|02-2293-3889|
베어스덴|서울 서대문구 연희로4길 10 1,2층|월요일|02-6449-0204|
레드버튼 신촌점|서울 서대문구 연세로 8 3층|영업시간 월~목 13:00 ~ 01:00|02-363-3799|
스타벅스 신촌점|서울 서대문구 연세로 10-1 즐거운빌딩 1~3층|월~수 07:00 ~ 21:00|1522-3232|
투썸플레이스 신촌점|서울 서대문구 신촌로 93 1층|매일 08:00 ~ 24:00|02-3142-5995|
보틀라운지|서울 서대문구 홍연길 26 1층|월요일|02-3144-0703|
스타벅스 이대R점|서울 서대문구 이화여대길 34|월~목 08:00 ~ 19:00|1522-3232|
연희커피|서울 서대문구 연희맛로 17-21|월요일||
스타벅스 홍제역점|서울 서대문구 통일로 451|매일 07:00 ~ 22:00|1522-3232|
스타벅스 가재울뉴타운점|서울 서대문구 가재울미래로 2 2단지 별동상가 1층|매일 07:00 ~ 22:00|1522-3232|
설빙 신촌점|서울 서대문구 연세로 23 2층|매일 10:30 ~ 23:00|070-7716-8970|
롤리홀리|서울 서대문구 통일로39길 43 1층|월,일요일|070-7773-2194|
소설원|서울 서대문구 통일로 419-1 1층|매일 09:30 ~ 22:00|0507-1384-0619|
시간이머무는홍차가게|서울 서대문구 연희로16길 7-15|영업시간 월,화,금,토,일 12:00 ~ 20:00|070-4843-3541|
스타벅스 북가좌DT점|서울 서대문구 응암로 85|매일 07:00 ~ 22:00|1522-3232|
로네펠트 서대문점|서울 서대문구 충정로 71-5 1층|월~금 10:00 ~ 23:00|02-313-1823|
벤치커피스튜디오|서울 서대문구 연세로2마길 14 2층|월,화요일|02-365-5999|
문베어|서울 서대문구 명물길 66 1층|영업시간 매일 11:00 ~ 22:00|02-393-9488|
맥널티커피팩토리|서울 서대문구 연희로 152 맥널티빌딩 1층|매일 07:00 ~ 22:00|02-332-0085|
스타벅스 연희동점|서울 서대문구 연희로 97|월~금 07:00 ~ 22:00|1522-3232|
