카페명|주소|영업시간|전화번호|대표사진주소
노티드 서래|서울 서초구 방배로32길 30-9 르팰리스 1층 101호|기간 2022년 12월 20일 ~ 2023년 3월 31일|02-599-9377|
프릳츠 양재점|서울 서초구 강남대로37길 24-11 서림빌딩 1층|월~금 08:00 ~ 20:30|02-521-4148|
태양커피|서울 서초구 서초대로25길 55 1층|월~금 09:00 ~ 21:00|0507-1426-8181|
공미학|서울 서초구 서초대로48길 101 1층|월~금 08:00 ~ 22:00|02-6462-9000|
캐틀앤비 양재천점|서울 서초구 양재천로 131|매일 09:00 ~ 23:00|02-578-2737|
카페토다|서울 서초구 성촌6길 39|월~금 07:30 ~ 20:00|02-529-5401|
카몽|서울 서초구 서초대로42길 17 1층|월~금 08:30 ~ 22:00|02-522-5949|
마얘|서울 서초구 사평대로22길 14 1층|매일 11:30 ~ 22:00|02-749-1411|
장꼬방|서울 서초구 강남대로61길 27 1층|매일 09:00 ~ 22:00|02-597-5511|
프리퍼커피로스터스|서울 서초구 반포대로5길 4 1층|월~금 08:00 ~ 21:00||
세컨브레스|서울 서초구 양재천로 95-2 태영빌딩 1층|매일 10:00 ~ 23:00|02-575-9840|
쿠오레에스프레소|서울 서초구 강남대로 275 1층 101호|월~금 08:00 ~ 22:00|070-7750-9230|
커피앳웍스 양재역점|서울 서초구 강남대로 241 1,2층|월~금 07:00 ~ 22:00|02-521-3178|
테라로사 예술의전당점|서울 서초구 남부순환로 2406 비타민스테이션 지하1층|매일 08:30 ~ 21:00||
타르타르 강남역점|서울 서초구 강남대로61길 13 1층|매일 11:00 ~ 23:00|010-9497-2922|
심재|서울 서초구 동산로2길 40 리라빌딩 1층 101호|매일 11:00 ~ 22:00|070-8826-9000|
스타벅스 파미에파크R점|서울 서초구 사평대로 205 센트럴시티 파미에파크돔|매일 07:00 ~ 22:00|1522-3232|
노티드 강남 카카오|서울 서초구 강남대로 429 동일빌딩 3층 나호|매일 10:30 ~ 21:00|070-8869-9377|
딥다이브|서울 서초구 방배천로18길 36-5 1층|월,수,목,금 11:00 ~ 21:00|070-7514-2104|
태양커피 사당점|서울 서초구 방배천로 32 송암빌딩 1층|월~금 09:00 ~ 21:00||
카페더나인스퀘어 강남본점|서울 서초구 서초대로77길 5 1~2층||02-516-2657|
카페로비|서울 서초구 반포대로20길 53 1층|월~금 08:30 ~ 20:00|02-525-1564|
티그레블랑코|서울 서초구 주흥길 64-17 스카이빌 101호|매일 12:00 ~ 21:00|02-6498-1469|
쿄베이커리 더인피닛카페|서울 서초구 사평대로58길 6 1층 102,103호|매일 07:30 ~ 22:00|02-536-2838|
37.5 서래마을점|서울 서초구 서래로7길 16 민트빌딩 2층|매일 09:00 ~ 20:00|02-593-3705|
카페페라|서울 서초구 방배천로 11 1층|월~토 08:30 ~ 22:00|02-522-2582|
비엔나커피하우스 이수역점|서울 서초구 동작대로 86 1층|매일 09:00 ~ 22:00|02-522-1683|
레어마카롱 서초점|서울 서초구 반포대로24길 47 1층|월~금 08:00 ~ 18:00|070-8866-6809|
미스터리룸 이스케이프 강남점|서울 서초구 서초대로77길 37 5층 501호|매일 10:00 ~ 24:00|02-536-2564|
헬무트|서울 서초구 방배천로6길 3-10|월~금 11:30 ~ 22:00||
앙떼띠 팝업스토어|서울 서초구 사평대로26길 24 1층|월~금 08:30 ~ 18:30|02-6406-7410|
타짜도르 강남점|서울 서초구 서초대로77길 61 1층|매일 11:00 ~ 22:00|070-8848-9965|
빽다방 빵연구소 신사사거리점|서울 서초구 강남대로 605 휴먼타워 1층 102호|매일 07:30 ~ 21:30|02-517-0410|
폴바셋 강남삼성타운점|서울 서초구 서초대로78길 22 홍우제2빌딩 1층|월~금 07:00 ~ 22:00|02-523-5656|
세컨클락|서울 서초구 청룡마을길 41|월요일|02-594-7606|
비엔나커피하우스 방배점|서울 서초구 방배로 126 석하빌딩|월~금 08:30 ~ 23:00|02-585-1683|
플랫다이닝카페|서울 서초구 서초중앙로22길 22-7 1층|월 10:00 ~ 17:00|02-598-1224|
미스터힐링 교대역점|서울 서초구 서초중앙로 111 지하1층 B01호|매일 10:00 ~ 23:00|02-582-2220|
카페도킹|서울 서초구 동산로19길 54|월~금 09:00 ~ 23:00|070-7757-1207|
카페오쎄|서울 서초구 방배천로4안길 32 1층,2층 및 테라스|매일 10:00 ~ 23:00|02-523-0077|
스타벅스 몬테소리점|서울 서초구 강남대로 399 한국몬테소리 빌딩 1층|월~금 07:00 ~ 22:00|1522-3232|
