맛집명|주소|영업시간|전화번호|대표사진주소
블루보틀 성수 카페|서울 성동구 아차산로 7|영업시간 매일 08:00 ~ 20:00|1533-6906|
소문난성수감자탕|서울 성동구 연무장길 45|매일 00:00 ~ 24:00|02-465-6580|
할아버지공장|서울 성동구 성수이로7가길 9|매일 11:00 ~ 22:00|010-3934-2301|
성수다락|서울 성동구 뚝섬로9길 20 2층|영업시간 매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 16:30|0507-1349-9197|
제스티살룬 성수|서울 성동구 서울숲4길 13 1층|월요일|02-2205-2622|
쎈느|서울 성동구 연무장5길 20|월~토 10:00 ~ 22:00|02-469-2122|
어니언컴퍼니|서울 성동구 아차산로9길 8 1,2층|월~금 08:00 ~ 22:00|02-1644-1941|
할머니의레시피|서울 성동구 서울숲2길 44-12|영업시간 월,수,목,금,토,일 11:30 ~ 21:00 · 브레이크타임 월,수,목,금,토,일 15:00 ~ 17:00|02-467-5101|
왕십리조개창고|서울 성동구 왕십리로 331 경진빌딩 지하1층|월~금 17:00 ~ 23:00|010-4596-0449|
성수족발|서울 성동구 아차산로7길 7 1층|매일 12:00 ~ 22:00|02-464-0425|
대성갈비|서울 성동구 서울숲4길 27|영업시간 월~토 12:00 ~ 21:00 · 브레이크타임 월~토 14:30 ~ 16:30|02-464-3012|
땅코참숯구이 본점|서울 성동구 행당로17길 26 1층|영업시간 매일 14:00 ~ 20:50|02-2281-6908|
인생한우|서울 성동구 마장로31길 43 영지빌딩 2층|매일 11:00 ~ 22:00|02-2292-2888|
성수명당|서울 성동구 연무장19길 10 1층|월요일|070-8833-3227|
호호식당 성수동점|서울 성동구 서울숲4길 25|매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|02-498-2384|
소바식당 성수점|서울 성동구 연무장7가길 6 1층|영업시간 매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00|02-6339-1552|
스시도쿠|서울 성동구 왕십리광장로 6|영업시간 매일 11:30 ~ 21:00 · 브레이크타임 월,화 15:00 ~ 17:00|02-2281-3255|
대림창고|서울 성동구 성수이로 78|영업시간 매일 11:00 ~ 22:00|02-499-9669|
온량|서울 성동구 서울숲4길 26-10 1층|영업시간 매일 12:00 ~ 21:00||
중앙감속기|서울 성동구 성수일로6길 7-1 1층|영업시간 매일 12:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:30|02-466-9628|
밀도 성수본점|서울 성동구 왕십리로 96 1층|영업시간 매일 11:00 ~ 21:30|02-497-5050|
춘향미엔|서울 성동구 왕십리로21길 26|영업시간 매일 11:00 ~ 22:00 · 브레이크타임 월~금 14:50 ~ 16:00|02-2281-9031|
센터커피 서울숲점|서울 성동구 서울숲2길 28-11 1층|월요일|070-8868-2008|
유래회관|서울 성동구 마장로 196|영업시간 매일 11:30 ~ 22:00|02-2293-8866|
르프리크|서울 성동구 연무장5길 9-16 B103호|영업시간 매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:30|02-2054-0119|
어메이징브루잉컴퍼니 성수브루펍|서울 성동구 성수일로4길 4 1층|월~금 17:00 ~ 24:00|02-465-5208|
인더매스 마장|서울 성동구 마장로 270|영업시간 월~금 11:50 ~ 21:50||
굴과찜사랑 본사직영점|서울 성동구 행당로17길 23|매일 16:00 ~ 01:00|02-2296-9922|
옹근달|서울 성동구 성수이로7길 41-1 1, 2층|매일 11:00 ~ 23:00|02-499-5012|
강남면옥|서울 성동구 성수일로 77|영업시간 매일 10:30 ~ 22:00|02-6968-0800|
잠수교집 성수점|서울 성동구 아차산로 137 1층|매일 11:30 ~ 05:00|02-465-0434|
멜로워 성수플래그쉽|서울 성동구 성수이로7길 39|영업시간 월,화,목,금,토,일 11:00 ~ 21:30|02-499-1112|
악어떡볶이|서울 성동구 마조로 33|월요일|02-2281-9988|
오레노카츠 성수본점|서울 성동구 성수일로 47 1층 102호|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|02-499-0323|
타이거풀|서울 성동구 성수이로7가길 7 1동|매일 11:30 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:00|070-7576-0777|
버섯집|서울 성동구 왕십리로5길 9-10 1층|영업시간 매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|02-3409-8887|
비사벌 전주콩나물국밥|서울 성동구 왕십리로6길 1-2|영업시간 매일 07:00 ~ 22:00|02-464-8704|
카페포제|서울 성동구 연무장9길 7 1층|영업시간 매일 11:00 ~ 22:00|070-8830-5994|
우동가조쿠|서울 성동구 왕십리로 215-2|영업시간 매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00||
로우커피스탠드|서울 성동구 왕십리로4길 28-2 1층|영업시간 월~금 08:00 ~ 17:00||
로우키|서울 성동구 연무장3길 6|영업시간 월~목 11:00 ~ 20:00||
고깃집왕고을|서울 성동구 왕십리로24길 10-2 1층|월~토 16:00 ~ 23:00|02-2292-3399|
마장동한우촌|서울 성동구 마장로35길 68 1, 2층||02-2281-9292|
마를리|서울 성동구 연무장길 47 홍원빌딩 1층|매일 09:00 ~ 23:00|02-467-0303|
홍화돈|서울 성동구 왕십리로4길 23-1 1층|매일 12:00 ~ 23:00 · 브레이크타임 월~금 15:00 ~ 17:00|02-464-7988|
왕십리맛나곱창|서울 성동구 고산자로 281-1 1층|매일 12:00 ~ 00:00|02-2282-3349|
무식당|서울 성동구 왕십리로10길 5-9|매일 17:00 ~ 23:00|02-464-8292|
빵의정석|서울 성동구 서울숲2길 45 1층|월,화요일|02-466-9609|
문화식당|서울 성동구 성수일로4길 45 2층|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 16:00 ~ 17:00|02-465-9007|
카멜 성수점|서울 성동구 성덕정19길 6|영업시간 매일 11:00 ~ 20:00||
목포산꽃게아구찜탕|서울 성동구 마장로 331 1층 4호|영업시간 매일 11:30 ~ 21:30|02-2292-1270|
본앤브레드 신관레스토랑|서울 성동구 마장로42길 1|월요일|02-2294-5005|
뺑드에코|서울 성동구 연무장길 44 2층|월,화요일|010-3510-4730|
카린지 성수점|서울 성동구 왕십리로4길 10-3 1층|영업시간 월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:30||
카페&펍 연무장|서울 성동구 연무장길 36 8층|매일 11:00 ~ 24:00||
서울숲누룽지통닭구이|서울 성동구 왕십리로5길 10 1, 2층|월요일|02-462-9920|
갈십리|서울 성동구 마조로 15-11 1,2층|매일 12:00 ~ 22:30|010-8698-3000|
엘더버거|서울 성동구 서울숲2길 40-7 1층|영업시간 월,수,목,금,토,일 11:30 ~ 20:30 · 브레이크타임 월,수,목 15:00 ~ 17:00|02-462-5612|
행운돈까스|서울 성동구 마조로1길 2|영업시간 매일 10:00 ~ 21:30|02-2296-3406|
치카성수|서울 성동구 뚝섬로1가길 14 1층|월,화요일|02-498-3478|
팩피|서울 성동구 왕십리로 136 102호|월,화요일|02-6052-7595|
왕십리정부네곱창 본점|서울 성동구 고산자로 287|월요일|02-2298-0595|
몽련|서울 성동구 왕십리로10길 3|매일 11:00 ~ 22:30 · 브레이크타임 매일 15:00 ~ 17:00|02-6953-8525|
서울숲빙봉|서울 성동구 서울숲2길 18-14 1층|월요일|02-466-8790|
왕십리 육감식당|서울 성동구 무학봉28길 1 1층|매일 12:00 ~ 23:00|02-2291-6092|
도렐 육지3호점|서울 성동구 연무장7길 11 1층|영업시간 월~금 08:00 ~ 21:00|02-516-3675|
체다앤올리|서울 성동구 서울숲2길 32-14 1층|영업시간 월~금 11:00 ~ 21:00|02-468-1003|
우동가조쿠 성수점|서울 성동구 연무장길 9||02-762-2177|
한우마을|서울 성동구 고산자로24길 11 2층|영업시간 매일 10:30 ~ 22:00|02-2291-0292|
성수베이킹스튜디오|서울 성동구 서울숲2길 46 지하1층|월요일|02-468-0789|
