카페명|주소|영업시간|전화번호|대표사진주소
블루보틀 성수 카페|서울 성동구 아차산로 7|매일 08:00 ~ 20:00|1533-6906|
할아버지공장|서울 성동구 성수이로7가길 9|매일 11:00 ~ 22:00|010-3934-2301|
쎈느|서울 성동구 연무장5길 20|월~토 10:00 ~ 22:00|02-469-2122|
어니언컴퍼니|서울 성동구 아차산로9길 8 1,2층|월~금 08:00 ~ 22:00|02-1644-1941|
대림창고|서울 성동구 성수이로 78|매일 11:00 ~ 22:00|02-499-9669|
센터커피 서울숲점|서울 성동구 서울숲2길 28-11 1층|월요일|070-8868-2008|
인더매스 마장|서울 성동구 마장로 270|영업시간 월~금 11:50 ~ 21:50||
옹근달|서울 성동구 성수이로7길 41-1 1, 2층|매일 11:00 ~ 23:00|02-499-5012|
멜로워 성수플래그쉽|서울 성동구 성수이로7길 39|월,화,목,금,토,일 11:00 ~ 21:30|02-499-1112|
카페포제|서울 성동구 연무장9길 7 1층|매일 11:00 ~ 22:00|070-8830-5994|
로우커피스탠드|서울 성동구 왕십리로4길 28-2 1층|월~금 08:00 ~ 17:00||
로우키|서울 성동구 연무장3길 6|월~목 11:00 ~ 20:00||
마를리|서울 성동구 연무장길 47 홍원빌딩 1층|매일 09:00 ~ 23:00|02-467-0303|
카멜 성수점|서울 성동구 성덕정19길 6|매일 11:00 ~ 20:00||
카페&펍 연무장|서울 성동구 연무장길 36 8층|매일 11:00 ~ 24:00||
갈십리|서울 성동구 마조로 15-11 1,2층|영업시간 매일 12:00 ~ 22:30|010-8698-3000|
치카성수|서울 성동구 뚝섬로1가길 14 1층|월,화요일|02-498-3478|
도렐 육지3호점|서울 성동구 연무장7길 11 1층|월~금 08:00 ~ 21:00|02-516-3675|
체다앤올리|서울 성동구 서울숲2길 32-14 1층|월~금 11:00 ~ 21:00|02-468-1003|
아우프글렛 금호점|서울 성동구 독서당로51길 7 1층|영업시간 매일 12:00 ~ 21:00||
우디집|서울 성동구 둘레9길 17 2층|영업시간 매일 12:00 ~ 21:00||
글로우|서울 성동구 아차산로9길 20 1층|월~금 09:00 ~ 22:00||
슈퍼말차 성수|서울 성동구 서울숲6길 19 1층|매일 11:00 ~ 21:00|070-4632-3882|
하루&원데이|서울 성동구 아차산로 92 광명타워 1층 103호|월~금 08:00 ~ 22:30|02-499-9303|
훔볼트|서울 성동구 성수이로 58 P-Tower 지하 1층, 지상 1-2층|월~금 08:00 ~ 22:00||
5TO7|서울 성동구 서울숲2길 44-13|영업시간 매일 12:00 ~ 21:30||
