카페명|주소|영업시간|전화번호|대표사진주소
성북동빵공장|서울 성북구 대사관로 40 B동 1~3층|매일 10:00 ~ 22:00|02-762-3450|
수연산방|서울 성북구 성북로26길 8|월,화요일|02-764-1736|
블랑제메종북악|서울 성북구 성북로 156|매일 10:00 ~ 23:00|02-747-0305|
해로커피|서울 성북구 성북로 19-3 1층|매일 11:00 ~ 22:00|02-6012-9871|
폴드커피|서울 성북구 종암로 214-3 1,2층|월,수,목,금,토,일 12:00 ~ 22:00|02-912-9946|
죠셉의커피나무|서울 성북구 성북로31길 65|매일 11:30 ~ 22:00|02-741-1060|
카페루틴|서울 성북구 보문로34가길 6 1층|매일 11:00 ~ 22:00||
커피명가 안암점|서울 성북구 안암로5길 40 java빌딩 1층|월~금 09:00 ~ 22:00|02-928-0892|
모블러|서울 성북구 동소문로26다길 26|매일 11:00 ~ 21:00||
알렉스더커피 성북점|서울 성북구 성북로28길 9 지하1층,1층|매일 11:00 ~ 21:00|070-4001-7714|
카페그리다|서울 성북구 솔샘로 19|월요일|02-909-4987|
정이정|서울 성북구 종암로 82-15|매일 12:00 ~ 22:00||
째즈스토리|서울 성북구 혜화로 88|영업시간 매일 17:00 ~ 02:00|02-725-6537|
스타벅스 성신여대점|서울 성북구 동소문로24길 12|월~목 07:00 ~ 21:00|1522-3232|
카페비|서울 성북구 보문로30길 71|매일 11:00 ~ 24:00|02-921-7797|
더홈서울|서울 성북구 고려대로1길 87|영업시간 월,수,목,금,토,일 13:00 ~ 22:00||
밀월|서울 성북구 동소문동4가 16|월,일요일||
헬로방방 돌곶이역점|서울 성북구 화랑로 248 장위뉴타워 14층|월~금 12:00 ~ 20:00|02-959-0077|
까쉬|서울 성북구 보문로34길 72-5 1층|매일 12:00 ~ 23:00||
커피매터스|서울 성북구 동소문로10길 19-1|매일 12:00 ~ 21:30|070-8860-8147|
로스디아스|서울 성북구 동소문로22길 67 2층|월,수,목,금,토,일 12:00 ~ 21:00||
네이버후드|서울 성북구 대사관로 133 1,2층|매일 11:00 ~ 23:00||
스타벅스 종암DT점|서울 성북구 종암로 17|월~금 07:00 ~ 22:00|1522-3232|
스타벅스 길음역점|서울 성북구 정릉로 376|매일 07:00 ~ 22:00|1522-3232|
스타벅스 성신여대정문|서울 성북구 보문로34길 62|월~목 07:00 ~ 21:00|1522-3232|
일일커피|서울 성북구 삼양로 27|월 10:30 ~ 20:30|070-8845-3583|
오후홍콩 성신여대점|서울 성북구 동소문로24가길 16|매일 10:00 ~ 22:00|02-6497-6787|
일상|서울 성북구 성북로 106|월요일||
이씨네빵집|서울 성북구 보문로 173-2 1층|매일 08:00 ~ 21:00|02-6081-4152|
비나케이크|서울 성북구 보문로30길 12 101호|월~토 10:00 ~ 20:00|02-953-7070|
카페1976|서울 성북구 도봉로 1|월~토 07:30 ~ 22:00|02-989-8613|
제뉴어리피크닉|서울 성북구 창경궁로43길 26|월,수,목,금,토,일 12:00 ~ 18:00||
스타벅스 안암역점|서울 성북구 고려대로 102-2|월~금 07:00 ~ 21:00|1522-3232|
프로젝트얼스|서울 성북구 성북로15길 21|월,목,금,토,일 11:00 ~ 21:00||
오버스토리|서울 성북구 선잠로2다길 13-13 지하1층|월,일요일||
바스크|서울 성북구 삼양로9길 10-2|월요일|02-941-5168|
