맛집명|주소|영업시간|전화번호|대표사진주소
나폴레옹과자점 성북본점|서울 성북구 성북로 7|영업시간 매일 09:00 ~ 21:00|02-742-7421|
성북동메밀수제비누룽지백숙|서울 성북구 성북로31길 9|월요일|02-764-0707|
성북동빵공장|서울 성북구 대사관로 40 B동 1~3층|영업시간 매일 10:00 ~ 22:00|02-762-3450|
성북동면옥집|서울 성북구 대사관로 40|영업시간 매일 11:00 ~ 22:00|02-765-3450|
팔백집|서울 성북구 보문로30길 46|매일 11:30 ~ 24:00|02-928-0032|
태조감자국|서울 성북구 보문로34길 43 세학빌딩 1층|매일 10:10 ~ 23:00 · 브레이크타임 매일 15:00 ~ 16:30|02-921-7667|
한상차림밥상|서울 성북구 고려대로8길 35|월요일|010-9073-4141|
안동반점|서울 성북구 고려대로1길 35-1|영업시간 월,목,금 11:00 ~ 17:00|02-923-4448|
공푸|서울 성북구 삼선교로24길 29 1층|영업시간 월~토 11:30 ~ 20:00 · 브레이크타임 월~토 14:00 ~ 17:00|070-7566-4683|
갈비명가이상 길음신관|서울 성북구 정릉로 395|영업시간 매일 11:00 ~ 22:00|02-919-8000|
수아당|서울 성북구 동소문로20가길 33 1,2층|영업시간 매일 08:00 ~ 20:00|02-926-0625|
고른햇살|서울 성북구 개운사길 14|매일 06:00 ~ 23:30|02-953-3394|
수연산방|서울 성북구 성북로26길 8|월,화요일|02-764-1736|
쌍다리돼지불백 본점|서울 성북구 성북로23길 4|월요일|02-743-0325|
이공김밥 안암본점|서울 성북구 안암로 61-6|월요일|02-926-0005|
문화식당 성신여대점|서울 성북구 보문로30나길 37 지하 1층|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 16:00 ~ 17:00|02-6381-4644|
한상|서울 성북구 화랑로 248 장위뉴타워 13층|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 16:30|02-962-1472|
금왕돈까스 본점|서울 성북구 성북로 138|월요일|02-763-9366|
장위동유성집 본점|서울 성북구 화랑로 118 2, 3층|매일 11:30 ~ 22:30|02-915-4021|
장수감자탕|서울 성북구 도봉로3길 9-10|매일 11:00 ~ 22:30|02-980-1003|
블랑제메종북악|서울 성북구 성북로 156|매일 10:00 ~ 23:00|02-747-0305|
