맛집명|주소|영업시간|전화번호|대표사진주소
청와옥 본점|서울 송파구 위례성대로 48 반도빌딩 1층 102호|영업시간 매일 08:00 ~ 22:00|02-416-3456|
명인밥상|서울 송파구 송이로 157 지하1층|영업시간 매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00|02-409-3355|
다운타우너 잠실|서울 송파구 백제고분로45길 3 1층|영업시간 매일 11:30 ~ 21:30|070-8868-3696|
갓잇 송리단길점|서울 송파구 백제고분로45길 4-14 트리비유 1층|영업시간 매일 11:00 ~ 21:30 · 브레이크타임 매일 15:00 ~ 16:30|02-487-9451|
라라브레드 송파점|서울 송파구 오금로16길 4|영업시간 매일 10:00 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 16:00|1800-1990|
별미곱창 본점|서울 송파구 오금로11길 14 1층|매일 14:00 ~ 02:00|02-413-3610|
함경도찹쌀순대|서울 송파구 송파대로28길 32|매일 00:00 ~ 24:00|02-403-8822|
몽중헌 방이점|서울 송파구 위례성대로 10 S타워 20, 21층|영업시간 월~금 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 18:00|02-2202-8004|
고도식 잠실점|서울 송파구 백제고분로45길 28|영업시간 매일 12:00 ~ 21:00 · 브레이크타임 월~목 15:00 ~ 16:00||
해주냉면|서울 송파구 백제고분로7길 8-16 1층|영업시간 월~토 11:30 ~ 21:00|02-424-7192|
청와옥 석촌호수직영점|서울 송파구 삼학사로 96|영업시간 매일 08:00 ~ 22:00|02-422-0550|
봉피양 방이점 본관|서울 송파구 양재대로71길 5|영업시간 매일 11:30 ~ 22:00|02-415-5527|
산들해 송파점|서울 송파구 위례성대로 6 현대토픽스 2층|영업시간 매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00|02-448-3457|
진지아|서울 송파구 백제고분로41길 12-9 1,2층|월요일|02-418-5354|
군산오징어 잠실본점|서울 송파구 삼학사로 101 군산오징어빌딩 1,2층|영업시간 매일 11:30 ~ 22:30|02-413-2046|
오향가 가락본점|서울 송파구 송이로 106|영업시간 월~토 11:30 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00|02-401-6999|
육화식당|서울 송파구 올림픽로32길 29 1,2층|월~금 16:00 ~ 00:30|02-424-6882|
오레노라멘 송파점|서울 송파구 백제고분로45길 17-3 1층 102호|영업시간 매일 11:30 ~ 21:00 · 브레이크타임 매일 14:40 ~ 17:00||
일일향 잠실점|서울 송파구 석촌호수로 290 성우빌딩 지하1층,1~2층 B02호|영업시간 매일 11:30 ~ 21:30|02-421-8900|
배키욘방|서울 송파구 올림픽로32길 22-23 평원빌딩 1층 102호|영업시간 매일 11:30 ~ 21:00 · 브레이크타임1 월~금 15:00 ~ 17:00|02-418-7773|
벨라스가든|서울 송파구 백제고분로41길 42-19|매일 10:00 ~ 24:00|02-424-4243|
단디 송리단길본점|서울 송파구 백제고분로45길 7 1층|영업시간 매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00|02-412-5335|
평이담백 뼈칼국수 방이점|서울 송파구 위례성대로18길 31-12|영업시간 매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00|02-417-7488|
잠수교집 3호점|서울 송파구 송파대로49길 51|영업시간 매일 14:00 ~ 23:00|02-419-0434|
툇마루밥상|서울 송파구 송파대로22길 11 1,2층|둘째,넷째 월요일|02-409-6979|
늘푸른목장 잠실본점|서울 송파구 백제고분로9길 34||02-3431-4520|
멘야하나비 서울본점|서울 송파구 백제고분로45길 38 1층 103호|월요일|070-8959-1108|
엘리스리틀이태리|서울 송파구 백제고분로41길 43-21 1층|영업시간 매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30||
삿뽀로 방이점|서울 송파구 오금로11길 7 제이타워빌딩 2층|영업시간 매일 11:30 ~ 22:00|02-418-7797|
이성원쉐프의청년감자탕순대국 방이동 본점|서울 송파구 오금로19길 5 1층|영업시간 매일 10:10 ~ 21:50 · 브레이크타임 매일 15:20 ~ 16:30|02-3431-9252|
홈수끼|서울 송파구 위례성대로 134|영업시간 월~금 11:30 ~ 22:00|02-417-4124|
롯데호텔월드 라세느|서울 송파구 올림픽로 240 롯데호텔월드 2층|영업시간 매일 06:30 ~ 22:00|02-411-7811|
방이샤브샤브칼국수 방이본점|서울 송파구 오금로31길 42|영업시간 월~토 11:00 ~ 22:00|02-423-3450|
할머니 포장마차멸치국수|서울 송파구 오금로11길 59|매일 17:40 ~ 05:30|02-416-6698|
황도바지락칼국수|서울 송파구 백제고분로 358|영업시간 매일 09:30 ~ 22:00|02-417-5058|
크래버대게나라 잠실점|서울 송파구 오금로 165 웰빙빌딩 1층|영업시간 매일 11:30 ~ 23:00|02-412-2338|
골목떡볶이|서울 송파구 문정로1길 33|영업시간 월~금 15:00 ~ 21:00|02-3402-3452|
뷰클런즈|서울 송파구 백제고분로43길 10 1층|영업시간 매일 12:00 ~ 22:00|070-4065-4860|
