카페명|주소|영업시간|전화번호|대표사진주소
라라브레드 송파점|서울 송파구 오금로16길 4|매일 10:00 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 16:00|1800-1990|
뷰클런즈|서울 송파구 백제고분로43길 10 1층|매일 12:00 ~ 22:00|070-4065-4860|
뉴질랜드스토리|서울 송파구 석촌호수로 268 경남레이크파크 1층|월,수,목 10:30 ~ 18:00|070-7523-6265|
프로퍼커피바|서울 송파구 위례성대로22길 6 유진빌딩 1층|월~토 10:00 ~ 22:00|02-3401-0703|
서울리즘|서울 송파구 백제고분로 435 예스빌딩 1,6층|월,화,수,목,일 13:00 ~ 23:00|02-412-0812|
커피바이 로스터스|서울 송파구 백제고분로17길 56 2층|매일 10:00 ~ 21:00|02-415-4153|
서정적살롱|서울 송파구 석촌호수로 274|매일 09:00 ~ 24:00|02-415-7670|
디트로네 잠실점|서울 송파구 석촌호수로 258 아르누보팰리스 1층 105호|월,화,수,목,일 11:00 ~ 24:00|02-422-5021|
젠젠 잠실점|서울 송파구 백제고분로45길 34 동방빌딩 2층|매일 09:30 ~ 22:20|02-412-7240|
앙떼띠 잠실점|서울 송파구 올림픽로 342 아울타워 1,2층|월~금 11:00 ~ 19:30|02-420-7410|
터치183|서울 송파구 위례성대로 126|월,수,목,일 09:00 ~ 21:00|0507-1409-1500|
오린지|서울 송파구 송파대로48길 19 1층|월~토 12:00 ~ 22:00||
카페이클립스|서울 송파구 송파대로49길 52 나인파크A 201호|월요일|010-7147-0401|
위커파크|서울 송파구 석촌호수로 298 잠실대우레이크월드 103-1호|매일 12:00 ~ 22:00|010-2942-0447|
홍팥집 오금점|서울 송파구 성내천로 77 1층|매일 11:00 ~ 22:00|02-430-6577|
얼터너티브|서울 송파구 백제고분로46길 26-1 신화빌딩 1층|월요일|02-425-0120|
노티드 잠실|서울 송파구 백제고분로45길 3 2층 201호|매일 10:00 ~ 21:00|070-8836-9377|
에브리데이몬데이|서울 송파구 송파대로48길 14|월요일|010-4393-0622|
진저베어|서울 송파구 백제고분로41길 43-7 1층|매일 12:00 ~ 21:00||
디어블라썸커피|서울 송파구 올림픽로12길 23 1층|매일 12:00 ~ 22:00|02-6014-4619|
레어마카롱 본점|서울 송파구 오금로 126 1층 113,114호|매일 12:00 ~ 22:00|070-7717-6809|
팻어케이크|서울 송파구 백제고분로45길 9 2층|월요일|02-123-1234|
잉클링|서울 송파구 양재대로60길 3-5 보우빌딩 1층|월,일요일|02-565-5194|
카페온화 송파점|서울 송파구 백제고분로45길 15 2층|매일 12:00 ~ 21:00||
