카페명|주소|영업시간|전화번호|대표사진주소
커피별녹색잔|서울 양천구 목동로21길 26|월요일|02-2696-3337|
카페제하|서울 양천구 목동동로 177 삼성쉐르빌2차 1층|매일 10:00 ~ 21:00||
더브라운 목동점|서울 양천구 오목로 354 목동센트럴푸르지오 101동 101호|매일 08:00 ~ 22:00||
스타벅스 신월ICDT점|서울 양천구 남부순환로 430|월~금 07:00 ~ 23:00|1522-3232|
스타벅스 신정DT점|서울 양천구 신월로 341|매일 07:00 ~ 22:00|1522-3232|
하니앤손스|서울 양천구 신목로2길 68 오목빌딩 1층 107호|월요일|02-2651-8989|
헬로방방 목동점|서울 양천구 신월로 387 유앤미법조빌딩 지하1층|매일 10:00 ~ 20:00|02-2696-8034|
퍼블릭맨션|서울 양천구 등촌로 154 1층|매일 09:00 ~ 22:00|02-2654-6695|
패닉이스케이프 목동지점|서울 양천구 신정중앙로 96 4층|월~금 15:00 ~ 23:00|02-6408-5044|
카페꼬숩|서울 양천구 신목로4길 1|월~토 11:00 ~ 22:00|02-2653-2249|
스타벅스 오목교역점|서울 양천구 오목로 354|월~토 07:00 ~ 21:30|1522-3232|
아모르버터|서울 양천구 오목로48길 20-1 1층|월,일요일|02-2601-9739|
도쿄빙수 오목교역점|서울 양천구 오목로 328 1층|매일 11:00 ~ 23:00|02-2644-6568|
달다랗다|서울 양천구 은행정로6길 22 남부빌딩 1층 102호|월,화요일|010-2062-3201|
스타벅스 목동역점|서울 양천구 목동로 203|월~토 07:30 ~ 21:00|1522-3232|
파티세리소나 2호점|서울 양천구 신목로12길 8 1,2층|월,목,금,토,일 09:00 ~ 19:30|02-6404-4454|
스타벅스 신월동DT|서울 양천구 남부순환로 319|월~토 07:00 ~ 22:00|1522-3232|
카페올리|서울 양천구 오목로4길 15 1층|월요일||
스타벅스 목동8단지점|서울 양천구 목동서로 299|매일 07:00 ~ 21:00|1522-3232|
카페스페이스530|서울 양천구 목동중앙본로 122 1, 2층|월~금 10:00 ~ 24:00||
비엔나커피하우스 목동7단지점|서울 양천구 목동서로 211 1층|매일 07:00 ~ 24:00|02-2655-1683|
스타벅스 목동10단지점|서울 양천구 목동서로 401|매일 07:00 ~ 21:00||
스타벅스 등촌역점|서울 양천구 공항대로 566 1,2층|월~금 07:30 ~ 21:00|1522-3232|
카페히든|서울 양천구 목동동로 222-6 1층|매일 11:30 ~ 22:00|070-8774-1774|
카페화목토|서울 양천구 목동로11길 5|매일 11:00 ~ 22:00|02-6403-1105|
스타벅스 목동오목로점|서울 양천구 오목로 279|매일 07:30 ~ 21:00|1522-3232|
설빙 목동점|서울 양천구 목동동로 258 목동금호아파트 상가 2층|매일 11:00 ~ 23:00|070-8883-0334|
코나빈스|서울 양천구 지양로 72|매일 10:00 ~ 02:00||
커피집 이공|서울 양천구 오목로 204 2층|월~토 10:30 ~ 22:00||
투썸플레이스 목동하이페리온점|서울 양천구 오목로 300 목동하이페리온2차 205동 102호|월~금 07:00 ~ 24:00|02-2652-2388|
테디랩|서울 양천구 신월로36길 11 1층|매일 11:00 ~ 21:00|070-8722-4441|
스타벅스 목동점|서울 양천구 목동서로 67|매일 07:00 ~ 21:00|1522-3232|
카페아리네|서울 양천구 목동동로 222-11 카페 아리네|월~금 11:00 ~ 23:00|02-2648-5735|
이디야커피 오목교대학학원점|서울 양천구 오목로 319|월~금 00:00 ~ 24:00|02-2651-0511|
스타벅스 목동파라곤점|서울 양천구 목동서로 155 1층|매일 07:00 ~ 21:00|1522-3232|
퀸즈브라운 목동역점|서울 양천구 오목로46길 6 1층|매일 08:30 ~ 22:30|02-2604-8222|
라헬의부엌 목동점|서울 양천구 오목로 345 슬로우스퀘어 1층 118,119호|월~목 11:00 ~ 22:30|070-4121-1020|
에프스토리|서울 양천구 목동동로 226-19 1층|월~금 10:00 ~ 23:00||
리모트|서울 양천구 목동중앙본로7길 34 3층|매일 11:00 ~ 21:00|070-8879-0401|
투썸플레이스 신정네거리점|서울 양천구 중앙로 261|매일 08:00 ~ 23:00|02-6952-9797|
커피그레이드|서울 양천구 중앙로51길 71|매일 09:00 ~ 24:00||
투썸플레이스 남부지방법원점|서울 양천구 신월로 385 동진빌딩 1,2층|월~금 07:00 ~ 23:00|02-2607-2377|
스타벅스 목동7단지점|서울 양천구 목동서로 213 세션비전프라자 1층 107호|매일 07:00 ~ 21:00|1522-3232|
마스터그레이드커피|서울 양천구 목동로25길 2|매일 08:00 ~ 01:00||
달달애|서울 양천구 목동로11길 2|월,일요일||
제이블리키즈카페|서울 양천구 신목로 34 현승빌딩 4층|매일 10:00 ~ 20:00|02-2646-8353|
스타벅스 현대목동점|서울 양천구 목동동로 257 현대백화점 목동점 지하 2층|월~금 07:30 ~ 21:00|1522-3232|
러브 바리스타|서울 양천구 목동중앙북로 65 1층|매일 11:00 ~ 22:00|010-9552-6892|
할리스 목동점|서울 양천구 목동서로 159-1 CBS기독교 방송국 1,2층|월~금 07:00 ~ 22:00|02-2062-1063|
커피빈 오목교역사거리점|서울 양천구 오목로 350 목동선텍시티빌딩 1,2층|월~금 07:00 ~ 22:00|02-2653-8577|
투썸플레이스 신정뉴타운점|서울 양천구 신월로 164|매일 08:00 ~ 22:30|02-6952-5322|
프레쉬모먼트카페|서울 양천구 중앙로46길 7 2층|월~토 12:00 ~ 20:00||
신월커피|서울 양천구 남부순환로58길 27-1|월요일||
스타벅스 목동행복한점|서울 양천구 목동동로 309|월~수 07:30 ~ 21:00|1522-3232|
카페멍 목동점|서울 양천구 오목로 337-10 소망빌딩 5층|매일 12:00 ~ 22:00|02-2644-1351|
뉴웨이브 커피|서울 양천구 신목로2길 35-1 1층|월~금 08:30 ~ 19:00|010-3363-5713|
뉴웨이브 커피로스터스|서울 양천구 오목로56길 2 영원빌딩 1층 103호|월~토 10:00 ~ 19:00||
투썸플레이스 양천구청점|서울 양천구 목동서로 349|매일 10:00 ~ 19:00|02-2650-8900|
노유민코페 신월직영점|서울 양천구 지양로 2|매일 11:00 ~ 23:00|02-2696-3969|
빌리엔젤 목동41타워점|서울 양천구 목동동로 293 현대41타워 3-01호|매일 11:00 ~ 22:00|02-2654-6575|
디저트39 목동점|서울 양천구 목동서로 221 굿모닝탑 116, 117호|매일 07:00 ~ 23:00|02-2652-7133|
투썸플레이스 목동메가박스점|서울 양천구 목동동로 309 행복한백화점 6층|월,화,수,목,일 10:00 ~ 22:00|02-6678-3661|
카페동네 목동점|서울 양천구 목동남로4길 13 1층||070-7765-7717|
비엔나커피하우스 목동역점|서울 양천구 신정중앙로 93 1층 101호|월,화,수,목,일 10:00 ~ 23:00|02-2065-1683|
투썸플레이스 염창역점|서울 양천구 공항대로 630 1층|매일 08:00 ~ 23:00|02-2648-8281|
투썸플레이스 양천신목로점|서울 양천구 신목로 50 리더스빌딩 1층|매일 08:00 ~ 22:00|02-2651-2555|
타조메롱|서울 양천구 목동중앙북로24길 12 1층|월,화요일|02-6341-2020|
투썸플레이스 신월IC DI점|서울 양천구 남부순환로 424 1층|월,화,수,목,일 07:00 ~ 23:00|02-2039-2278|
홀리빈 카페|서울 양천구 신정이펜2로 56|매일 10:00 ~ 20:50|070-7733-2839|
스타벅스 목동파리공원점|서울 양천구 목동동로 377|매일 07:00 ~ 21:30|1522-3232|
할리스 신정네거리역점|서울 양천구 중앙로 252 신정화산빌딩 2층|매일 08:00 ~ 24:00|02-2645-9957|
스타벅스 목동5단지점|서울 양천구 목동동로 411 부영그린타운3차 116호|매일 07:00 ~ 21:00|1522-3232|
스타벅스 목동트라팰리스점|서울 양천구 오목로 299|월~토 07:00 ~ 21:30|1522-3232|
놀숲 목동오목교점|서울 양천구 목동동로 258 상가 지하1층 1, 2호|매일 10:30 ~ 23:00|02-2653-9559|
커피하오|서울 양천구 목동중앙로 103-1 지층|매일 10:00 ~ 22:00|02-2061-7472|
마녀의만화소굴 신정네거리역점|서울 양천구 중앙로 262 메디바이오플렉스 지하 1층|월,화,수,목,일 10:00 ~ 02:00|02-2655-1929|
놀숲 신정네거리역점|서울 양천구 중앙로 265 2층|매일 10:00 ~ 02:00|02-2607-9990|
파스쿠찌 목동하이페리온2점|서울 양천구 오목로 300 하이페리온2차 205동 106호|매일 08:00 ~ 23:00|02-2640-1666|
메가MGC커피 목동시장점|서울 양천구 목동중앙남로11길 8 1층||02-2649-5649|
커스텀커피 목동점|서울 양천구 목동서로 57 현대파리지앙 122호|월~금 08:00 ~ 20:00|02-6080-1222|
알리|서울 양천구 중앙로32길 45|||
C27 현대백화점목동점|서울 양천구 목동동로 257 1층|매일 09:00 ~ 24:00|02-2163-3585|
도채가비|서울 양천구 목동중앙북로7가길 55 1층|월,화,수,목,일 10:00 ~ 22:00|02-332-7804|
할리스 목동예술인회관점|서울 양천구 목동서로 225 1층|매일 08:00 ~ 24:00|02-2655-1300|
디저트카페솔|서울 양천구 목동동로 339|월요일|02-6737-7767|
바그다드카페 목동점|서울 양천구 목동동로 53 동문굿모닝탑 1층 상가 130호|매일 10:00 ~ 22:00|02-2643-0102|
수다방|서울 양천구 화곡로 73|||
카페527|서울 양천구 목동중앙본로32길 43 더케슬뷰 102,103호|월요일|02-2648-7860|
공차 오목교역점|서울 양천구 오목로 329 1,2층|매일 10:00 ~ 23:30|02-2645-9600|
파스쿠찌 목동파리공원점|서울 양천구 목동서로 57 현대 파리지앙 1,2층|매일 07:00 ~ 02:00|02-2645-8497|
메가MGC커피 신정네거리역점|서울 양천구 중앙로 265 1층||02-2690-3366|
할리스 목동삼성쉐르빌점|서울 양천구 목동동로 189 삼성쉐르빌1 1층 101~103호|월,화요일|02-2652-2030|
공차 목동역점|서울 양천구 목동로 173|매일 10:00 ~ 23:40|02-2608-8308|
빽다방 목동역점|서울 양천구 오목로 231 1층|매일 08:00 ~ 22:00|02-2606-1883|
로컬커피스탠드|서울 양천구 신목로 45-1 1층|매일 09:00 ~ 22:00|02-2647-6001|
서울창업카페 양천신정점|서울 양천구 신정로7길 75|||
디저트39|서울 양천구 신월로 350 1층|||
목동마카롱|서울 양천구 목동중앙남로3길 43 1층|월,화,목,금 10:00 ~ 18:00|02-2647-1116|
디저트39 신월점|서울 양천구 신월로16길 8|매일 09:00 ~ 22:00|02-2690-3339|
이디야커피 오목교역점|서울 양천구 신목로 102|월~금 07:30 ~ 24:00|02-2645-2401|
공차 신정네거리역점|서울 양천구 중앙로 264 1층|매일 10:00 ~ 23:00|02-2653-5538|
커피인동 등촌역점|서울 양천구 목동중앙북로7가길 61 1층 101호|월~금 08:00 ~ 23:00|02-2061-0399|
메종드기기 신목동역점|서울 양천구 목동중앙로13길 11 1층 101호||02-2062-7708|
메가MGC커피 신정역점|서울 양천구 오목로 146 1층||02-2692-0078|
커피빈 목동점|서울 양천구 목동동로 293 현대41타워 1층 47,48호|매일 07:30 ~ 22:00|02-2654-5981|
두구두구|서울 양천구 목동중앙북로14길 24 1층|월,화,목,금,토,일 08:00 ~ 20:00|010-8947-7760|
빵의시간|서울 양천구 목동중앙북로12길 41 1층|월요일||
빽다방 신정네거리역점|서울 양천구 중앙로 276 1층|월~토 07:40 ~ 21:30|02-2643-0101|
카페640|서울 양천구 남부순환로 640|월~금 08:00 ~ 21:00|070-4837-1883|
카페오아시스|서울 양천구 신목로 53 1층|매일 10:30 ~ 22:00|02-2646-7372|
달콤커피 목동방송회관점|서울 양천구 목동동로 233 한국방송회관 1층|월~토 08:00 ~ 19:00|02-2062-8886|
수커피숍|서울 양천구 신월로 333||02-2604-9003|
탐앤탐스 목동점|서울 양천구 목동동로 293 현대41타워 1층|매일 08:00 ~ 02:00|02-796-4556|
앨리스베이커리카페|서울 양천구 목동서로2길 22|매일 08:00 ~ 22:00||
메가MGC커피 신월경창시장점|서울 양천구 월정로 53 1층||02-2602-0701|
르플로르|서울 양천구 목동동로 177 삼성쉐르빌2 1층 107호|매일 10:00 ~ 21:30|070-7617-5488|
임세츨링39|서울 양천구 신목로6길 36-3 메종드시엘 1층||010-4888-7714|
큐브 목동본점|서울 양천구 목동로25길 16||02-2694-0123|
이디야커피 신정역점|서울 양천구 오목로 155 1층|월~금 08:00 ~ 23:00|02-2602-1928|
티오24시간무인셀프카페 목2점|서울 양천구 목동중앙본로 70|||
챔피언|서울 양천구 목동서로 170 홈플러스 목동점 지하1층||1666-1279|
오늘은 지은다방|서울 양천구 목동로9길 12 1층|||
메가MGC커피 오목교역점|서울 양천구 오목로 315 대영상가 04호||02-2644-8880|
메가MGC커피 양천신월점|서울 양천구 지양로 77 1층 1호|월~토 08:00 ~ 22:30|02-6012-0656|
메가MGC커피 양천구청점|서울 양천구 목동서로 389 테마프라자 1층 104호|매일 09:00 ~ 22:00|02-2642-8087|
1980벽돌집|서울 양천구 신목로5길 4 1,2층|월~금 10:00 ~ 22:00|0507-1417-9115|
커피게이트|서울 양천구 목동중앙로7길 8||02-2646-1965|
메가MGC커피 신정이펜하우스점|서울 양천구 신정이펜1로 50 신정이펜하우스3단지 상가동 1층 115,116호||02-2065-1002|
메가MGC커피 신곡시장점|서울 양천구 신월로 175 1층||02-2607-0201|
비아찌오|서울 양천구 신월로 332|월~금 10:00 ~ 22:00||
아웃오브오피스|서울 양천구 목동로21길 4 2층|월,수,목,금,토,일 10:00 ~ 21:00|010-7595-1224|
이디야커피 신월5동점|서울 양천구 화곡로 50 2층|월~금 08:30 ~ 23:30|02-2605-8249|
메가MGC커피 오목교중앙점|서울 양천구 목동동로12길 45 1층 7호||02-2653-5339|
카페73|서울 양천구 신월로 224-3|월요일|070-4141-0618|
태산커피|서울 양천구 목동중앙본로 55|매일 10:00 ~ 22:00|02-2135-1773|
힐하우스|서울 양천구 목동중앙북로8길 88|||
메가MGC커피 목동파라곤점|서울 양천구 목동서로 155 목동파라곤 1층|매일 07:00 ~ 22:00|02-2644-1588|
카페다온|서울 양천구 중앙로29길 5 1층|월~금 07:00 ~ 22:00|010-7963-1766|
