카페명|주소|영업시간|전화번호|대표사진주소
카페1953위드오드리|서울 영등포구 경인로77가길 12 1층|영업시간 매일 10:00 ~ 22:00|02-2672-0504|
마호가니커피 여의도점|서울 영등포구 여의대로 66 KTB빌딩 1층|영업시간 월~금 07:00 ~ 21:00|02-785-8880|
호텔707|서울 영등포구 도림로139길 2-2|영업시간 월~목 11:00 ~ 01:00|02-2636-8694|
더플레이트디저트 더현대서울점|서울 영등포구 여의대로 108 지하1층|영업시간 월~목 10:30 ~ 20:00|02-3277-0796|
시즌커피앤베이크|서울 영등포구 양산로9길 12-1|영업시간 매일 08:00 ~ 21:00|02-2676-7161|
뚜스뚜스베이커리카페 선유도점|서울 영등포구 양평로 132 더 스테이트 선유 호텔 1층, 2층|영업시간 매일 07:00 ~ 01:00|02-2632-9006|
영등포 카페드람브르|서울 영등포구 경인로 867 호텔GMS 2층|영업시간 매일 10:00 ~ 22:00|02-882-3377|
팜스프링스|서울 영등포구 도신로60길 22-3 2층|영업시간 월~금 08:00 ~ 21:30|02-847-1107|
카페솔트|서울 영등포구 도림로133길 12 1층|영업시간 화~토 12:30 ~ 22:00|0507-1338-1540|
커피리브레 영등포 타임스퀘어점|서울 영등포구 영중로 15 타임스퀘어 1층 112호|영업시간 매일 10:30 ~ 22:00|02-2635-0615|
이스트우드 1호점|서울 영등포구 도신로17길 6 1층|영업시간 매일 08:00 ~ 22:00|070-4459-0103|
라크라센타 문래본점|서울 영등포구 문래로 92-5|영업시간 월~금 08:00 ~ 21:50|02-2676-6202|
피그인더가든 여의도점|서울 영등포구 여의대로 56 한화투자증권빌딩 1층|영업시간 월~금 08:00 ~ 21:00|02-761-4272|
포프트커피|서울 영등포구 경인로114길 10-1 1층|영업시간 매일 10:00 ~ 22:00|010-5162-6688|
피크니크 선유도점|서울 영등포구 양평로22길 2-1 1층|영업시간 월~금 10:00 ~ 22:30|070-4110-6770|
보사노바 커피로스터스 문래점|서울 영등포구 영등포로20길 22-4|영업시간 월~금 08:00 ~ 22:00|02-2633-0038|
선유기지|서울 영등포구 선유로51길 1 1층, 지하1층|영업시간 월~금 11:30 ~ 22:00|070-4797-0082|
카페기글|서울 영등포구 도림로128길 21 1층|영업시간 월~금 12:00 ~ 21:30||
홍설|서울 영등포구 의사당대로1길 25 1층|영업시간 월~금 09:00 ~ 22:00|02-786-1400|
쓰리버즈 IFC점|서울 영등포구 국제금융로 10 THREE IFC 1층|영업시간 월~금 08:00 ~ 22:00|02-6137-3031|
노버든|서울 영등포구 당산로31길 25 2층 201호|영업시간 월~금 10:00 ~ 21:00|0507-1340-4994|
카페설리번|서울 영등포구 당산로 241 1층|영업시간 월~금 09:00 ~ 22:00|02-2068-8825|
맨홀커피|서울 영등포구 당산동5가 43 당산센트럴아파트 상가B동 지하1층|영업시간 화~일 12:00 ~ 22:30|02-6398-9427|
노티드 여의도IFC|서울 영등포구 국제금융로 10 서울 국제금융센터 L2층 234호|영업시간 매일 10:00 ~ 22:00|070-4470-9377|
엘리스커피하우스|서울 영등포구 영중로4길 1|영업시간 매일 10:00 ~ 01:00||
평화|서울 영등포구 도림로131길 13 1층|영업시간 월~금 12:00 ~ 24:00||
10G|서울 영등포구 국제금융로 10 1층|영업시간 매일 07:00 ~ 22:00|02-6137-7788|
문래방구|서울 영등포구 경인로 763|화요일|02-2633-9204|
스타벅스 영등포신길점|서울 영등포구 신길로 137 1,2층|영업시간 월~금 07:00 ~ 22:00|1522-3232|
폰트커피 문래점|서울 영등포구 경인로77가길 6|영업시간 매일 12:00 ~ 21:00|02-2632-8549|
아이엠베이글 여의도점|서울 영등포구 국제금융로 86 지하1층 B125호|영업시간 월~금 08:00 ~ 20:00|070-4233-2881|
아파트먼트|서울 영등포구 경인로77길 12 2층|화,수요일|010-4528-3884|
카페꼼마&얀쿠브레 여의도신영증권점|서울 영등포구 국제금융로8길 16 1층|영업시간 월~금 07:30 ~ 21:30|02-780-1672|
하늘유리|서울 영등포구 영등포로 248|영업시간 매일 12:00 ~ 23:00||
헤비로테이트|서울 영등포구 도신로19길 22|월,화요일||
이스케이프시티|서울 영등포구 영중로8길 6 성남빌딩 구관 401호|영업시간 월~금 14:00 ~ 23:00|070-8286-7355|
카페오가닉 여의도본점|서울 영등포구 은행로 37 기계회관 본관 1층|영업시간 월~금 08:00 ~ 21:00|02-785-4330|
스타벅스 영등포역점|서울 영등포구 경인로 870 1층|영업시간 매일 07:30 ~ 22:00|1522-3232|
메이커스 유니온스퀘어|서울 영등포구 당산로 10||02-512-0383|
스타벅스 영등포본동점|서울 영등포구 영등포로 254 우성타워 1층|영업시간 월~목 07:00 ~ 21:00|1522-3232|
빌리엔젤 당산역점|서울 영등포구 당산로 223 1,2층|영업시간 매일 11:00 ~ 22:30|02-2632-9555|
빌리엔젤 여의도삼성생명점|서울 영등포구 국제금융로2길 24 BNK금융타워 1층||070-4801-0141|
예일타운커피랩|서울 영등포구 국회대로 549 1층|영업시간 월~금 07:30 ~ 22:00|02-2679-5549|
레어그루브|서울 영등포구 영등포로62길 2 명성힐타워 1층|영업시간 매일 09:00 ~ 22:00|070-7788-8633|
루트442|서울 영등포구 도림로 442|영업시간 매일 12:30 ~ 22:30|02-2631-9441|
폴바셋 여의도점|서울 영등포구 여의대로 66 B동 1층|영업시간 월~금 07:00 ~ 22:00|02-3775-0098|
스타벅스 여의도역R점|서울 영등포구 의사당대로 83 한국휴렛팩커드빌딩 1층|영업시간 월~금 07:00 ~ 21:00|1522-3232|
책과삶|서울 영등포구 당산로27길 16|영업시간 월~금 08:00 ~ 21:00|02-6101-2687|
쏭카페|서울 영등포구 선유로47길 21-1|영업시간 매일 12:00 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 18:00|070-8866-4385|
투썸플레이스 여의도점|서울 영등포구 의사당대로 108 아일렉스상가 1,2층|영업시간 매일 07:00 ~ 24:00|02-782-2332|
서울커피 여의도점|서울 영등포구 국제금융로 86 롯데캐슬아이비 1층|영업시간 월~금 07:00 ~ 24:00|02-785-3669|
스타벅스 여의도점|서울 영등포구 국제금융로2길 28|영업시간 월~금 06:30 ~ 21:00|1522-3232|
블루보틀 여의도카페|서울 영등포구 여의대로 108 5층|영업시간 매일 10:30 ~ 21:00|1533-6906|
스타벅스 여의도IFC점|서울 영등포구 국제금융로 10 1층|영업시간 월~금 06:30 ~ 21:00|1522-3232|
헬로밀가루 영등포점|서울 영등포구 경인로 775 에이스하이테크시티 3동 1층 101호|영업시간 화~일 10:00 ~ 19:00 · 점심시간 화~일 13:00 ~ 13:50|02-2678-0070|
곳온니플레이스 올드스트릿점|서울 영등포구 국회대로36길 2|영업시간 매일 11:00 ~ 22:00|02-2636-0724|
스타벅스 당산점|서울 영등포구 양평로 64 1층|영업시간 월~금 07:30 ~ 22:00|1522-3232|
보드게임아지트|서울 영등포구 영중로 31 3층|영업시간 월~금 13:00 ~ 23:00||
베르데커피|서울 영등포구 도림로139가길 5 1층|영업시간 매일 10:00 ~ 23:00||
스타벅스 문래역점|서울 영등포구 당산로 34|영업시간 월~목 07:30 ~ 21:00|1522-3232|
커피라이커스 선유(본점)|서울 영등포구 양평로 89 커피라이커스|영업시간 월~금 08:00 ~ 21:00|010-8520-3646|
앤티크커피|서울 영등포구 국회대로29길 6 1층|영업시간 월~금 07:30 ~ 21:00|0507-1474-3702|
패트릭스와플 2호점|서울 영등포구 의사당대로 108 아일렉스상가 지하1층 06호|영업시간 월~금 11:30 ~ 20:00|02-782-8896|
뽀로로파크 빅마켓영등포점|서울 영등포구 영중로 125 롯데마트 빅마켓 2층|영업시간 매일 11:00 ~ 19:00|02-2068-4173|
