맛집명|주소|영업시간|전화번호|대표사진주소
몽탄|서울 용산구 백범로99길 50|영업시간 매일 12:00 ~ 21:00|02-794-8592|
구복만두|서울 용산구 두텁바위로 7 1층|영업시간 매일 11:00 ~ 20:00|02-797-8656|
맥심플랜트|서울 용산구 이태원로 250|매일 10:00 ~ 22:00|070-4287-8557|
올드페리도넛|서울 용산구 한남대로27길 66 2층|영업시간 매일 11:00 ~ 20:30|02-6015-2022|
로우앤슬로우|서울 용산구 보광로 126 2층|영업시간 매일 12:00 ~ 21:20|02-793-2268|
패션5 한남점|서울 용산구 이태원로 272 1층|매일 07:30 ~ 22:00|02-2071-9515|
한남동한방통닭|서울 용산구 대사관로34길 38|월~토 16:10 ~ 02:00|02-797-8677|
손문 대구막창갈매기살 용산점|서울 용산구 새창로 213-9|매일 15:00 ~ 23:00|02-793-3189|
오근내닭갈비|서울 용산구 이촌로29길 15|매일 11:30 ~ 22:00 · 브레이크타임 매일 15:30 ~ 16:30|02-797-0131|
다운타우너 한남|서울 용산구 대사관로5길 12 1층|영업시간 매일 11:30 ~ 21:30|070-8806-3696|
남영돈|서울 용산구 한강대로80길 17 1층|월~금 16:00 ~ 22:00||
부자피자 1호점|서울 용산구 이태원로55가길 28|매일 11:30 ~ 22:30 · 브레이크타임 월~금 15:30 ~ 17:30|02-794-9474|
바토스 이태원점|서울 용산구 이태원로15길 1 1,2층|월,화,수,목,일 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00|02-797-8226|
파이프그라운드|서울 용산구 한남대로27길 66 지하 1층|영업시간 월~목 11:30 ~ 21:00|02-793-1500|
오스테리아 오르조 한남|서울 용산구 한남대로20길 47 2층|매일 12:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30|02-322-0801|
아이오유|서울 용산구 원효로1길 16|매일 11:30 ~ 23:00 · 브레이크타임 매일 14:30 ~ 17:00|02-3275-1151|
24시뼈다귀감자탕|서울 용산구 대사관로 73 1층|월,수,목,금,토,일 00:00 ~ 24:00|02-790-8309|
효뜨|서울 용산구 한강대로40가길 6 1,2층|월~금 11:30 ~ 22:00 · 브레이크타임 월~금 14:15 ~ 17:30|02-794-0526|
