카페명|주소|영업시간|전화번호|대표사진주소
맥심플랜트|서울 용산구 이태원로 250|영업시간 매일 10:00 ~ 22:00|070-4287-8557|
오츠커피|서울 용산구 원효로89길 13-12|영업시간 월~금 11:00 ~ 20:00||
사유|서울 용산구 이태원로54길 5|영업시간 매일 11:00 ~ 22:00|02-2289-9050|
앤트러사이트 한남점|서울 용산구 이태원로 240 1~3층|영업시간 월~목 09:00 ~ 22:00|02-797-7508|
오아시스 한남점|서울 용산구 이태원로45길 30 1,2층|영업시간 월~토 09:00 ~ 20:00|02-790-8906|
챔프커피 2작업실|서울 용산구 녹사평대로26가길 24 1층|영업시간 매일 09:00 ~ 20:30|02-790-4516|
더로열푸드앤드링크|서울 용산구 신흥로20길 37 1층|영업시간 매일 10:00 ~ 18:00|070-7774-4168|
동빙고|서울 용산구 이촌로 319|영업시간 매일 10:30 ~ 22:00|02-794-7171|
테라로사 한남점|서울 용산구 이태원로36길 15 지하1,2층|영업시간 매일 09:00 ~ 21:00|033-648-2760|
인바이티드|서울 용산구 한강대로52길 41 1층|영업시간 월~금 11:00 ~ 21:00|02-794-3332|
써머레인|서울 용산구 이태원로55가길 49 1층|영업시간 매일 07:30 ~ 18:00|02-792-8114|
트래버틴|서울 용산구 한강대로7길 18-7|영업시간 월~금 12:00 ~ 20:30|070-8862-6003|
카키바움|서울 용산구 한강대로52길 29 1~3층|영업시간 월~토 10:00 ~ 22:00|02-790-6275|
콩카페 이태원점|서울 용산구 녹사평대로 168-8 1,2층|영업시간 매일 11:00 ~ 22:00||
키에리 이태원점|서울 용산구 이태원로26길 16-8 1층|영업시간 매일 13:00 ~ 20:00||
한남베르그|서울 용산구 이태원로54길 58-26 1층|영업시간 매일 12:00 ~ 21:00|02-790-1750|
바마셀|서울 용산구 원효로89길 12|영업시간 월,화,금 10:00 ~ 19:00||
헬카페스피리터스|서울 용산구 이촌로 248 한강맨션 31동 208호|영업시간 매일 11:30 ~ 22:00|070-7612-4687|
때가이르매 숙대점|서울 용산구 두텁바위로 8 4층|영업시간 월~금 12:00 ~ 22:00|070-4320-8495|
팬케익오리지널스토리 한남점|서울 용산구 독서당로 67|영업시간 월~금 08:00 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00|02-794-0508|
도토리|서울 용산구 한강대로52길 25-6 1층|매일 09:00 ~ 23:00|02-797-0225|
버터북|서울 용산구 신흥로15길 20|영업시간 매일 11:00 ~ 20:00||
원인어밀리언|서울 용산구 이태원로54길 31 지하1층|월~토 11:00 ~ 23:00|02-794-2414|
엘카페커피로스터스|서울 용산구 후암로 68 지하1층|월요일|02-2638-0715|
테이프|서울 용산구 이태원로14길 21 2층|영업시간 월~목 12:00 ~ 22:00|010-7317-4201|
북파크라운지|서울 용산구 이태원로 294 블루스퀘어 3층|월요일|070-7770-0539|
몬스터플레이스|서울 용산구 청파로43길 70 지하1층|영업시간 월~금 08:00 ~ 20:30|02-6402-5404|
오잇|서울 용산구 신흥로 95|영업시간 매일 12:00 ~ 22:00|010-8844-1993|
33아파트먼트|서울 용산구 한남대로27길 33 1층|영업시간 매일 09:00 ~ 18:00|02-794-0033|
한남작업실|서울 용산구 이태원로55나길 7 1층|영업시간 매일 11:00 ~ 22:00|02-792-5620|
서울루덴스|서울 용산구 회나무로 69 2층|월~금 12:00 ~ 02:00|02-795-4151|
널담은공간|서울 용산구 신흥로15길 18-12|영업시간 매일 12:00 ~ 20:00|031-436-8037|
무진장|서울 용산구 녹사평대로 168-18|영업시간 매일 12:00 ~ 22:00||
뉴오리진 동부이촌점|서울 용산구 이촌로 208 1,2층|영업시간 매일 09:00 ~ 21:00|02-6272-6527|
헬카페|서울 용산구 보광로 76|영업시간 월~금 08:00 ~ 22:00||
도렐 육지2호점|서울 용산구 한강대로 100 아모레퍼시픽빌딩 지하1층|영업시간 월~금 08:00 ~ 20:00|02-6365-3675|
타자기|서울 용산구 신흥로 97-5 2층|월요일|010-4445-8918|
마일스톤 커피 한남|서울 용산구 한남대로27가길 26 1층|영업시간 매일 10:00 ~ 21:00|070-7807-3046|
코지빌라커피|서울 용산구 이태원로20길 32|월요일|02-794-5657|
팬케이크샵|서울 용산구 녹사평대로40다길 2 3층|월요일||
TRVR|서울 용산구 회나무로44가길 45|영업시간 매일 09:00 ~ 20:30|02-6927-7728|
어프로치커피|서울 용산구 한강대로40길 18-3|영업시간 매일 10:00 ~ 21:00||
스타벅스 용산역써밋R점|서울 용산구 한강대로 69|영업시간 월~토 07:00 ~ 22:00|1522-3232|
삼층로비|서울 용산구 한강대로15길 19-19 3층|영업시간 월~금 12:00 ~ 20:00|070-8865-1919|
골드버튼커피|서울 용산구 한강대로80길 5 1층|영업시간 월~금 08:30 ~ 22:00|02-796-1478|
브랑쿠시|서울 용산구 새창로 104 1층|매일 11:00 ~ 23:00|070-4466-9371|
블루보틀 한남 카페|서울 용산구 한남대로 91 나인원 한남아파트 지하1층|영업시간 월~목 09:00 ~ 20:00|1533-6906|
스타벅스 한강진역R점|서울 용산구 이태원로 252|영업시간 월~금 07:30 ~ 21:00|1522-3232|
골드문커피|서울 용산구 한강대로14길 12 1,2층|영업시간 월~금 08:00 ~ 19:00|010-3112-6118|
오라라|서울 용산구 이태원로54길 32|월,화,수,목,일 12:00 ~ 23:00||
챔프커피 1작업실|서울 용산구 우사단로10길 121 1층|영업시간 월~토 10:00 ~ 19:30|010-5269-4931|
케이투원투|서울 용산구 녹사평대로26길 36|매일 10:00 ~ 23:00|02-749-2954|
폴바셋 한남커피스테이션|서울 용산구 한남대로 48|영업시간 매일 08:00 ~ 22:00|02-792-3231|
커피앳웍스 동부이촌동점|서울 용산구 이촌로 224|영업시간 매일 08:00 ~ 22:00|02-793-8100|
아러바우트 한남|서울 용산구 대사관로8길 15|영업시간 매일 11:00 ~ 21:00|02-711-1351|
도깨비코티지|서울 용산구 소월로2나길 6-1|영업시간 월~토 10:00 ~ 20:00|02-717-0435|
AUZ|서울 용산구 백범로 341 리첸시아 103동 110호|영업시간 매일 09:00 ~ 18:00|02-704-8685|
앤더슨씨 나인원점|서울 용산구 한남대로 91 나인원한남아파트|영업시간 매일 10:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00|02-792-0865|
카페후암동|서울 용산구 후암로 33 1층|매일 09:00 ~ 23:00|010-2251-8232|
아분드|서울 용산구 한남대로20길 47-18|영업시간 매일 10:00 ~ 22:00|02-793-3225|
낙하산커피|서울 용산구 한강대로46길 25 101호|영업시간 매일 11:00 ~ 19:00|010-5862-5505|
카페틸데|서울 용산구 청파로43가길 23 1층|월요일|0507-1340-0857|
카페무니|서울 용산구 신흥로20길 37|매일 11:00 ~ 22:30|02-565-1592|
컴컴 베이커리카페|서울 용산구 한강대로44길 14 커뮤니크빌딩 1층|영업시간 월~금 08:30 ~ 22:00|02-788-7365|
