맛집명|주소|영업시간|전화번호|대표사진주소
1인1잔|서울 은평구 연서로 534 1,2층|월요일|02-355-1111|
백년가게 만포면옥 본점|서울 은평구 연서로 171 1, 2층|영업시간 매일 11:00 ~ 21:00|02-389-3917|
벙구갈비|서울 은평구 응암로 269 1층|매일 11:00 ~ 23:00|02-352-5092|
원조두꺼비집불오징어|서울 은평구 연서로28길 5 1,2층|매일 12:00 ~ 23:00|02-355-3130|
충무칼국수|서울 은평구 은평로 193 2층|매일 10:30 ~ 22:00|02-3142-3198|
옥탑방|서울 은평구 서오릉로 115 1층|매일 12:00 ~ 22:00|0507-1331-6400|
가이오국수 본점|서울 은평구 연서로 132 1층|영업시간 월~토 11:30 ~ 21:00|02-388-0621|
구석집|서울 은평구 통일로83길 17-5 1층|매일 16:30 ~ 01:00|02-353-5157|
홍제동30년 우동국수|서울 은평구 서오릉로 242|매일 18:00 ~ 02:00|02-388-5929|
중화원|서울 은평구 통일로66길 10-16|월요일|02-353-3379|
갈현동할머니떡볶이|서울 은평구 통일로87길 8-1|월요일|02-354-8399|
제주도그릴 특상 은평본점|서울 은평구 응암로 373 역촌빌딩 1층|월~토 16:00 ~ 23:00|02-3157-2571|
스시쇼부 1호점|서울 은평구 은평로13길 11-9 1,2층|매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 18:00|02-385-0045|
카페뤽상부르|서울 은평구 연서로25길 6-11 1, 2층|매일 11:00 ~ 23:00|02-385-2846|
골목집갈비살|서울 은평구 연서로27길 12-9 1층|월,화요일|02-6398-4586|
풍천장어 응암점|서울 은평구 응암로 340-1 대진빌딩 1층|매일 10:30 ~ 22:00|02-351-9989|
근린커피|서울 은평구 응암로21길 23|매일 11:00 ~ 22:00|070-7715-5300|
원조은평감자국|서울 은평구 응암로 287|월,수,목,금,토,일 10:00 ~ 24:00|02-389-4458|
서부감자국|서울 은평구 서오릉로 8|매일 00:00 ~ 24:00|02-356-4555|
휴식|서울 은평구 연서로26길 14 2층|월,수,목,금,토,일 11:00 ~ 22:00 · 브레이크타임 월,수,목,금,토,일 16:00 ~ 17:00|02-386-0437|
차이몬스터|서울 은평구 불광천길 334 1층|월~토 11:30 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00|02-305-7843|
마마수제만두|서울 은평구 증산로 397 에벤에셀빌딩 1층|매일 11:00 ~ 22:00|02-375-1688|
