카페명|주소|영업시간|전화번호|대표사진주소
1인1잔|서울 은평구 연서로 534 1,2층|월요일|02-355-1111|
카페뤽상부르|서울 은평구 연서로25길 6-11 1, 2층|영업시간 매일 11:00 ~ 23:00|02-385-2846|
근린커피|서울 은평구 응암로21길 23|영업시간 매일 11:00 ~ 22:00|070-7715-5300|
롱브레드 은평한옥마을점|서울 은평구 연서로 530 1, 2층|매일 10:00 ~ 20:00|02-352-7290|
YM커피프로젝트|서울 은평구 연서로29길 21-8 1층|영업시간 월,수,목,금,토,일 11:30 ~ 23:00|070-7767-0829|
플로|서울 은평구 서오릉로 20-1 1층|영업시간 월,화,목,금,토,일 11:00 ~ 22:00|02-355-4862|
휴가|서울 은평구 진관2로 19 휴먼프라자 3층|매일 10:00 ~ 22:00|02-352-7400|
823m|서울 은평구 연서로29길 21-9 1층|영업시간 매일 12:00 ~ 24:00|02-2088-1823|
213점|서울 은평구 응암로21가길 27 1층|월,수,목,금 09:00 ~ 20:00|02-356-7312|
북한산큰숲제빵소|서울 은평구 북한산로 271-3|월~토 10:00 ~ 22:00|02-2267-9001|
온도차|서울 은평구 녹번로 74 1층|영업시간 매일 11:00 ~ 21:00|070-8861-6622|
스타벅스 은평구청입구점|서울 은평구 은평로 170 상현빌딩 1층|매일 07:00 ~ 22:00|1522-3232|
플럽커피|서울 은평구 연서로29길 7-11 3층|영업시간 매일 12:00 ~ 22:00||
선과점|서울 은평구 갈현로7가길 11 1층|||
카페볼가심|서울 은평구 진관길 10|매일 10:00 ~ 21:00||
도토리카페|서울 은평구 대서문길 15-5 1, 2층|매일 10:00 ~ 19:00|02-385-4949|
알키미스타|서울 은평구 응암로9길 24 1층|매일 10:00 ~ 00:00|02-6104-5803|
카페미제|서울 은평구 연서로 19 1, 2층|매일 08:00 ~ 23:00||
스타벅스 불광역점|서울 은평구 통일로 715 1층|매일 07:00 ~ 22:00|1522-3232|
카페아사|서울 은평구 불광천길 338 2층|영업시간 월~토 12:00 ~ 23:00|070-4950-2577|
해례커피|서울 은평구 통일로83길 19|영업시간 월~금 11:30 ~ 23:00||
힐링앤툰|서울 은평구 진흥로 144 동호스카이 지하 102호|영업시간 매일 11:00 ~ 22:50|0507-1415-9852|
스타벅스 구파발역점|서울 은평구 진관2로 12 메이플카운티 2차 113~116호|매일 07:00 ~ 22:00|1522-3232|
볼베어파크 은평점|서울 은평구 통일로 1050 롯데몰 은평점 3층|영업시간 매일 11:00 ~ 20:00|02-6975-5363|
스타벅스 진관DT점|서울 은평구 연서로 645|매일 07:00 ~ 22:00||
투썸플레이스 은평구청점|서울 은평구 은평로 194 1, 2층 103, 205호|매일 08:00 ~ 22:30|02-352-1433|
명금탕|서울 은평구 진관길 5 1층|영업시간 매일 11:00 ~ 21:00|02-739-0394|
스타벅스 연신내역사거리점|서울 은평구 통일로 842|매일 07:00 ~ 22:00|1522-3232|
탐나도다|서울 은평구 통일로83길 5-14|영업시간 매일 11:00 ~ 23:00|02-384-9292|
커피생각|서울 은평구 불광천길 420 1층|월,화,목,금,토,일 10:00 ~ 21:30|02-302-1400|
코피티암|서울 은평구 연서로27길 7-1 1,2층|영업시간 매일 11:00 ~ 21:00|070-7651-8837|
어뮤즈멜로우|서울 은평구 연서로27길 20 2층|월요일|02-2088-2612|
카페달력|서울 은평구 연서로18길 28-2 1층|영업시간 매일 12:00 ~ 21:00|070-7376-0910|
로즈드마이|서울 은평구 불광천길 312 1층|영업시간 월,화,목,금,토,일 12:00 ~ 23:00|02-6401-4679|
스타벅스 구산역점|서울 은평구 연서로 146|매일 07:00 ~ 22:00|1522-3232|
폴스타베이커스|서울 은평구 서오릉로 256 1~3층|매일 10:30 ~ 21:50|02-6941-0256|
스타벅스 연신내점|서울 은평구 통일로 867|매일 07:00 ~ 22:00|1522-3232|
큐리키즈카페|서울 은평구 진관2로 19 휴먼프라자 4층|매일 10:30 ~ 20:00|02-388-6561|
카페와인드|서울 은평구 응암로34가길 17|매일 10:00 ~ 22:00||
와이엠에스프레소룸|서울 은평구 진관3로 67 래미안9단지 상가동 1층 101호|매일 09:00 ~ 22:00|070-7767-0829|
할리스 연신내점|서울 은평구 연서로 212 1~3층|매일 09:00 ~ 24:00|02-388-3977|
커피디지 응암본점|서울 은평구 갈현로1길 16-1||02-6084-0095|
카페메이트|서울 은평구 진흥로 85 1,2층|월~금 10:30 ~ 22:00||
제이츠커피브루어스|서울 은평구 연서로25길 20-3 1층|영업시간 월~토 12:00 ~ 23:00|070-8822-3375|
투썸플레이스 은평이마트점|서울 은평구 은평로 114 1층|매일 08:00 ~ 22:00|02-353-8585|
탐스커버리 DMC탐스커버리점|서울 은평구 수색로 195 1,2층|매일 00:00 ~ 24:00|02-6925-0108|
스타벅스 구파발사거리점|서울 은평구 진관3로 21 은평엘크루 101동 105-108호|매일 07:00 ~ 22:00|1522-3232|
오핀 로스터리|서울 은평구 북한산로 234 1층|영업시간 월,수,목,금,토,일 11:00 ~ 21:00|031-856-5555|
투썸플레이스 연신내점|서울 은평구 연서로 223 2,3층|매일 09:00 ~ 23:00|02-356-8883|
비비드칩마카롱|서울 은평구 통일로75길 6-20|월,화,일요일|010-9433-5502|
개상전애견카페|서울 은평구 통일로 727-5 3층|영업시간 월~금 11:00 ~ 21:00|070-4404-1212|
스위츠마인|서울 은평구 은평로3길 24 제이엠뷰 102호||010-6681-9891|
투썸플레이스 은평한옥마을점|서울 은평구 진관길 7 1층|매일 10:00 ~ 21:30||
파브스커피로스터스|서울 은평구 증산로15가길 15 1층|월~토 10:00 ~ 21:00|070-7755-6164|
스타벅스 수색점|서울 은평구 수색로 216|월~금 07:30 ~ 21:00||
투썸플레이스 은평뉴타운점|서울 은평구 진관3로 20 SW메디컬빌딩 1,2층|월~금 08:00 ~ 22:00|02-356-5977|
필구커피|서울 은평구 불광천길 442-29|영업시간 월,수,목,금,토 11:00 ~ 21:00||
엔제리너스 불광역점|서울 은평구 통일로 741 신흥빌딩 1층|매일 00:00 ~ 24:00|02-389-9571|
노트커피|서울 은평구 서오릉로17길 18-3|월,화,수,토,일 10:00 ~ 22:00|010-8495-1258|
스타벅스 은평이마트점|서울 은평구 은평로 111 1층|매일 10:00 ~ 22:30|1522-3232|
유토피아룸카페|서울 은평구 연서로27길 16-8 2층||02-357-9077|
카페 쓸|서울 은평구 통일로 684|월,화,수,목,금,일 10:00 ~ 19:00|010-5066-3954|
투썸플레이스 연신내엘피스점|서울 은평구 통일로 829 1, 2층|매일 09:00 ~ 22:00|02-383-5925|
커피빈 응암동점|서울 은평구 은평로 121 메디컬빌딩|월~금 07:00 ~ 22:00|02-389-6283|
케이크를부탁해 연신내역점|서울 은평구 연서로29길 8|영업시간 매일 11:00 ~ 23:00|02-354-5612|
지브릭커피 연신내본점|서울 은평구 연서로48길 12 5130동 상사 101호|매일 10:00 ~ 23:00|02-517-1474|
이룸커피프로젝트|서울 은평구 불광로 76 2층|영업시간 월,화,목,금,토,일 11:00 ~ 20:00|0507-198-6465|
심플디|서울 은평구 연서로9길 21|영업시간 월~토 11:00 ~ 20:00||
다과헌|서울 은평구 통일로 883|영업시간 매일 11:00 ~ 23:00||
프롬하츠커피 응암점|서울 은평구 응암로 278 1층|매일 08:00 ~ 22:00|02-388-7445|
진관사 연지원|서울 은평구 진관길 73|매일 09:00 ~ 17:30||
꼬모|서울 은평구 응암로5길 20 1층|영업시간 월,화,수,토,일 11:30 ~ 18:00||
이디야커피 연신내역점|서울 은평구 통일로 855-9|월~금 08:00 ~ 22:30|02-357-3355|
설빙 응암역점|서울 은평구 은평로 64 2층|영업시간 매일 11:00 ~ 23:00|02-304-2029|
브로슈어|서울 은평구 갈현로12길 4 1층||070-7622-3144|
슬러프커피|서울 은평구 연서로16길 15-7 1층|영업시간 월~금 14:00 ~ 22:00|02-389-9090|
다용도실|서울 은평구 연서로20길 17 1층|영업시간 월,수,목,금,토,일 13:00 ~ 23:00||
놀숲 연신내로데오점|서울 은평구 연서로29길 6 3층|월,화,수,목,일 10:00 ~ 24:00|02-389-0683|
치즈당|서울 은평구 통일로83길 5-4 1층|월요일|02-356-8305|
할리스 응암역점|서울 은평구 증산로 475 2층|월,화 08:00 ~ 21:00|02-3152-2910|
할리스 구산역점|서울 은평구 연서로 135|월~토 09:00 ~ 23:00|02-351-3094|
설빙 연신내점|서울 은평구 연서로29길 3 2층|매일 10:00 ~ 23:00|02-2088-0710|
녹음커피바|서울 은평구 녹번로6길 5-24 다원빌딩 1층|영업시간 월~금 11:00 ~ 20:00||
세라젬웰카페 은평뉴타운점|서울 은평구 진관2로 15-34 1층|영업시간 매일 11:00 ~ 20:00|02-6954-7315|
알렉스|서울 은평구 통일로85길 11|영업시간 월,화,목,금,토,일 12:00 ~ 22:00||
이디야커피 응암오거리점|서울 은평구 응암로 211|매일 08:00 ~ 22:00|02-302-0552|
달냥|서울 은평구 통일로 684 서울혁신파크 상상청 1층 103호|영업시간 월~금 11:00 ~ 18:00|070-4155-0158|
쿠디8|서울 은평구 연서로25길 6-15|영업시간 월~금 16:00 ~ 01:00|070-7680-8837|
카페다르크|서울 은평구 불광천길 450 1층|영업시간 매일 11:30 ~ 24:00||
스타벅스 녹번역점|서울 은평구 통일로 636 은평미드스퀘어 110~115호|매일 07:00 ~ 22:00|1522-3232|
메가MGC커피 연신내역점|서울 은평구 통일로 855-15 1층|월~토 08:00 ~ 23:00|02-353-6051|
웅차|서울 은평구 갈현로1길 7-1 1층 101호|영업시간 월,화,목,금,토 12:00 ~ 22:00|010-2750-2571|
태산커피시그니쳐|서울 은평구 응암로 347 로하스오피스텔 1층|매일 10:00 ~ 22:00|070-4154-0726|
