맛집명|주소|영업시간|전화번호|대표사진주소
명동교자 본점|서울 중구 명동10길 29|영업시간 매일 10:30 ~ 21:30|02-776-5348|
금돼지식당|서울 중구 다산로 149|매일 11:30 ~ 22:00|0507-1307-8750|
우래옥 본점|서울 중구 창경궁로 62-29|월요일|02-2265-0151|
태극당|서울 중구 동호로24길 7|영업시간 매일 08:00 ~ 21:00|02-2279-3152|
진작|서울 중구 수표로12길 12 1층|영업시간 월~금 11:00 ~ 21:00 · 브레이크타임 월~금 13:20 ~ 17:00|02-2285-4484|
정원레스토랑 어반가든|서울 중구 정동길 12-15 1층|월~금 11:30 ~ 22:30|02-777-2254|
마복림떡볶이|서울 중구 다산로35길 5 1층|둘째,넷째 월요일|02-2232-8930|
더스팟 패뷸러스|서울 중구 명동2길 22 1,2층|매일 10:00 ~ 22:30|02-779-1981|
원조만선호프 노가리체인본점|서울 중구 을지로13길 19 1층|매일 12:00 ~ 24:00|02-2274-1040|
원조남산왕돈까스|서울 중구 소파로 107|매일 09:30 ~ 23:00|02-755-3370|
디라이프 스타일키친 광화문점|서울 중구 세종대로 136 파이낸스센터 지하1층 101A호|월~금 11:20 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00|02-6273-0100|
목멱산방|서울 중구 퇴계로20길 71 1층|영업시간 매일 11:00 ~ 20:30 · 브레이크타임 매일 15:00 ~ 16:30|02-318-4790|
유즈라멘 만리동점|서울 중구 만리재로 217|월요일|070-4177-0365|
사랑방칼국수|서울 중구 퇴계로27길 46 1층|영업시간 월~토 10:00 ~ 21:30|02-2272-2020|
하동관 명동본점|서울 중구 명동9길 12|영업시간 월~토 07:00 ~ 16:00|02-776-5656|
을지다락|서울 중구 수표로10길 19 4층|영업시간 월~토 11:00 ~ 21:30 · 브레이크타임 월~토 15:00 ~ 17:00|070-8844-4484|
오장동함흥냉면|서울 중구 마른내로 108|영업시간 월,수,목,금,토,일 11:00 ~ 20:00 · 브레이크타임 월,수,목,금,토,일 15:30 ~ 17:00|02-2267-9500|
광화문국밥 본점|서울 중구 세종대로21길 53 1층|영업시간 월~금 11:00 ~ 21:40 · 브레이크타임 월~금 14:30 ~ 17:30|02-738-5688|
부민옥|서울 중구 다동길 24-12|월~금 11:00 ~ 22:00 · 브레이크타임 월~토 14:00 ~ 17:00|02-777-4323|
필동면옥|서울 중구 서애로 26|영업시간 월~금 11:00 ~ 21:00 · 브레이크타임 월~금 16:00 ~ 17:00|02-2266-2611|
평양면옥|서울 중구 장충단로 207|영업시간 매일 11:00 ~ 21:30|02-2267-7784|
호수집 원조닭꼬치|서울 중구 청파로 443|월~토 11:30 ~ 22:00 · 브레이크타임 월~토 14:00 ~ 17:00|02-392-0695|
호랑이|서울 중구 을지로 157 대림상가 3층 라열 351호|월,일요일|02-2269-5880|
진주회관|서울 중구 세종대로11길 26|월~토 11:00 ~ 22:00|02-753-5388|
덕수궁 리에제와플|서울 중구 덕수궁길 5 1층|영업시간 월~목 08:00 ~ 21:00|02-318-5202|
중림장|서울 중구 청파로 459-1|영업시간 매일 09:00 ~ 21:00 · 브레이크타임 매일 15:30 ~ 17:00|02-392-7743|
오장동흥남집 본점|서울 중구 마른내로 114|영업시간 월,화,목,금,토,일 11:00 ~ 20:30|02-2266-0735|
명동교자 분점|서울 중구 명동10길 8|영업시간 매일 10:30 ~ 21:30|02-776-3424|
커피루소 정동점|서울 중구 정동길 17 이화정동빌딩 1, 2층|영업시간 월~금 08:00 ~ 20:00|02-772-9935|
은주정|서울 중구 창경궁로8길 32|월~토 11:00 ~ 22:00|02-2265-4669|
남포면옥|서울 중구 을지로3길 24|월~금 11:30 ~ 22:00|02-777-3131|
두툼|서울 중구 중림로 10 삼성사이버빌리지 3동 1층 105호|월~금 15:30 ~ 22:00|02-392-8592|
안동장|서울 중구 을지로 124|영업시간 월~금 11:30 ~ 21:30 · 브레이크타임 매일 15:30 ~ 17:00|02-2266-3814|
커피앤시가렛|서울 중구 서소문로 116 유원빌딩 17층|영업시간 월~금 08:30 ~ 21:00|02-777-7557|
더하우스1932|서울 중구 만리재로35길 7|월~토 10:00 ~ 22:00|02-365-1932|
가메골손왕만두 남대문본점|서울 중구 남대문시장4길 42|영업시간 월~금 08:00 ~ 20:00|02-755-2569|
커피한약방|서울 중구 삼일대로12길 16-6|월~금 10:00 ~ 22:00|070-4148-4242|
서울신라호텔 더파크뷰|서울 중구 동호로 249 1층|매일 06:00 ~ 22:00|02-2230-3374|
무교동북어국집|서울 중구 을지로1길 38|영업시간 월~금 07:00 ~ 20:00||
딘타이펑 명동점|서울 중구 명동7길 13 호텔28 2층|영업시간 매일 11:00 ~ 21:00|02-3789-2778|
황평집|서울 중구 마른내로 74|영업시간 월~금 11:00 ~ 21:30|02-2266-6875|
애성회관|서울 중구 남대문로5길 23 대경빌딩 1층|영업시간 월~금 10:00 ~ 21:00 · 브레이크타임 월~금 14:50 ~ 17:00|02-352-0303|
농민백암순대 시청직영점|서울 중구 남대문로1길 33 1층|영업시간 월~금 11:00 ~ 21:00|02-755-5232|
미성옥|서울 중구 명동길 25-11|매일 06:00 ~ 22:00|02-776-8929|
평래옥|서울 중구 마른내로 21-1|영업시간 매일 11:20 ~ 21:00 · 브레이크타임 매일 15:30 ~ 17:00|02-2267-5892|
충무로쭈꾸미불고기 본점|서울 중구 퇴계로31길 11|월~금 11:30 ~ 22:00|02-2279-0803|
산수갑산 을지로점|서울 중구 을지로20길 24 1층|월~토 11:30 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00||
명동돈가스|서울 중구 명동3길 8|영업시간 월~금 11:00 ~ 21:30|02-775-5300|
이나니와요스케 서울시청점|서울 중구 을지로 6 재능빌딩 1층|월~금 11:00 ~ 23:00 · 브레이크타임 월~금 14:00 ~ 17:00|02-772-9994|
평안도족발집|서울 중구 장충단로 174-6|월요일|02-2279-9759|
란주칼면|서울 중구 소공로 64 동남빌딩|영업시간 매일 11:00 ~ 21:30||
적당|서울 중구 을지로 29 1층|영업시간 매일 10:00 ~ 21:30|070-7543-8928|
