카페명|주소|영업시간|전화번호|대표사진주소
파크더블유|서울 중랑구 양원역로16길 103-111|매일 11:00 ~ 22:00|02-432-5659|
커피스터프|서울 중랑구 망우로42길 10|매일 10:00 ~ 22:00||
미니특공대테마파크 면목역점|서울 중랑구 겸재로 164|매일 10:30 ~ 20:00|070-7788-5656|
카페브릭|서울 중랑구 신내역로1길 127-11|매일 09:00 ~ 23:00||
라떼플로라|서울 중랑구 동일로156길 7 103호|매일 09:00 ~ 22:00|02-432-9503|
카페252|서울 중랑구 망우로 252 1층|매일 10:00 ~ 22:00|02-493-8286|
개인공간|서울 중랑구 송림길 12 1층|월요일|070-7718-0087|
카페소고 망우점|서울 중랑구 신내로1길 15|매일 12:00 ~ 22:00|02-6014-6912|
상봉커피|서울 중랑구 봉우재로 96|월요일||
스타벅스 상봉역점|서울 중랑구 망우로 307|월~금 07:00 ~ 22:00|1522-3232|
스타벅스 사가정역점|서울 중랑구 면목로 310|월~금 07:00 ~ 22:00|1522-3232|
다시사랑받개|서울 중랑구 용마산로139나길 83|월,화,목,금,토,일 12:30 ~ 22:00|02-6958-6224|
스타벅스 상봉점|서울 중랑구 상봉로 131 상봉듀오트리스주상복합|월~금 07:00 ~ 22:00|1522-3232|
이층커피|서울 중랑구 동일로 805-1 2층|월요일|02-437-0627|
티하우스나니|서울 중랑구 용마산로117길 26 로뎀하이빌 1층 102호|월요일|02-433-2726|
더바른차담소|서울 중랑구 동일로 467 1층|월,목,금 10:00 ~ 21:00|070-7760-0298|
스타벅스 중랑구청점|서울 중랑구 신내로 72|월~금 07:00 ~ 22:00|1522-3232|
스토어드커피|서울 중랑구 동일로157길 22 1층|월~금 09:00 ~ 22:00|070-8823-7669|
로기스커피|서울 중랑구 겸재로 172-1 1층|월,화,수,금 08:30 ~ 20:00|070-8621-8791|
모이카페|서울 중랑구 용마산로125길 108-17|매일 10:00 ~ 22:00|070-4230-0404|
디저트아카데미|서울 중랑구 망우로36길 38 102호||02-433-6096|
스타벅스 중랑역점|서울 중랑구 망우로30길 3|월~금 07:00 ~ 21:30|1522-3232|
스타벅스 묵동점|서울 중랑구 동일로 952 로프트원오피스텔 1층|월~토 07:00 ~ 22:00|1522-3232|
빈스로드 본사|서울 중랑구 봉화산로 111|월,수,목,금,일 11:00 ~ 21:00|070-7593-7005|
설빙 상봉점|서울 중랑구 망우로 204 2층|월~금 11:00 ~ 23:00|02-6380-0707|
투썸플레이스 망우점|서울 중랑구 망우로 403 삼부빌딩 1층|매일 07:30 ~ 23:00|02-6954-2588|
투썸플레이스 신내점|서울 중랑구 용마산로 637 1,2층|월~금 07:00 ~ 23:00|02-2088-0858|
커피빈 상봉역점|서울 중랑구 망우로 291 1층|월~금 07:00 ~ 22:00|02-493-8902|
스타벅스 중화역점|서울 중랑구 봉화산로 35 1,2층|월~금 07:00 ~ 21:00|1522-3232|
문릿|서울 중랑구 봉우재로43길 35 1층|월~토 11:00 ~ 22:00||
투썸플레이스 묵동자이점|서울 중랑구 동일로 932 1층 108,109호|매일 08:30 ~ 24:00|02-949-1222|
헬로방방 상봉점|서울 중랑구 상봉로 131 상봉듀오트리스 지하 2층|매일 10:00 ~ 21:00|02-433-0514|
데일리파크|서울 중랑구 신내로15길 196|월~금 09:00 ~ 23:00|02-3422-0146|
어느날오늘|서울 중랑구 봉화산로30길 98 삼성팰리스 1층 102호|월요일||
시즌|서울 중랑구 사가정로49길 62 1층|매일 11:00 ~ 22:00||
투썸플레이스 사가정역점|서울 중랑구 면목로 301|월~금 08:00 ~ 23:00|02-433-4024|
북카페공간 중화점|서울 중랑구 동일로 795 지하1층|매일 10:00 ~ 23:00|02-2207-3970|
디저트39 상봉점|서울 중랑구 망우로 353 상봉프레미어스엠코 C동 1층 109호|매일 08:00 ~ 21:00|02-6053-3939|
이노이드커피랩|서울 중랑구 용마산로86길 9-38 1층|매일 09:00 ~ 23:00|070-7808-0085|
투썸플레이스 중랑역점|서울 중랑구 망우로 202 2층|매일 09:00 ~ 23:00||
단조|서울 중랑구 중랑천로10길 68 보은빌딩 3층|월,화요일|010-9457-8246|
제이식스 1호점|서울 중랑구 면목로 487|월~금 08:00 ~ 01:00|02-434-7387|
카페 제이식스 상봉 2호점|서울 중랑구 망우로 283|||
투썸플레이스 서일대점|서울 중랑구 용마산로 384|매일 08:00 ~ 23:00||
제주역|서울 중랑구 상봉중앙로5다길 49 201호|월~토 12:00 ~ 21:00|0507-1349-9926|
내친구고양이카페|서울 중랑구 면목로 306 3층|영업시간 월~금 17:00 ~ 22:00|02-2209-7446|
탐앤탐스 상봉메가박스점|서울 중랑구 망우로 210 2,3층|매일 00:00 ~ 24:00|02-434-4565|
카페메이|서울 중랑구 동일로 833-8|매일 10:00 ~ 23:00|070-4179-3661|
똥강아지카페|서울 중랑구 용마산로 248 6층 601호|월요일|02-435-0722|
설빙 묵동점|서울 중랑구 중랑역로 242 2층|매일 11:00 ~ 23:00|02-949-7767|
놀숲 서일대점|서울 중랑구 용마산로 391 2층|매일 10:00 ~ 02:00|02-6014-2221|
스타벅스 양원역점|서울 중랑구 양원역로10길 3|월~금 07:30 ~ 21:00|1522-3232|
디저트39 묵동자이점|서울 중랑구 동일로 932 묵동자이아파트 201동 101호|월~금 09:00 ~ 22:00|02-976-1090|
카페향아|서울 중랑구 사가정로46길 18|월,화요일||
디스이즈마인|서울 중랑구 신내로 8 2층|월,수,목,금 12:00 ~ 23:00|010-6205-9355|
위드마카롱|서울 중랑구 사가정로49길 6|월,일요일||
메가MGC커피 면목중앙점|서울 중랑구 동일로 612 1층||02-2207-7858|
이디야커피 면목본동점|서울 중랑구 면목로 370 1~2층|매일 08:00 ~ 22:00|02-435-2981|
메종드그릭|서울 중랑구 망우동 506-15|월~금 10:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:30|02-494-7706|
투썸플레이스 용마산역점|서울 중랑구 면목로 249 1,2층|매일 08:00 ~ 22:00|02-491-0701|
달꿈남매|서울 중랑구 겸재로 164 1층|월~금 10:00 ~ 22:30|02-6925-1114|
커피볶는꾼|서울 중랑구 면목로 305 1층|월~금 08:00 ~ 22:00||
목하케이크|서울 중랑구 동일로96길 9 1층|매일 10:00 ~ 20:00|0504-920-9741|
할리스 망우점|서울 중랑구 망우로 470|매일 08:00 ~ 22:00|070-7707-0042|
이디야커피 동원사거리점|서울 중랑구 겸재로 240 102호|매일 09:00 ~ 22:00|02-432-6717|
투썸플레이스 신내SKV1센터점|서울 중랑구 신내역로 111|월~금 08:00 ~ 22:00||
이디야커피 서일중앙점|서울 중랑구 용마산로 394 1층 1호|매일 08:00 ~ 23:30|02-493-7835|
손맵시카페|서울 중랑구 봉우재로19길 11 1층 101호|||
뜰|서울 중랑구 용마산로139나길 111||02-435-3737|
메가MGC커피 상봉역점|서울 중랑구 망우로 304-1 1층|매일 08:00 ~ 23:00|02-435-5536|
더벤티 면목역점|서울 중랑구 겸재로 190-1 1층, 2층||02-435-3967|
포즈|서울 중랑구 동일로 951 1,2층|매일 10:30 ~ 21:00|02-971-6605|
탐앤탐스 사가정역점|서울 중랑구 면목로45길 3-10||02-493-6232|
이디야커피 중랑역점|서울 중랑구 망우로 198|월~금 08:00 ~ 24:00|02-2209-3725|
허밍버드|서울 중랑구 상봉중앙로1가길 1-10 1층|월요일|02-6014-3157|
커피미트 상봉본점|서울 중랑구 면목로 463 1층|월~금 10:00 ~ 23:00||
토브|서울 중랑구 공릉로12가길 6 1층||02-977-1819|
